sample_index,leaf_distribution_tv
0,0.34848537336455715
1,0.5519873554135166
2,0.400950700264679
3,0.4892368764910266
4,0.27243830091077265
5,0.5809865926262459
6,0.223672942158677
7,0.41735250521634853
8,0.32687370041722125
9,0.41281797670809356
10,0.32821421117374316
11,0.3720917489359306
12,0.4641795837588095
13,0.42167047667664204
14,0.4834705175957691
15,0.575187466137705
16,0.38061241290851505
17,0.37772358720246413
18,0.3909284914496564
19,0.3746126380516114
20,0.2644792157692786
21,0.5095982624203289
22,0.4587095276829498
23,0.46093276374982506
24,0.2615539925832112
25,0.5975963744167239
26,0.3715680329910319
27,0.474225701990206
28,0.3208503155463004
29,0.14872761272666857
30,0.37843743050446754
31,0.4347789240944492
32,0.4515247761183252
33,0.5295514774687105
34,0.6422438120523133
35,0.32200284406482915
36,0.4284104283914202
37,0.24233388394913719
38,0.46843399909164124
39,0.5362210792413376
40,0.3016579816758452
41,0.36715150854797635
42,0.19837658161033805
43,0.4294628156084691
44,0.4971939048951697
45,0.40357627700840143
46,0.3614672977363071
47,0.39985958485075224
48,0.4889284112880079
49,0.35698250871878223
50,0.4399670802047488
51,0.3948986719055001
52,0.26184249063634063
53,0.31207404104263253
54,0.4617163075809506
55,0.3329714198595259
56,0.3732899159134261
57,0.4831599943227218
58,0.5476554072199089
59,0.46521334784753327
60,0.5932572002134326
61,0.5133784241646672
62,0.2670329600197279
63,0.4155342391124511
64,0.340051290735953
65,0.384357676413481
66,0.406307854487674
67,0.4272570691323827
68,0.40934441177868236
69,0.43354866281691773
70,0.49734462505227334
71,0.252481656269704
72,0.3336709182048629
73,0.4687378931860689
74,0.25021364070825963
75,0.5823343700361318
76,0.22545424730957025
77,0.31843915800762446
78,0.4949743401166177
79,0.4789970290844562
80,0.2952326416577674
81,0.29321590035146794
82,0.47871680459553834
83,0.2572917096576453
84,0.3169959113699754
85,0.4825693394984738
86,0.5838673935676528
87,0.30841979987423074
88,0.39467490002922456
89,0.34097690074600845
90,0.36035693823330284
91,0.3791972086993678
92,0.5016554662550592
93,0.3381861720140002
94,0.42256434049269737
95,0.4102921351725282
96,0.4401742483603365
97,0.44680183186250133
98,0.41136163380122975
99,0.3461592764277792
100,0.30217320195919345
101,0.34574837247133616
102,0.43522145049370564
103,0.48444942701514815
104,0.3541798777330749
105,0.46748245881299855
106,0.29448808519916475
107,0.5780484001726747
108,0.38464689315773226
109,0.3987493493985442
110,0.37704556591279464
111,0.43960970333587895
112,0.5406475844030623
113,0.44468159470188307
114,0.4654775801432992
115,0.4761397841199772
116,0.3371248211634286
117,0.3341914094568005
118,0.3541450959018934
119,0.45289736574789863
120,0.4903852521300999
121,0.4077949683899598
122,0.3705808198300745
123,0.43447717906413474
124,0.41616678277337815
125,0.1963145680720276
126,0.49900305725577565
127,0.16198147485799547
128,0.3422085906051716
129,0.370287263828804
130,0.42353587820207556
131,0.4647974326925609
132,0.2351179412387538
133,0.542426013331849
134,0.18615054245991933
135,0.5592840706180549
136,0.5091498644886697
137,0.41650520140633346
138,0.304917997629196
139,0.34355296460335655
140,0.40161341430234393
141,0.40344909254825
142,0.4618439407750399
143,0.5153301202029976
144,0.13834117144133107
145,0.5064420172051762
146,0.25971276299551865
147,0.34884100544932334
148,0.46481847504458107
149,0.48666233328021496
150,0.5107437747596463
151,0.3357981243762438
152,0.3838055479047858
153,0.49577478765690886
154,0.31100651150062086
155,0.5597770498141786
156,0.4172075264968161
157,0.42933918085923617
158,0.12064118902878346
159,0.5389850594401051
160,0.3988406655969572
161,0.41879405163946537
162,0.5242472736151638
163,0.3608751617759786
164,0.26420666162535134
165,0.3951042265517533
166,0.4192421148411122
167,0.3706726119858298
168,0.4751044098600255
169,0.31659676312216395
170,0.1564870947400599
171,0.5374150548690819
172,0.29115384441804215
173,0.11493139865875811
174,0.2556090299940953
175,0.3731616917407915
176,0.3478545172023617
177,0.3009374718230401
178,0.28931964428853385
179,0.3034153710146181
180,0.4498190600564389
181,0.5129175899389721
182,0.37752124442434687
183,0.3634484125522526
184,0.3594127037789415
185,0.5068694559830171
186,0.3195283656769083
187,0.2806288834482399
188,0.39677752005155853
189,0.31262574217770944
190,0.4160712387313752
191,0.18032104527598172
192,0.3560075028988659
193,0.31957896717823325
194,0.5282691301665192
195,0.4096717875934958
196,0.3790038210611622
197,0.27634306877525494
198,0.4570534764912071
199,0.4345268823507923
200,0.3574664041617064
201,0.4123625830252196
202,0.388066215197953
203,0.38928798713789126
204,0.4170116492388778
205,0.2794325073763513
206,0.2064437281779909
207,0.48652547952296316
208,0.44613389329519026
209,0.4195311209211713
210,0.28546531668231656
211,0.331574913393798
212,0.3151454159385486
213,0.5176957072069727
214,0.3149576121162576
215,0.40194699768431813
216,0.477821508538071
217,0.563313573990471
218,0.40121328052138905
219,0.4277904996477466
220,0.5838211977237922
221,0.41583412012589194
222,0.3927287891412147
223,0.5040712185614568
224,0.4429426187474561
225,0.3465240348816544
226,0.2948627856097664
227,0.40434538477098486
228,0.4002249428435995
229,0.3591826760067628
230,0.657636884735304
231,0.4511823435903506
232,0.3906458187710753
233,0.422211969496666
234,0.3896168483900282
235,0.5061916252874163
236,0.3207902414587345
237,0.45257605446225024
238,0.4170254682357001
239,0.3950939556174198
240,0.409192890359484
241,0.371964062927049
242,0.370476067039484
243,0.423777155336062
244,0.38284110341015476
245,0.3555387610283449
246,0.37244572737858095
247,0.393760334145452
248,0.38280399009721966
249,0.31600923311847384
250,0.4111873804844295
251,0.4480771802777761
252,0.42284496001628324
253,0.541216652668835
254,0.47009277523718035
255,0.46236610457443417
256,0.5524705887405865
257,0.3986845929676871
258,0.3324031845730597
259,0.4162912237335779
260,0.3859803646447465
261,0.23114494685663953
262,0.3199014203503579
263,0.4490559821839678
264,0.3247993431934193
265,0.3624131474218349
266,0.3585891729880062
267,0.2699452718517004
268,0.6322010916194594
269,0.5112948207706659
270,0.3973212449894639
271,0.4485644266732687
272,0.4289932833921853
273,0.46217990709876133
274,0.511815938864915
275,0.3622299971640393
276,0.34771699162729625
277,0.5986017255605559
278,0.36787509679068714
279,0.43436024825286385
280,0.46624615390126456
281,0.39750927359786514
282,0.6319112486109092
283,0.42163970850345794
284,0.4156019850046552
285,0.3487320377003918
286,0.33174381227182276
287,0.454725700823837
288,0.32425267238872546
289,0.5256374916270478
290,0.39542532013894505
291,0.5038078142113299
292,0.552770878134555
293,0.4164582864922731
294,0.40667014445045374
295,0.5266417469530776
296,0.34499566299789325
297,0.38283616833933887
298,0.37529890457702353
299,0.36407415984027647
300,0.414531467623107
301,0.35622253511791174
302,0.163209516684717
303,0.2753496741394448
304,0.47159385775891766
305,0.3747659060992803
306,0.3498744087216282
307,0.40041474543754296
308,0.37872075587100285
309,0.4338758777311892
310,0.21474750540287837
311,0.43043701131737416
312,0.5216104499876979
313,0.29376460604663723
314,0.421756576120069
315,0.30866211226246243
316,0.4947703460770635
317,0.3775669006628449
318,0.27510757356751103
319,0.14783466027150852
320,0.3068746869547344
321,0.4254763666594491
322,0.6814921711159836
323,0.5107741489079493
324,0.3871425051379377
325,0.354448129367552
326,0.3273962286701859
327,0.36046076018689227
328,0.31917107361806085
329,0.34037984938756977
330,0.36162754827389393
331,0.28043473808200037
332,0.46795370665338726
333,0.2977232658770529
334,0.47657920673050597
335,0.37640613525726097
336,0.3769485920722254
337,0.3597662258295435
338,0.3973636863418453
339,0.4524095818803473
340,0.3761525181150151
341,0.38983568781674943
342,0.3332439791311582
343,0.4138046062139783
344,0.546975917742353
345,0.47628567693577395
346,0.38329658219427665
