dimension,centered_component_variance,centered_component_kappa4,centered_component_excess_kurtosis
8,0.875,-1.17578125,-1.5357142857142858
16,0.9375,-1.54541015625,-1.7583333333333333
64,0.984375,-1.8779067993164062,-1.9379960317460319
256,0.99609375,-1.9689327478408813,-1.984405637254902
