lambda,time_step,contraction,q_rademacher,q_three_point,q_gaussian_same_mean_variance,matched_null_difference,rademacher_gaussian_error,three_point_gaussian_error,nonincreasing_from_previous
1.0,11,0.12050177219802567,-0.49998249690032426,-0.4999912315526502,-0.5,8.73465232592574e-06,1.750309967574193e-05,8.768447349816189e-06,True
1.0,12,0.09941396206337118,-0.49999188169018355,-0.4999959355060883,-0.5,4.053815904736524e-06,8.118309816451674e-06,4.06449391171515e-06,True
1.0,13,0.08201651870228122,-0.4999962360318793,-0.49999811633013774,-0.5,1.8802982584276151e-06,3.763968120684691e-06,1.8836698622570758e-06,True
1.0,14,0.06766362792938199,-0.4999982553430034,-0.49999912713944933,-0.5,8.717964459226124e-07,1.744656996593985e-06,8.728605506713727e-07,True
1.0,15,0.05582249304174015,-0.499999191472174,-0.4999995955682194,-0.5,4.0409604540325716e-07,8.085278260239193e-07,4.044317806206621e-07,True
1.0,16,0.04605355675943562,-0.4999996253498412,-0.4999998126219679,-0.5,1.872721266948929e-07,3.7465015878535013e-07,1.8737803209045722e-07,True
1.0,17,0.03799418432653438,-0.49999982641183394,-0.4999999131892157,-0.5,8.677738178031191e-08,1.735881660636096e-07,8.681078428329769e-08,True
1.0,18,0.031345202069390864,-0.4999999195753313,-0.4999999597823986,-0.5,4.0207067286690545e-08,8.042466870250564e-08,4.0217601415815096e-08,True
1.0,19,0.025859791707247462,-0.499999962740124,-0.49999998136840096,-0.5,1.862827697651781e-08,3.7259876017881055e-08,1.8631599041363245e-08,True
1.0,20,0.021334328158479153,-0.4999999827383649,-0.49999999136865875,-0.5,8.630293868439054e-09,1.726163512127954e-08,8.631341252840485e-09,True
1.0,21,0.0176008207307453,-0.499999992003231,-0.49999999600145023,-0.5,3.998219255674229e-09,7.996769024742889e-09,3.99854976906866e-09,True
1.0,22,0.014520677102864874,-0.4999999962953958,-0.49999999814764584,-0.5,1.8522500200290892e-09,3.7046041789778883e-09,1.852354158948799e-09,True
1.0,23,0.01197955860986352,-0.4999999982838098,-0.4999999991418885,-0.5,8.580786636791515e-10,1.716190189959832e-09,8.581115262806804e-10,True
1.0,24,0.009883135853137402,-0.49999999920496446,-0.49999999960247704,-0.5,3.9751257840947574e-10,7.950355374042317e-10,3.97522958994756e-10,True
1.0,25,0.008153587078838356,-0.49999999963169656,-0.4999999998158467,-0.5,1.8415013958161808e-10,3.6830344329885634e-10,1.8415330371723826e-10,True
1.0,26,0.006726709340041644,-0.4999999998293822,-0.49999999991469074,-0.5,8.530853801147487e-11,1.7061779766791574e-10,8.530925965644087e-11,True
1.0,27,0.005549535205534356,-0.499999999920961,-0.49999999996048033,-0.5,3.951933225110338e-11,7.903899756911414e-11,3.9519665318010766e-11,True
1.0,28,0.004578366544565843,-0.49999999996338507,-0.4999999999816925,-0.5,1.8307411142615138e-11,3.661493330753274e-11,1.83075221649176e-11,True
1.0,29,0.0037771523992668208,-0.4999999999830381,-0.49999999999151906,-0.5,8.48093817396034e-12,1.696187634792068e-11,8.48093817396034e-12,True
1.0,30,0.003116150729395127,-0.49999999999214234,-0.4999999999960712,-0.5,3.928857239543504e-12,7.857658967935777e-12,3.928801728392273e-12,True
2.0,0,1.0,-0.6625013736789322,-0.7784912985576699,-1.0,0.1159899248787376,0.33749862632106775,0.22150870144233015,True
2.0,1,0.825,-0.815911039155357,-0.885497112981941,-1.0,0.069586073826584,0.184088960844643,0.114502887018059,True
2.0,2,0.6806249999999999,-0.9026217691376482,-0.9423082301912298,-1.0,0.039686461053581534,0.09737823086235176,0.05769176980877022,True
2.0,3,0.561515625,-0.9499335710073918,-0.9715476923974309,-1.0,0.021614121390039043,0.05006642899260816,0.028452307602569116,True
2.0,4,0.4632503906249999,-0.9748899302202475,-0.9862047237090303,-1.0,0.011314793488782837,0.025110069779752497,0.01379527629096966,True
2.0,5,0.3821815722656249,-0.9876622446316653,-0.9933976476414784,-1.0,0.0057354030098131226,0.012337755368334702,0.006602352358521579,True
2.0,6,0.3152997971191405,-0.9940351715741718,-0.9968703859269614,-1.0,0.002835214352789661,0.005964828425828239,0.003129614073038578,True
2.0,7,0.26012233262329093,-0.9971514053344858,-0.9985267838192042,-1.0,0.0013753784847184702,0.002848594665514237,0.0014732161807957667,True
2.0,8,0.214600924414215,-0.9986518394781082,-0.9993099165173008,-1.0,0.0006580770391926283,0.0013481605218917947,0.0006900834826991664,True
2.0,9,0.17704576264172736,-0.9993660848051493,-0.9996778657292541,-1.0,0.0003117809241047764,0.000633915194850676,0.0003221342707458996,True
2.0,10,0.14606275417942507,-0.9997032953899099,-0.9998499863841215,-1.0,0.0001466909942116068,0.00029670461009012605,0.00015001361587851925,True
2.0,11,0.12050177219802567,-0.9998615728097238,-0.9999302561912942,-1.0,6.868338157040021e-05,0.00013842719027623573,6.974380870583552e-05,True
2.0,12,0.09941396206337118,-0.9999355607533446,-0.9999676118029156,-1.0,3.2051049571046875e-05,6.443924665544554e-05,3.238819708439866e-05,True
2.0,13,0.08201651870228122,-0.9999700489455898,-0.9999849710181054,-1.0,1.4922072515521911e-05,2.9951054410171096e-05,1.5028981894649185e-05,True
2.0,14,0.06766362792938199,-0.9999860935740917,-0.9999930298671597,-1.0,6.9362930679162105e-06,1.3906425908261077e-05,6.970132840344867e-06,True
2.0,15,0.05582249304174015,-0.999993547839546,-0.9999967685707747,-1.0,3.2207312287146905e-06,6.452160454029077e-06,3.231429225314386e-06,True
2.0,16,0.04605355675943562,-0.9999970078707562,-0.9999985022457896,-1.0,1.49437503338401e-06,2.9921292438173097e-06,1.4977542104332997e-06,True
2.0,17,0.03799418432653438,-0.9999986128955206,-0.9999993059143771,-1.0,6.930188565235085e-07,1.3871044793889453e-06,6.940856228654368e-07,True
2.0,18,0.031345202069390864,-0.9999993571077506,-0.9999996783855586,-1.0,3.212778080241563e-07,6.428922494361444e-07,3.2161444141198814e-07,True
2.0,19,0.025859791707247462,-0.9999997020803255,-0.9999998509870623,-1.0,1.489067368298791e-07,2.9791967448566936e-07,1.4901293765579027e-07,True
2.0,20,0.021334328158479153,-0.9999998619571739,-0.9999999309618379,-1.0,6.900466398285232e-08,1.3804282605889284e-07,6.903816207604052e-08,True
2.0,21,0.0176008207307453,-0.9999999360416958,-0.9999999680155656,-1.0,3.1973869774049035e-08,6.39583042083558e-08,3.198443443430676e-08,True
2.0,22,0.014520677102864874,-0.9999999703681647,-0.9999999851824165,-1.0,1.4814251825256974e-08,2.9631835318788546e-08,1.4817583493531572e-08,True
2.0,23,0.01197955860986352,-0.9999999862720549,-0.9999999931355021,-1.0,6.863447254978894e-09,1.372794511400599e-08,6.864497859027097e-09,True
2.0,24,0.009883135853137402,-0.9999999936402132,-0.9999999968199409,-1.0,3.1797277033618343e-09,6.359786808296519e-09,3.180059104934685e-09,True
2.0,25,0.008153587078838356,-0.9999999970537283,-0.999999998526812,-1.0,1.4730836550569393e-09,2.9462716710781933e-09,1.473188016021254e-09,True
2.0,26,0.006726709340041644,-0.9999999986351076,-0.9999999993175374,-1.0,6.824297793528444e-10,1.3648924213072178e-09,6.824626419543733e-10,True
2.0,27,0.005549535205534356,-0.9999999993677033,-0.9999999996838465,-1.0,3.1614311168937093e-10,6.322966594751733e-10,3.161535477858024e-10,True
2.0,28,0.004578366544565843,-0.9999999997070852,-0.999999999853541,-1.0,1.4645584744954476e-10,2.929148035235585e-10,1.4645895607401371e-10,True
2.0,29,0.0037771523992668208,-0.9999999998643061,-0.9999999999321526,-1.0,6.784650619096055e-11,1.356939005603408e-10,6.784739436938025e-11,True
2.0,30,0.003116150729395127,-0.9999999999371395,-0.9999999999685696,-1.0,3.1430080760230794e-11,6.286049458736898e-11,3.143041382713818e-11,True
