lambda,stationary_variance,stationary_kappa4,stationary_excess_kurtosis,exact_stationary_q,gaussian_stationary_q,absolute_q_difference,terms_used
0.5,1.0,-0.3800669393826702,-0.3800669393826702,-0.2480528427248317,-0.25,0.0019471572751683097,163
1.0,1.0,-0.3800669393826702,-0.3800669393826702,-0.48513951655829757,-0.5,0.014860483441702432,166
2.0,1.0,-0.3800669393826702,-0.3800669393826702,-0.8988107910865978,-1.0,0.10118920891340222,170
