n,phase,family,number_samples,acceptance_rate,rejection_rate,median_p_value,maximum_p_value,maximum_ordering_fraction_mismatch,all_exact_product_orders_2d
192,discovery,bimodal_clusters,24,0.9583333333333334,0.04166666666666663,0.527027027027027,0.972972972972973,0.004853839441535779,True
192,discovery,four_corner_clusters,24,0.9583333333333334,0.04166666666666663,0.527027027027027,0.972972972972973,0.025141797556719025,True
192,discovery,minkowski_holdout,24,1.0,0.0,0.47297297297297297,0.972972972972973,0.0,True
192,discovery,opposing_diagonal_bands,24,0.0,1.0,0.02702702702702703,0.02702702702702703,0.013743455497382207,True
256,prospective_confirmation,bimodal_clusters,24,0.9583333333333334,0.04166666666666663,0.527027027027027,0.8648648648648649,0.004993872549019618,True
256,prospective_confirmation,four_corner_clusters,24,1.0,0.0,0.6486486486486487,0.972972972972973,0.015318627450980449,True
256,prospective_confirmation,minkowski_holdout,24,1.0,0.0,0.7027027027027027,0.972972972972973,0.0,True
256,prospective_confirmation,opposing_diagonal_bands,24,0.0,1.0,0.02702702702702703,0.02702702702702703,0.018566176470588225,True
