m,covariance_condition_number,covariance_minimum_eigenvalue,ledoit_wolf_shrinkage,calibration_score_median,ordering_fraction_mean,ordering_fraction_sd
24,169.0396136358129,1.038720631598121e-05,0.0464504147296464,17.50451472257081,0.5871376811594203,0.06179957735774971
32,226.7397318675029,4.6163560959977625e-06,0.04555328591659878,24.894902808128034,0.560394265232975,0.05368117467052876
48,248.96930679769372,2.0131581262197517e-06,0.05619488266835061,35.84838385098636,0.5429619779353823,0.04256034787192189
64,434.24959507431583,8.834785717359871e-07,0.05112546314172093,49.424301688321336,0.5337384259259259,0.042335425132175544
96,552.198467982648,2.847834610991535e-07,0.05242848895667445,81.85017253281217,0.5231286549707602,0.032477452268985546
