clock,fraction_single_edge_flips_changing_clock,mean_vertex_absolute_change,mean_graph_maximum_change
depth,0.2869300842285156,0.094268798828125,0.15236473083496094
balance,0.29296875,0.0941287158784412,0.15046640123639782
mean_extension,0.29296875,0.09387992017525072,0.1502144842815575
