sample_index,initial_offset,initial_mean_gap,final_mean_gap,maximum_centered_trajectory_error,maximum_constant_mode_change_error
0,2.815455226511288,2.815455226511288,2.815455226511288,1.1796119636642288e-15,4.440892098500626e-16
1,-2.2980561880289025,-2.298056188028903,-2.2980561880289025,9.71445146547012e-16,4.440892098500626e-16
2,-2.792779103058918,-2.792779103058918,-2.792779103058918,1.27675647831893e-15,8.881784197001252e-16
3,1.1749317813276132,1.1749317813276132,1.1749317813276132,5.828670879282072e-16,2.220446049250313e-16
4,-1.7527801800588678,-1.7527801800588678,-1.752780180058868,6.661338147750939e-16,2.220446049250313e-16
5,-1.013588052811226,-1.0135880528112258,-1.013588052811226,5.551115123125783e-16,2.220446049250313e-16
6,0.8115974184658974,0.8115974184658974,0.8115974184658974,4.440892098500626e-16,2.220446049250313e-16
7,-1.9781870714851033,-1.9781870714851033,-1.9781870714851033,7.91033905045424e-16,2.220446049250313e-16
8,-0.44163344000925875,-0.4416334400092588,-0.44163344000925886,3.3306690738754696e-16,1.6653345369377348e-16
9,1.6406675923582936,1.6406675923582936,1.6406675923582938,6.800116025829084e-16,4.440892098500626e-16
10,-1.4058867881791877,-1.4058867881791879,-1.4058867881791879,6.661338147750939e-16,4.440892098500626e-16
11,-2.1348943329885626,-2.1348943329885626,-2.1348943329885626,1.1102230246251565e-15,4.440892098500626e-16
12,1.9815403143338965,1.9815403143338963,1.9815403143338965,8.881784197001252e-16,4.440892098500626e-16
13,2.0085929743723714,2.0085929743723714,2.0085929743723714,1.1102230246251565e-15,4.440892098500626e-16
14,-0.07356032986981997,-0.07356032986981999,-0.07356032986981997,4.440892098500626e-16,4.163336342344337e-17
15,-2.49381474813001,-2.49381474813001,-2.49381474813001,9.8879238130678e-16,0.0
16,-0.9032175749971412,-0.9032175749971412,-0.903217574997141,4.440892098500626e-16,2.220446049250313e-16
17,2.317936750647953,2.3179367506479536,2.3179367506479536,1.27675647831893e-15,8.881784197001252e-16
18,1.0641374585553791,1.064137458555379,1.0641374585553793,6.38378239159465e-16,4.440892098500626e-16
19,-1.5287237479010178,-1.5287237479010178,-1.5287237479010176,7.216449660063518e-16,2.220446049250313e-16
20,-0.7103192455054579,-0.7103192455054579,-0.710319245505458,3.608224830031759e-16,1.1102230246251565e-16
21,1.9023764175671154,1.9023764175671156,1.9023764175671154,8.881784197001252e-16,2.220446049250313e-16
22,-2.224675570899357,-2.2246755708993575,-2.224675570899357,1.124100812432971e-15,8.881784197001252e-16
23,2.372525417536469,2.372525417536469,2.3725254175364685,9.853229343548264e-16,4.440892098500626e-16
24,2.1491034484198295,2.1491034484198295,2.1491034484198295,9.71445146547012e-16,4.440892098500626e-16
25,2.153886412886102,2.153886412886102,2.1538864128861026,1.0200174038743626e-15,4.440892098500626e-16
26,-2.709609965328415,-2.709609965328415,-2.7096099653284154,1.111090386363145e-15,4.440892098500626e-16
27,1.680415326885484,1.6804153268854842,1.6804153268854842,7.216449660063518e-16,4.440892098500626e-16
28,0.3851767806133566,0.38517678061335653,0.38517678061335653,4.440892098500626e-16,5.551115123125783e-17
29,2.447815208175796,2.447815208175796,2.447815208175796,9.749145934989656e-16,4.440892098500626e-16
30,2.011393598003364,2.011393598003364,2.011393598003364,9.43689570931383e-16,4.440892098500626e-16
31,-0.4231684547774863,-0.4231684547774864,-0.4231684547774863,3.0531133177191805e-16,1.1102230246251565e-16
32,2.9403763203148436,2.9403763203148436,2.9403763203148436,1.0685896612017132e-15,4.440892098500626e-16
33,-2.8562889080731595,-2.8562889080731595,-2.8562889080731595,1.1518563880486e-15,4.440892098500626e-16
34,-2.7459496234801217,-2.7459496234801217,-2.7459496234801217,1.2212453270876722e-15,4.440892098500626e-16
35,-2.25605737524885,-2.2560573752488504,-2.25605737524885,7.73686670285656e-16,4.440892098500626e-16
36,0.8935424813100252,0.8935424813100251,0.8935424813100252,6.661338147750939e-16,2.220446049250313e-16
37,2.0988574758959144,2.0988574758959144,2.0988574758959144,9.992007221626409e-16,4.440892098500626e-16
38,0.45990867776740707,0.4599086777674071,0.45990867776740707,3.3306690738754696e-16,1.1102230246251565e-16
39,0.9060216987114718,0.9060216987114718,0.9060216987114718,4.440892098500626e-16,1.1102230246251565e-16
40,-0.43349079991554396,-0.4334907999155439,-0.43349079991554396,6.661338147750939e-16,1.6653345369377348e-16
