n,model,empirical_q_variance,theoretical_q_variance,absolute_variance_error
32,uniform,0.16889739435080542,0.16666666666666666,0.0022307276841387613
32,power_anisotropic,0.14488773660640622,0.1422222222222222,0.0026655143841840256
32,beta_skew,0.05191227692238866,0.05102040816326531,0.0008918687591233515
64,uniform,0.16740726778716397,0.16666666666666666,0.000740601120497314
64,power_anisotropic,0.1414327016756385,0.1422222222222222,0.000789520546583683
64,beta_skew,0.051020178625627306,0.05102040816326531,2.2953763800098725e-07
128,uniform,0.1667552090815059,0.16666666666666666,8.85424148392433e-05
128,power_anisotropic,0.1433369790108811,0.1422222222222222,0.0011147567886589105
128,beta_skew,0.051217522626101394,0.05102040816326531,0.00019711446283608713
