n,family,sample_index,q_score,p_value,compatible_at_alpha,hellinger_squared,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,perturbation_fraction,profile_m0,profile_m1,profile_m2,profile_m3,profile_m4,profile_m5
96,cover_deletion,0,43.80811072640954,0.29880478087649404,True,0.008251224510816169,0.46381578947368424,,0.0,0.0,0.13995271867612294,0.10732860520094563,0.07801418439716312,0.062411347517730496,0.05862884160756501,0.048699763593380616
96,cover_deletion,1,31.75412145334716,0.6972111553784861,True,0.007011471348269738,0.5258771929824562,,0.0,0.0,0.1451209341117598,0.08798999165971642,0.06713928273561301,0.06213511259382819,0.05421184320266889,0.04837364470391994
96,cover_deletion,2,40.48310552453766,0.40239043824701193,True,0.006141629498702894,0.5168859649122807,,0.0,0.0,0.11497666525243955,0.09970301230377598,0.07254985150615188,0.05854900296987696,0.05642766228256258,0.050487908358082305
96,cover_deletion,3,32.8488416538892,0.6653386454183267,True,0.008582751848182912,0.48004385964912283,,0.0,0.0,0.1407035175879397,0.0968478757423481,0.07948835084513477,0.060758337140246685,0.06030150753768844,0.0429419826404751
96,cover_deletion,4,39.077117644149865,0.4541832669322709,True,0.007474943730725325,0.44671052631578945,,0.0,0.0,0.14187530682376043,0.10260186548846342,0.07854688267059401,0.07461953853706431,0.057928325969563085,0.043691703485517916
96,cover_deletion,5,28.147338728905222,0.8565737051792829,True,0.00570122172141585,0.5335526315789474,,0.0,0.0,0.1302918207973695,0.093711467324291,0.06288532675709001,0.06740649404027949,0.05672009864364982,0.048910809699958896
96,cover_deletion,6,57.56956939422883,0.05179282868525897,True,0.009172566157444106,0.4587719298245614,,0.0,0.0,0.15822179732313577,0.10659655831739961,0.07504780114722753,0.05736137667304015,0.06500956022944551,0.0482791586998088
96,cover_deletion,7,52.82008294135168,0.099601593625498,True,0.005090152841482065,0.5120614035087719,,0.0,0.0,0.13704496788008566,0.09079229122055675,0.06723768736616702,0.06338329764453962,0.04796573875802998,0.050107066381156314
96,cover_deletion,8,41.39312128099476,0.3545816733067729,True,0.007369797464610084,0.46271929824561403,,0.0,0.0,0.14170616113744075,0.10995260663507109,0.0881516587677725,0.05971563981042654,0.06398104265402843,0.04881516587677725
96,cover_deletion,9,36.585285685178555,0.5418326693227091,True,0.006745746001835196,0.48793859649122806,,0.0,0.0,0.15370786516853932,0.09078651685393259,0.07775280898876405,0.06112359550561798,0.056179775280898875,0.052584269662921346
