n,family,sample_index,q_score,p_value,compatible_at_alpha,hellinger_squared,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,perturbation_fraction,profile_m0,profile_m1,profile_m2,profile_m3,profile_m4,profile_m5
96,minkowski_holdout,0,39.47313539549033,0.450199203187251,True,0.00675885145060684,0.5633771929824561,,0.0,0.0,0.11755546905410666,0.08913974309069676,0.06773063448812768,0.06617360840794083,0.035422343324250684,0.043596730245231606
96,minkowski_holdout,1,46.6315529411259,0.20717131474103587,True,0.007286707905099221,0.4557017543859649,,0.0,0.0,0.14100096246390761,0.10202117420596728,0.09432146294513956,0.07170356111645813,0.05149181905678537,0.04331087584215592
96,minkowski_holdout,2,26.7341734139779,0.8764940239043825,True,0.00532112239750937,0.4605263157894737,,0.0,0.0,0.1419047619047619,0.10476190476190476,0.07047619047619047,0.07095238095238095,0.05333333333333334,0.058095238095238096
96,minkowski_holdout,3,69.07619194534763,0.01195219123505976,False,0.013995995769571667,0.6076754385964912,,0.0,0.0,0.11403825333814507,0.07109346806207145,0.057740887766149405,0.06568025983399495,0.040779501984843015,0.041501263081919884
96,minkowski_holdout,4,38.66431873933274,0.46613545816733065,True,0.0056621576443910415,0.5048245614035087,,0.0,0.0,0.12337098175499565,0.09165942658557776,0.08253692441355343,0.06385751520417028,0.04952215464813206,0.04908774978279757
96,minkowski_holdout,5,39.357181196160916,0.450199203187251,True,0.004298300749022821,0.5063596491228071,,0.0,0.0,0.13988739714161974,0.09961022087483759,0.06582936336076224,0.06323083585967952,0.055002165439584236,0.056301429190125596
96,minkowski_holdout,6,59.94115421298914,0.0398406374501992,False,0.007396378374394774,0.5513157894736842,,0.0,0.0,0.12410501193317422,0.08989657915672236,0.06762132060461416,0.0552903739061257,0.049721559268098646,0.05409705648369133
96,minkowski_holdout,7,21.265520692555153,0.9760956175298805,True,0.00452818915727482,0.5320175438596492,,0.0,0.0,0.12860676009892827,0.09480626545754328,0.07048639736191262,0.055647155812036275,0.0494641384995878,0.050700741962077495
96,minkowski_holdout,8,42.4777954066378,0.32669322709163345,True,0.007694940644837223,0.5633771929824561,,0.0,0.0,0.12105877773452706,0.07746204748929544,0.06305955624756715,0.06267029972752043,0.053717399766446086,0.041261191124951344
96,minkowski_holdout,9,52.37173405744984,0.10756972111553785,True,0.003697241829713649,0.506578947368421,,0.0,0.0,0.1393939393939394,0.09134199134199134,0.07878787878787878,0.0696969696969697,0.047619047619047616,0.05800865800865801
96,minkowski_holdout,10,24.738338752427573,0.9123505976095617,True,0.004824955898534489,0.4758771929824561,,0.0,0.0,0.13456221198156681,0.09723502304147466,0.07511520737327189,0.06543778801843318,0.0576036866359447,0.047926267281105994
96,minkowski_holdout,11,38.26006905707183,0.47410358565737054,True,0.004497300745969879,0.5603070175438597,,0.0,0.0,0.11702544031311155,0.0837573385518591,0.0684931506849315,0.06262230919765166,0.050489236790606656,0.0512720156555773
96,minkowski_holdout,12,16.282589149781383,1.0,True,0.006802610128418873,0.44956140350877194,,0.0,0.0,0.15121951219512195,0.10829268292682927,0.08,0.06829268292682927,0.05804878048780488,0.04829268292682927
96,minkowski_holdout,13,22.54486858342985,0.9641434262948207,True,0.005191453142982416,0.5125,,0.0,0.0,0.11767222935387249,0.08472400513478819,0.06803594351732992,0.06161745827984596,0.05605477107402653,0.04664099272571673
96,minkowski_holdout,14,29.963986204125902,0.7729083665338645,True,0.005539154989144368,0.5210526315789473,,0.0,0.0,0.13636363636363635,0.08122895622895623,0.06818181818181818,0.06565656565656566,0.05176767676767677,0.04924242424242424
96,minkowski_holdout,15,32.487181012079326,0.6693227091633466,True,0.007672295412484376,0.4807017543859649,,0.0,0.0,0.14324817518248176,0.114507299270073,0.07253649635036497,0.06341240875912409,0.055656934306569344,0.04333941605839416
96,minkowski_holdout,16,25.93092245530585,0.896414342629482,True,0.004947554833437895,0.4839912280701754,,0.0,0.0,0.13593112822836428,0.09560489352061623,0.07748074309016764,0.06796556411418214,0.05437245129134572,0.05301314000906208
96,minkowski_holdout,17,29.72694571765685,0.7808764940239044,True,0.008589690359175561,0.46096491228070174,,0.0,0.0,0.13748810656517602,0.09847764034253093,0.09039010466222645,0.06279733587059944,0.058039961941008564,0.05566127497621313
