distribution,p0,p1,p2,p3,mean,M_lambda,M_half_lambda,future_Q_lambda
plus,9/40,7/20,1/8,3/10,3/2,15/32,23/80 + sqrt(2)/4,1.3914835771440326
minus,11/40,3/20,3/8,1/5,3/2,15/32,37/80 + sqrt(2)/8,1.395487593244554
