sample_index,lambda,closure_probability_error
37,2.0,1.1102230246251565e-16
38,0.5,5.551115123125783e-17
38,1.0,5.551115123125783e-17
38,2.0,2.220446049250313e-16
39,0.5,5.551115123125783e-17
39,1.0,5.551115123125783e-17
39,2.0,1.1102230246251565e-16
40,0.5,5.551115123125783e-17
40,1.0,5.551115123125783e-17
40,2.0,1.1102230246251565e-16
41,0.5,1.1102230246251565e-16
41,1.0,1.1102230246251565e-16
41,2.0,1.3877787807814457e-17
42,0.5,2.7755575615628914e-17
42,1.0,5.551115123125783e-17
42,2.0,5.551115123125783e-17
43,0.5,5.551115123125783e-17
43,1.0,5.551115123125783e-17
43,2.0,1.1102230246251565e-16
44,0.5,5.551115123125783e-17
44,1.0,2.7755575615628914e-17
44,2.0,1.1102230246251565e-16
45,0.5,5.551115123125783e-17
45,1.0,5.551115123125783e-17
45,2.0,5.551115123125783e-17
46,0.5,5.551115123125783e-17
46,1.0,2.7755575615628914e-17
46,2.0,5.551115123125783e-17
47,0.5,5.551115123125783e-17
47,1.0,1.3877787807814457e-17
47,2.0,2.220446049250313e-16
48,0.5,5.551115123125783e-17
48,1.0,5.551115123125783e-17
48,2.0,1.6653345369377348e-16
49,0.5,2.7755575615628914e-17
49,1.0,5.551115123125783e-17
49,2.0,5.551115123125783e-17
50,0.5,5.551115123125783e-17
50,1.0,2.7755575615628914e-17
50,2.0,1.1102230246251565e-16
51,0.5,5.551115123125783e-17
51,1.0,1.1102230246251565e-16
51,2.0,5.551115123125783e-17
52,0.5,5.551115123125783e-17
52,1.0,5.551115123125783e-17
52,2.0,1.1102230246251565e-16
53,0.5,2.7755575615628914e-17
53,1.0,1.3877787807814457e-17
53,2.0,1.1102230246251565e-16
54,0.5,5.551115123125783e-17
54,1.0,1.1102230246251565e-16
54,2.0,1.1102230246251565e-16
55,0.5,5.551115123125783e-17
55,1.0,1.1102230246251565e-16
55,2.0,2.7755575615628914e-17
56,0.5,8.326672684688674e-17
56,1.0,5.551115123125783e-17
56,2.0,1.1102230246251565e-16
57,0.5,5.551115123125783e-17
57,1.0,1.1102230246251565e-16
57,2.0,1.1102230246251565e-16
58,0.5,5.551115123125783e-17
58,1.0,5.551115123125783e-17
58,2.0,1.1102230246251565e-16
59,0.5,5.551115123125783e-17
59,1.0,2.7755575615628914e-17
59,2.0,1.3877787807814457e-17
60,0.5,2.7755575615628914e-17
60,1.0,8.326672684688674e-17
60,2.0,2.7755575615628914e-17
61,0.5,5.551115123125783e-17
61,1.0,5.551115123125783e-17
61,2.0,1.6653345369377348e-16
62,0.5,2.7755575615628914e-17
62,1.0,5.551115123125783e-17
