lambda_true,dataset_index,lambda_estimate,estimation_error,optimizer_success
0.5,0,0.503671220980151,0.0036712209801510465,True
0.5,1,0.5009038377384125,0.0009038377384125162,True
0.5,2,0.5049537279283997,0.004953727928399654,True
0.5,3,0.4976533112455873,-0.0023466887544126847,True
0.5,4,0.5030662483198517,0.0030662483198516943,True
0.5,5,0.4990408500446087,-0.0009591499553913141,True
0.5,6,0.5006115879750762,0.000611587975076211,True
0.5,7,0.49806357937236767,-0.0019364206276323292,True
0.5,8,0.5036243463170812,0.003624346317081195,True
0.5,9,0.4925458529699036,-0.007454147030096392,True
0.5,10,0.5023784400542132,0.002378440054213171,True
0.5,11,0.4999369236028898,-6.307639711017332e-05,True
0.5,12,0.5025507850633408,0.0025507850633408324,True
0.5,13,0.49895699938886273,-0.001043000611137268,True
0.5,14,0.4978872243538122,-0.002112775646187781,True
0.5,15,0.49157925446990824,-0.008420745530091756,True
0.5,16,0.49640510623647144,-0.0035948937635285616,True
0.5,17,0.5048667908636923,0.00486679086369235,True
0.5,18,0.5014147838716257,0.0014147838716257466,True
0.5,19,0.501871686766706,0.0018716867667060155,True
0.5,20,0.5041507244161233,0.004150724416123297,True
0.5,21,0.5008311535459695,0.0008311535459695207,True
0.5,22,0.5027997256768219,0.0027997256768218515,True
0.5,23,0.5009641468473502,0.0009641468473502446,True
0.5,24,0.4978351780176706,-0.0021648219823294235,True
0.5,25,0.4969166720832056,-0.0030833279167943872,True
0.5,26,0.49676503755657053,-0.0032349624434294677,True
0.5,27,0.4990108200932576,-0.00098917990674241,True
0.5,28,0.49844344514185385,-0.001556554858146153,True
0.5,29,0.4946550457999798,-0.00534495420002018,True
0.5,30,0.4925159145306774,-0.00748408546932261,True
0.5,31,0.49714951423003195,-0.0028504857699680475,True
0.5,32,0.5012841245960419,0.0012841245960418801,True
0.5,33,0.49112421665381323,-0.008875783346186772,True
0.5,34,0.5084219058028754,0.008421905802875385,True
0.5,35,0.5003396631865388,0.0003396631865387745,True
0.5,36,0.504084150364326,0.004084150364325967,True
0.5,37,0.5054496383068546,0.005449638306854632,True
0.5,38,0.49993000426343503,-6.999573656496505e-05,True
0.5,39,0.4961278391344029,-0.0038721608655971074,True
0.5,40,0.4974780017132972,-0.002521998286702798,True
0.5,41,0.4997866569809952,-0.0002133430190047747,True
0.5,42,0.4930792042893172,-0.0069207957106828255,True
0.5,43,0.4961800114370496,-0.003819988562950405,True
0.5,44,0.4922865339054562,-0.007713466094543819,True
0.5,45,0.5026918586295017,0.00269185862950172,True
0.5,46,0.5019724520416272,0.001972452041627215,True
0.5,47,0.5050596527593858,0.005059652759385802,True
0.5,48,0.5002611900511222,0.0002611900511222398,True
0.5,49,0.49926963904486815,-0.000730360955131848,True
0.5,50,0.49714211849017403,-0.0028578815098259658,True
0.5,51,0.5010700266347121,0.001070026634712118,True
0.5,52,0.4945623749409451,-0.005437625059054874,True
0.5,53,0.49643409698343055,-0.0035659030165694494,True
0.5,54,0.4995773892329554,-0.00042261076704458445,True
0.5,55,0.4991710784840819,-0.000828921515918124,True
0.5,56,0.5051297978831178,0.005129797883117848,True
0.5,57,0.49665628993411803,-0.0033437100658819663,True
0.5,58,0.49938334449473937,-0.0006166555052606326,True
0.5,59,0.4957536675925036,-0.004246332407496389,True
0.5,60,0.4988312423145699,-0.0011687576854301218,True
0.5,61,0.49706396167026234,-0.0029360383297376558,True
0.5,62,0.5015026310872097,0.001502631087209716,True
0.5,63,0.5023841962831441,0.0023841962831441244,True
0.5,64,0.49633779500371195,-0.0036622049962880543,True
0.5,65,0.5050624189185107,0.005062418918510669,True
0.5,66,0.5027722253683388,0.0027722253683387654,True
0.5,67,0.4974818315886541,-0.002518168411345889,True
0.5,68,0.5030791400967798,0.0030791400967797866,True
0.5,69,0.5003277687224919,0.0003277687224918502,True
0.5,70,0.4903715068593999,-0.009628493140600103,True
0.5,71,0.5095120628559763,0.009512062855976278,True
0.5,72,0.501430495926434,0.0014304959264339612,True
0.5,73,0.49879990916343175,-0.0012000908365682461,True
0.5,74,0.4969183194344731,-0.0030816805655268786,True
0.5,75,0.5048340965447778,0.004834096544777844,True
0.5,76,0.5023549618335745,0.0023549618335745315,True
0.5,77,0.49449152997687346,-0.005508470023126544,True
0.5,78,0.4946088932046702,-0.005391106795329781,True
0.5,79,0.5010032125839314,0.0010032125839314343,True
0.5,80,0.5032176040413463,0.0032176040413463003,True
0.5,81,0.5018336611740488,0.0018336611740488173,True
0.5,82,0.4948258962491961,-0.0051741037508039045,True
0.5,83,0.4998408611011247,-0.00015913889887531063,True
0.5,84,0.496629680220429,-0.003370319779570974,True
0.5,85,0.4987117084382841,-0.001288291561715893,True
0.5,86,0.5012077052117934,0.001207705211793364,True
0.5,87,0.49413023700758985,-0.005869762992410155,True
0.5,88,0.5026876091069701,0.002687609106970079,True
0.5,89,0.4941070610268506,-0.005892938973149409,True
0.5,90,0.4976559573347057,-0.0023440426652943103,True
0.5,91,0.49895570009858065,-0.0010442999014193544,True
0.5,92,0.5026935732016635,0.002693573201663524,True
0.5,93,0.5015232550852521,0.0015232550852520843,True
0.5,94,0.4983462584446901,-0.0016537415553098955,True
0.5,95,0.502193952618272,0.0021939526182720437,True
0.5,96,0.4918719044618053,-0.008128095538194713,True
0.5,97,0.5039696838813613,0.003969683881361319,True
0.5,98,0.4973227943823617,-0.0026772056176382897,True
0.5,99,0.4951696059642877,-0.004830394035712282,True
0.5,100,0.5028011026664081,0.002801102666408095,True
0.5,101,0.49878049477400105,-0.0012195052259989514,True
0.5,102,0.4968584826077357,-0.0031415173922643147,True
0.5,103,0.49244750809583254,-0.007552491904167458,True
0.5,104,0.5033340797424518,0.003334079742451812,True
0.5,105,0.49638665155699563,-0.0036133484430043716,True
0.5,106,0.5034148287489647,0.0034148287489647045,True
0.5,107,0.5008175283757653,0.0008175283757653196,True
0.5,108,0.5004677977356266,0.0004677977356265517,True
0.5,109,0.5088131045546885,0.008813104554688533,True
0.5,110,0.5064003392511583,0.006400339251158349,True
0.5,111,0.5059751755964479,0.00597517559644789,True
0.5,112,0.5001708357238919,0.00017083572389187118,True
0.5,113,0.49726255049012774,-0.0027374495098722584,True
0.5,114,0.49540122782613144,-0.004598772173868559,True
0.5,115,0.5050980904977166,0.00509809049771659,True
0.5,116,0.49675150575277366,-0.003248494247226341,True
0.5,117,0.500743720167965,0.0007437201679649785,True
0.5,118,0.5077170236620732,0.007717023662073164,True
0.5,119,0.49686206257387117,-0.003137937426128834,True
1.0,0,1.005580512986847,0.005580512986846919,True
1.0,1,1.0011636937873953,0.0011636937873953368,True
1.0,2,1.0041146822885112,0.0041146822885111956,True
1.0,3,0.995016781622733,-0.004983218377267007,True
1.0,4,0.9927478816142068,-0.007252118385793205,True
1.0,5,0.9996808221993907,-0.0003191778006093049,True
1.0,6,0.993856739531239,-0.006143260468761014,True
1.0,7,0.9935743099364243,-0.00642569006357574,True
1.0,8,0.9970720919731813,-0.0029279080268187485,True
1.0,9,1.0021501518876623,0.0021501518876623216,True
1.0,10,1.0102529048298174,0.010252904829817444,True
1.0,11,0.9990476728667721,-0.0009523271332279037,True
1.0,12,0.9958212718154797,-0.004178728184520253,True
1.0,13,0.9957614426410607,-0.004238557358939299,True
1.0,14,1.0016085285345693,0.0016085285345692757,True
