dimension,sigma,empirical_component_variance,theoretical_component_variance,relative_error
64,0.04,0.0012261305089284653,0.0012328767123287669,0.005471920535800154
64,0.08,0.004904522035713861,0.0049315068493150675,0.005471920535800154
64,0.16,0.019618088142855445,0.01972602739726027,0.005471920535800154
128,0.04,0.001245076098755738,0.0012426614481409,0.0019431282900508244
128,0.08,0.004980304395022952,0.0049706457925636,0.0019431282900508244
128,0.16,0.01992121758009181,0.0198825831702544,0.0019431282900508244
256,0.04,0.001248596836737233,0.0012475538160469665,0.0008360526630998055
256,0.08,0.004994387346948932,0.004990215264187866,0.0008360526630998055
256,0.16,0.019977549387795727,0.019960861056751465,0.0008360526630998055
