sample_index,lambda,scale,offset,maximum_probability_error
0,3.9915740461972646,2.178474220755537,-1.784764592608302,0.0
1,3.204928925610492,0.985951049192318,-1.3292834396461453,2.220446049250313e-16
2,3.7039919640775882,3.98496688654497,2.1439467191416366,2.329340604949326e-21
3,3.2599524799191144,3.023759901355096,-0.6719823626614927,2.220446049250313e-16
4,1.568180181883178,2.658145121740916,-0.9080341441962325,0.0
5,3.1565843017735795,3.6062271678795588,-2.4840955541012084,3.0357660829594124e-18
6,2.9463570791219875,1.173775985574147,1.929389764597147,2.0816681711721685e-17
7,2.199341032821006,2.6479583727442506,-1.8133074135496896,1.0408340855860843e-17
8,3.0809201461485123,2.4311172271346835,-2.8530546824233145,1.1102230246251565e-16
9,3.4161493148230813,1.5437365234605702,-1.6883224737200515,1.6263032587282567e-18
10,2.23441541244215,3.317304132339952,2.829921292461411,2.7755575615628914e-17
11,2.0743283733935165,2.5645215603378304,0.2505280388286062,1.1102230246251565e-16
12,3.3450636839590198,2.797592770472452,-1.5646472017746664,2.220446049250313e-16
13,0.8794651359184915,1.3515125256976586,2.5248258437704525,1.1102230246251565e-16
14,0.7447449386754442,0.5391308729425075,-2.257612167463816,1.942890293094024e-16
15,3.255297587847765,1.4864512540779045,0.09436471183745354,2.220446049250313e-16
16,2.4083233280922713,2.780869452585065,-2.5397796988580486,1.1102230246251565e-16
17,3.5172534753348086,2.2159546181605547,2.83949770316664,1.0164395367051604e-19
18,2.1411920317480435,2.3781843387113293,2.3409403759007166,2.220446049250313e-16
19,1.5854769943894897,3.649697427135144,-2.749659916474829,8.326672684688674e-17
20,2.111087199051743,3.850128849893461,2.94285736294691,2.220446049250313e-16
21,2.932195187612091,1.0077343306268598,1.8955393921826547,2.168404344971009e-19
22,3.4742913017734605,1.8051270604505896,0.10830575067980686,3.2526065174565133e-19
23,1.9408346714718587,2.425624916903116,-0.2443090665294152,1.1102230246251565e-16
24,0.7945943142875914,2.588395762555834,-1.8806924710815787,2.7755575615628914e-17
25,0.8871401099166677,1.455280319921178,-0.18162874934811768,2.7755575615628914e-17
26,2.253420459106895,2.033329656371375,2.402663920841663,5.551115123125783e-17
27,1.1937220601613967,1.5764417566516475,1.7712410705530743,5.551115123125783e-17
28,1.633969302070888,3.173976250509891,-0.931089273749357,5.551115123125783e-17
29,3.182278370280706,2.5381170279147542,2.5018492598672966,1.214306433183765e-17
30,0.4119358473720881,1.3197004915668809,-1.8677065492658378,2.7755575615628914e-17
31,0.7816992723663306,0.25405896910995174,-2.7300193597783555,1.1102230246251565e-16
32,2.708266456442503,2.9210698802498234,-1.9886684894597504,8.326672684688674e-17
33,0.6658649359539733,3.0803400467704516,1.3347851347140907,0.0
34,1.242333647958124,0.9455728750088499,1.1773743103660017,5.551115123125783e-17
35,3.383633726731427,3.0676019517749418,-0.7340896692391183,1.3877787807814457e-17
36,3.4843465360825805,3.1153774078408114,-0.09618593023741884,0.0
37,1.4633246872019467,3.469477650211693,-2.55017146027825,8.673617379884035e-18
38,1.113440136350772,2.0704247817610284,2.979816737573575,2.7755575615628914e-17
39,3.202146230561212,3.0245142980225173,1.3904522616965664,0.0
40,1.8646042644100487,2.2369911281105366,0.016889405750519337,5.551115123125783e-17
41,1.987296333430539,2.802753689175589,-0.7419629470981706,2.220446049250313e-16
42,1.7859477769773437,3.079412682036896,1.956558982302946,2.220446049250313e-16
43,0.2592888540575947,3.810613370213103,-2.55403867020188,2.7755575615628914e-17
44,0.35001819207816104,3.9019284025472842,1.7599120145787372,2.7755575615628914e-17
45,2.8280790450972377,0.6361867231616241,2.2405675568691326,1.1102230246251565e-16
46,3.5714644503188553,0.3455546177656904,-1.2657876575643443,4.163336342344337e-17
47,0.8043998615763222,0.322675382873785,-1.6870490811031778,2.220446049250313e-16
48,0.9686674012990542,3.745027552787497,-0.22807988804765467,5.551115123125783e-17
