sample_index,maximum_z_invariance_error
960,8.881784197001252e-16
961,2.220446049250313e-16
962,8.881784197001252e-16
963,4.440892098500626e-16
964,1.9984014443252818e-15
965,2.220446049250313e-16
966,2.220446049250313e-16
967,1.1102230246251565e-16
968,2.220446049250313e-16
969,2.220446049250313e-16
970,8.881784197001252e-16
971,2.220446049250313e-16
972,2.7755575615628914e-16
973,3.3306690738754696e-16
974,2.220446049250313e-16
975,6.661338147750939e-16
976,2.220446049250313e-16
977,2.220446049250313e-16
978,2.220446049250313e-16
979,4.440892098500626e-16
980,2.220446049250313e-16
981,1.1102230246251565e-16
982,4.440892098500626e-16
983,2.220446049250313e-16
984,2.636779683484747e-16
985,2.220446049250313e-16
986,4.440892098500626e-16
987,2.220446049250313e-16
988,3.3306690738754696e-16
989,2.7755575615628914e-16
990,2.3314683517128287e-15
991,2.220446049250313e-16
992,2.220446049250313e-16
993,2.220446049250313e-16
994,2.220446049250313e-16
995,2.220446049250313e-16
996,4.440892098500626e-16
997,1.1102230246251565e-16
998,3.3306690738754696e-16
999,2.7755575615628914e-16
1000,3.3306690738754696e-16
1001,2.220446049250313e-16
1002,2.220446049250313e-16
1003,4.440892098500626e-16
1004,4.440892098500626e-16
1005,4.440892098500626e-16
1006,6.661338147750939e-16
1007,2.7755575615628914e-17
1008,2.220446049250313e-16
1009,3.3306690738754696e-16
1010,4.440892098500626e-16
1011,4.440892098500626e-16
1012,1.3877787807814457e-16
1013,4.440892098500626e-16
1014,8.881784197001252e-16
1015,1.1102230246251565e-16
1016,4.440892098500626e-16
1017,2.220446049250313e-16
1018,2.220446049250313e-16
1019,4.440892098500626e-16
1020,5.551115123125783e-16
1021,2.220446049250313e-16
1022,2.220446049250313e-16
1023,4.440892098500626e-16
1024,2.220446049250313e-16
1025,2.220446049250313e-16
1026,4.440892098500626e-16
1027,4.440892098500626e-16
1028,2.220446049250313e-16
1029,2.220446049250313e-16
1030,1.9984014443252818e-15
1031,2.220446049250313e-16
1032,2.220446049250313e-16
1033,2.220446049250313e-16
1034,2.220446049250313e-16
1035,2.220446049250313e-16
1036,2.220446049250313e-16
1037,2.220446049250313e-16
1038,2.220446049250313e-16
1039,4.440892098500626e-16
1040,2.220446049250313e-16
1041,2.220446049250313e-16
1042,2.220446049250313e-16
1043,6.661338147750939e-16
1044,2.220446049250313e-16
1045,4.440892098500626e-16
1046,2.220446049250313e-16
1047,4.440892098500626e-16
1048,6.661338147750939e-16
1049,2.220446049250313e-16
1050,4.440892098500626e-16
1051,4.440892098500626e-16
1052,2.220446049250313e-16
1053,3.3306690738754696e-16
1054,2.220446049250313e-16
1055,4.440892098500626e-16
