sample_index,lambda_first,lambda_second,total_variation
150,0.5,2.0,0.45834329308190347
150,1.0,2.0,0.20755399393225912
151,0.5,1.0,0.2057401665764546
151,0.5,2.0,0.4173873666918238
151,1.0,2.0,0.21164720011536922
152,0.5,1.0,0.11414687479105469
152,0.5,2.0,0.214908134327439
152,1.0,2.0,0.12064286048753171
153,0.5,1.0,0.11370271012920764
153,0.5,2.0,0.24447548995461538
153,1.0,2.0,0.14352307862062164
154,0.5,1.0,0.2418544081844
154,0.5,2.0,0.529936060956117
154,1.0,2.0,0.3158817302851118
155,0.5,1.0,0.1340241447324777
155,0.5,2.0,0.2923081342340933
155,1.0,2.0,0.15828398950161554
156,0.5,1.0,0.17447827254864523
156,0.5,2.0,0.3989820589818117
156,1.0,2.0,0.22450378643316654
157,0.5,1.0,0.21662568053568576
157,0.5,2.0,0.44559502360750336
157,1.0,2.0,0.2289693430718176
158,0.5,1.0,0.09103435127072272
158,0.5,2.0,0.140460275523102
158,1.0,2.0,0.04942592425237929
159,0.5,1.0,0.1736467227466694
159,0.5,2.0,0.36788869723614626
159,1.0,2.0,0.19424197448947686
160,0.5,1.0,0.2473662074771286
160,0.5,2.0,0.5910341859641485
160,1.0,2.0,0.36331062276450526
161,0.5,1.0,0.1288318668886917
161,0.5,2.0,0.3494281650184284
161,1.0,2.0,0.22345085636880285
162,0.5,1.0,0.178122181542993
162,0.5,2.0,0.39485919186727225
162,1.0,2.0,0.21673701032427925
163,0.5,1.0,0.1978897141949181
163,0.5,2.0,0.5799892443050116
163,1.0,2.0,0.38209953011009357
164,0.5,1.0,0.20755973319476018
164,0.5,2.0,0.5707896477617964
164,1.0,2.0,0.36322991456703624
165,0.5,1.0,0.16701437831498966
165,0.5,2.0,0.40964294354700403
165,1.0,2.0,0.24262856523201434
166,0.5,1.0,0.20124157955549155
166,0.5,2.0,0.4411086053381276
166,1.0,2.0,0.23986702578263616
167,0.5,1.0,0.1472994998013648
167,0.5,2.0,0.33497612193658793
167,1.0,2.0,0.18957085894795525
168,0.5,1.0,0.25901961245310307
