sample_index,function,relative_odds_error
38,exp_0_5,0.0
38,exp_1,0.0
38,exp_2,0.0
38,asinh,0.0
38,logistic,1.3826446080272295e-16
39,exp_0_5,0.0
39,exp_1,0.0
39,exp_2,1.8649875435231234e-16
39,asinh,0.0
39,logistic,0.0
40,exp_0_5,0.0
40,exp_1,1.237082727660864e-16
40,exp_2,1.378438062562737e-16
40,asinh,1.3459212686614762e-16
40,logistic,1.232918787606252e-16
41,exp_0_5,1.8024273531920174e-16
41,exp_1,1.4631043905037235e-16
41,exp_2,0.0
41,asinh,0.0
41,logistic,0.0
42,exp_0_5,1.409339878659178e-16
42,exp_1,0.0
42,exp_2,1.4414589481939807e-16
42,asinh,1.668349877888326e-16
42,logistic,0.0
43,exp_0_5,1.5399324447520979e-16
43,exp_1,2.1359599664228043e-16
43,exp_2,2.054688507158857e-16
43,asinh,1.6866001366362724e-16
43,logistic,0.0
44,exp_0_5,1.9599934943561065e-16
44,exp_1,1.7300913477340676e-16
44,exp_2,0.0
44,asinh,0.0
44,logistic,0.0
45,exp_0_5,1.360126162896694e-16
45,exp_1,0.0
45,exp_2,0.0
45,asinh,1.875688766075091e-16
45,logistic,2.113148252820125e-16
46,exp_0_5,1.4207107243017572e-16
46,exp_1,0.0
46,exp_2,0.0
46,asinh,0.0
46,logistic,0.0
47,exp_0_5,0.0
47,exp_1,1.123841809647416e-16
47,exp_2,1.1376276523701274e-16
47,asinh,0.0
47,logistic,0.0
48,exp_0_5,0.0
48,exp_1,0.0
48,exp_2,0.0
48,asinh,1.948370428436767e-16
48,logistic,0.0
49,exp_0_5,0.0
49,exp_1,1.2071094305363707e-16
49,exp_2,0.0
49,asinh,0.0
49,logistic,0.0
50,exp_0_5,0.0
50,exp_1,0.0
50,exp_2,0.0
50,asinh,1.88181115684504e-16
50,logistic,1.2048366323663979e-16
51,exp_0_5,1.950210168506512e-16
51,exp_1,3.42572583795072e-16
51,exp_2,1.3213108150911215e-16
51,asinh,0.0
51,logistic,0.0
52,exp_0_5,0.0
52,exp_1,1.605950844809392e-16
52,exp_2,1.1615135241924798e-16
52,asinh,2.5556906261136044e-16
52,logistic,0.0
53,exp_0_5,0.0
53,exp_1,0.0
53,exp_2,1.5826546886195426e-16
53,asinh,0.0
53,logistic,1.2814547934742398e-16
54,exp_0_5,0.0
54,exp_1,1.920275964730447e-16
54,exp_2,0.0
54,asinh,0.0
54,logistic,0.0
55,exp_0_5,1.6622001159384644e-16
55,exp_1,0.0
55,exp_2,1.3945771732898195e-16
55,asinh,1.110718243857902e-16
55,logistic,0.0
56,exp_0_5,0.0
56,exp_1,0.0
56,exp_2,1.1309676193273194e-16
56,asinh,0.0
56,logistic,1.227182169014088e-16
57,exp_0_5,0.0
57,exp_1,1.4386066823095493e-16
57,exp_2,1.8641202177233184e-16
57,asinh,0.0
57,logistic,1.9692695795953128e-16
58,exp_0_5,1.9481485592130433e-16
58,exp_1,0.0
58,exp_2,1.31573252347505e-16
