function,maximum_shift_odds_residual,median_shift_odds_residual,maximum_additive_composition_residual,median_additive_composition_residual
exp_0_5,8.881784197001252e-16,5.551115123125783e-17,4.440892098500626e-16,5.551115123125783e-17
exp_1,8.881784197001252e-16,0.0,5.551115123125783e-16,5.551115123125783e-17
exp_2,1.7763568394002505e-15,0.0,8.881784197001252e-16,0.0
asinh,1.551212659737236,0.07992518416780936,0.8727588168464688,0.045260265278315615
logistic,1.8222832536815048,0.09853630220841332,1.468952040866176,0.053922538817752885
