sample_index,function,aggregation_error
37,asinh,0.0
37,logistic,1.1102230246251565e-16
38,exp_0_5,2.220446049250313e-16
38,exp_1,1.1102230246251565e-16
38,exp_2,0.0
38,asinh,1.1102230246251565e-16
38,logistic,0.0
39,exp_0_5,0.0
39,exp_1,0.0
39,exp_2,2.220446049250313e-16
39,asinh,0.0
39,logistic,1.1102230246251565e-16
40,exp_0_5,5.551115123125783e-17
40,exp_1,1.1102230246251565e-16
40,exp_2,5.551115123125783e-17
40,asinh,5.551115123125783e-17
40,logistic,1.1102230246251565e-16
41,exp_0_5,1.1102230246251565e-16
41,exp_1,0.0
41,exp_2,0.0
41,asinh,2.220446049250313e-16
41,logistic,1.1102230246251565e-16
42,exp_0_5,0.0
42,exp_1,0.0
42,exp_2,0.0
42,asinh,1.1102230246251565e-16
42,logistic,0.0
43,exp_0_5,1.1102230246251565e-16
43,exp_1,1.1102230246251565e-16
43,exp_2,1.1102230246251565e-16
43,asinh,1.1102230246251565e-16
43,logistic,0.0
44,exp_0_5,0.0
44,exp_1,0.0
44,exp_2,0.0
44,asinh,0.0
44,logistic,0.0
45,exp_0_5,0.0
45,exp_1,0.0
45,exp_2,0.0
45,asinh,0.0
45,logistic,2.220446049250313e-16
46,exp_0_5,0.0
46,exp_1,5.551115123125783e-17
46,exp_2,0.0
46,asinh,2.7755575615628914e-17
46,logistic,0.0
47,exp_0_5,1.1102230246251565e-16
47,exp_1,1.1102230246251565e-16
47,exp_2,0.0
47,asinh,0.0
47,logistic,5.551115123125783e-17
48,exp_0_5,5.551115123125783e-17
48,exp_1,0.0
48,exp_2,5.551115123125783e-17
48,asinh,0.0
48,logistic,1.1102230246251565e-16
49,exp_0_5,0.0
49,exp_1,1.1102230246251565e-16
49,exp_2,0.0
49,asinh,1.1102230246251565e-16
49,logistic,0.0
50,exp_0_5,5.551115123125783e-17
50,exp_1,0.0
50,exp_2,2.7755575615628914e-17
50,asinh,5.551115123125783e-17
50,logistic,0.0
51,exp_0_5,1.1102230246251565e-16
51,exp_1,1.1102230246251565e-16
51,exp_2,0.0
51,asinh,1.1102230246251565e-16
51,logistic,1.1102230246251565e-16
52,exp_0_5,0.0
52,exp_1,0.0
52,exp_2,0.0
52,asinh,0.0
52,logistic,0.0
53,exp_0_5,1.1102230246251565e-16
53,exp_1,0.0
53,exp_2,1.1102230246251565e-16
53,asinh,1.1102230246251565e-16
53,logistic,0.0
54,exp_0_5,5.551115123125783e-17
54,exp_1,0.0
54,exp_2,1.6653345369377348e-16
54,asinh,5.551115123125783e-17
54,logistic,5.551115123125783e-17
55,exp_0_5,0.0
55,exp_1,5.551115123125783e-17
55,exp_2,2.7755575615628914e-17
55,asinh,5.551115123125783e-17
55,logistic,0.0
56,exp_0_5,1.1102230246251565e-16
56,exp_1,1.1102230246251565e-16
56,exp_2,1.1102230246251565e-16
56,asinh,1.1102230246251565e-16
56,logistic,5.551115123125783e-17
57,exp_0_5,0.0
57,exp_1,0.0
57,exp_2,0.0
57,asinh,0.0
57,logistic,0.0
58,exp_0_5,0.0
58,exp_1,1.1102230246251565e-16
58,exp_2,0.0
58,asinh,1.1102230246251565e-16
58,logistic,1.1102230246251565e-16
59,exp_0_5,0.0
59,exp_1,1.1102230246251565e-16
59,exp_2,0.0
59,asinh,1.1102230246251565e-16
59,logistic,1.1102230246251565e-16
60,exp_0_5,0.0
60,exp_1,0.0
60,exp_2,1.1102230246251565e-16
60,asinh,0.0
60,logistic,1.1102230246251565e-16
61,exp_0_5,1.1102230246251565e-16
61,exp_1,1.1102230246251565e-16
61,exp_2,1.1102230246251565e-16
61,asinh,0.0
61,logistic,1.1102230246251565e-16
62,exp_0_5,0.0
62,exp_1,1.1102230246251565e-16
62,exp_2,1.1102230246251565e-16
62,asinh,0.0
62,logistic,1.1102230246251565e-16
63,exp_0_5,5.551115123125783e-17
63,exp_1,5.551115123125783e-17
63,exp_2,0.0
63,asinh,0.0
63,logistic,0.0
64,exp_0_5,0.0
64,exp_1,5.551115123125783e-17
64,exp_2,1.3877787807814457e-17
64,asinh,5.551115123125783e-17
64,logistic,5.551115123125783e-17
65,exp_0_5,1.3877787807814457e-17
65,exp_1,6.938893903907228e-18
65,exp_2,0.0
65,asinh,0.0
65,logistic,0.0
66,exp_0_5,5.551115123125783e-17
66,exp_1,1.1102230246251565e-16
66,exp_2,0.0
66,asinh,1.1102230246251565e-16
66,logistic,0.0
67,exp_0_5,0.0
67,exp_1,0.0
67,exp_2,2.7755575615628914e-17
67,asinh,0.0
67,logistic,5.551115123125783e-17
68,exp_0_5,2.7755575615628914e-17
68,exp_1,0.0
68,exp_2,0.0
68,asinh,0.0
68,logistic,0.0
69,exp_0_5,0.0
69,exp_1,5.551115123125783e-17
69,exp_2,5.551115123125783e-17
69,asinh,5.551115123125783e-17
69,logistic,0.0
70,exp_0_5,0.0
70,exp_1,5.551115123125783e-17
70,exp_2,2.7755575615628914e-17
70,asinh,1.1102230246251565e-16
70,logistic,1.1102230246251565e-16
71,exp_0_5,2.7755575615628914e-17
71,exp_1,2.7755575615628914e-17
71,exp_2,2.7755575615628914e-17
71,asinh,0.0
71,logistic,0.0
72,exp_0_5,0.0
72,exp_1,1.1102230246251565e-16
72,exp_2,1.1102230246251565e-16
72,asinh,0.0
72,logistic,5.551115123125783e-17
73,exp_0_5,0.0
73,exp_1,5.551115123125783e-17
