block_size,rho,common_shock_coefficient,idiosyncratic_gaussian_variance,standardized_block_excess_kurtosis
1,0.25,0.5,0.75,-0.125
4,0.25,0.7559289460184544,0.42857142857142855,-0.6530612244897958
16,0.25,0.917662935482247,0.15789473684210525,-1.4182825484764539
64,0.25,0.9773555548504418,0.04477611940298507,-1.8249053241256405
256,0.25,0.9941916256019201,0.011583011583011582,-1.9539362859826181
1024,0.25,0.9985383670628745,0.0029211295034079843,-1.9883325479815186
