copula,marginal,permutation_code,count,probability
independence,uniform,173,136,0.00136
independence,uniform,174,147,0.00147
independence,uniform,175,137,0.00137
independence,uniform,176,131,0.00131
independence,uniform,177,162,0.00162
independence,uniform,178,135,0.00135
independence,uniform,179,135,0.00135
independence,uniform,180,143,0.00143
independence,uniform,181,152,0.00152
independence,uniform,182,129,0.00129
independence,uniform,183,137,0.00137
independence,uniform,184,144,0.00144
independence,uniform,185,125,0.00125
independence,uniform,186,134,0.00134
independence,uniform,187,135,0.00135
independence,uniform,188,139,0.00139
independence,uniform,189,135,0.00135
independence,uniform,190,121,0.00121
independence,uniform,191,131,0.00131
independence,uniform,192,145,0.00145
independence,uniform,193,125,0.00125
independence,uniform,194,140,0.0014
independence,uniform,195,140,0.0014
independence,uniform,196,132,0.00132
independence,uniform,197,159,0.00159
independence,uniform,198,139,0.00139
independence,uniform,199,150,0.0015
independence,uniform,200,132,0.00132
independence,uniform,201,146,0.00146
independence,uniform,202,148,0.00148
independence,uniform,203,149,0.00149
independence,uniform,204,156,0.00156
independence,uniform,205,131,0.00131
independence,uniform,206,142,0.00142
independence,uniform,207,136,0.00136
independence,uniform,208,136,0.00136
independence,uniform,209,130,0.0013
independence,uniform,210,148,0.00148
independence,uniform,211,135,0.00135
independence,uniform,212,131,0.00131
independence,uniform,213,154,0.00154
independence,uniform,214,131,0.00131
independence,uniform,215,140,0.0014
independence,uniform,216,155,0.00155
independence,uniform,217,137,0.00137
independence,uniform,218,140,0.0014
independence,uniform,219,126,0.00126
independence,uniform,220,122,0.00122
independence,uniform,221,171,0.00171
independence,uniform,222,161,0.00161
independence,uniform,223,150,0.0015
independence,uniform,224,127,0.00127
independence,uniform,225,142,0.00142
independence,uniform,226,137,0.00137
independence,uniform,227,134,0.00134
independence,uniform,228,127,0.00127
independence,uniform,229,137,0.00137
independence,uniform,230,140,0.0014
independence,uniform,231,135,0.00135
independence,uniform,232,137,0.00137
independence,uniform,233,141,0.00141
independence,uniform,234,167,0.00167
independence,uniform,235,141,0.00141
independence,uniform,236,139,0.00139
independence,uniform,237,114,0.00114
independence,uniform,238,148,0.00148
independence,uniform,239,141,0.00141
independence,uniform,240,133,0.00133
independence,uniform,241,163,0.00163
independence,uniform,242,143,0.00143
independence,uniform,243,131,0.00131
independence,uniform,244,145,0.00145
independence,uniform,245,157,0.00157
independence,uniform,246,140,0.0014
independence,uniform,247,156,0.00156
independence,uniform,248,115,0.00115
independence,uniform,249,146,0.00146
independence,uniform,250,154,0.00154
independence,uniform,251,132,0.00132
independence,uniform,252,148,0.00148
independence,uniform,253,156,0.00156
independence,uniform,254,137,0.00137
independence,uniform,255,139,0.00139
independence,uniform,256,153,0.00153
independence,uniform,257,162,0.00162
independence,uniform,258,147,0.00147
independence,uniform,259,132,0.00132
independence,uniform,260,147,0.00147
independence,uniform,261,131,0.00131
independence,uniform,262,147,0.00147
independence,uniform,263,139,0.00139
independence,uniform,264,123,0.00123
independence,uniform,265,126,0.00126
independence,uniform,266,132,0.00132
independence,uniform,267,135,0.00135
independence,uniform,268,136,0.00136
independence,uniform,269,128,0.00128
independence,uniform,270,130,0.0013
