distribution,max_sqrt_sum_residual,median_sqrt_sum_residual,max_own_scale_residual
gaussian,2.220446049250313e-16,8.673617379884035e-18,
rademacher,1.599206968654332,0.44046527248421874,
laplace,0.09016994372139533,0.07512361639295093,
uniform,0.2174590172131115,0.07824159625155724,
cauchy,,,1.1102230246251565e-16
