n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,local_log_odds_shift_error,beta_q_scale_degeneracy_error
16,0,True,True,2.220446049250313e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.3921703404085169,0.0,5.551115123125783e-17
16,1,True,True,2.220446049250313e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.4370223397579388,0.0,5.551115123125783e-17
16,2,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.5171376787762341,0.0,1.1102230246251565e-16
16,3,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.30977750638399004,0.0,1.1102230246251565e-16
16,4,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.2310306503362588,0.0,2.220446049250313e-16
16,5,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3529880934139652,8.881784197001252e-16,1.1102230246251565e-16
16,6,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4536445556779686,0.0,1.1102230246251565e-16
16,7,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.36617998948735075,0.0,1.1102230246251565e-16
16,8,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.37843688587559543,0.0,1.1102230246251565e-16
16,9,True,True,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,0.3285983156599297,0.0,1.1102230246251565e-16
16,10,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5101958609774111,0.0,1.1102230246251565e-16
16,11,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.40895469924147176,0.0,5.551115123125783e-17
16,12,True,True,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,0.4955438772985531,4.440892098500626e-16,5.551115123125783e-17
16,13,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.23357084025707092,4.440892098500626e-16,1.1102230246251565e-16
16,14,True,True,2.220446049250313e-16,8.326672684688674e-17,1.1102230246251565e-16,0.0,0.1602462890168862,4.440892098500626e-16,8.326672684688674e-17
16,15,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.589218530270663,0.0,2.220446049250313e-16
16,16,True,True,2.220446049250313e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.21151346578875993,0.0,1.1102230246251565e-16
16,17,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3854731602623195,0.0,1.1102230246251565e-16
16,18,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.3116778991566647,0.0,5.551115123125783e-17
16,19,True,True,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,0.17831825627957681,0.0,2.220446049250313e-16
16,20,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.49444444715545266,0.0,1.1102230246251565e-16
