n,transform,number_pairs,relation_identity_rate,rank_identity_rate,median_coordinate_js_divergence_bits,median_base_max_ks,median_transformed_max_ks,median_wasserstein_shift
128,beta_extreme_edges,30,1.0,1.0,0.2548252566698468,0.0936940232367971,0.3005928150105228,0.14836821460051453
128,beta_skew_opposed,30,1.0,1.0,0.22384511341247346,0.0936940232367971,0.42697717310806477,0.21663254111506908
128,power_anisotropic,30,1.0,1.0,0.2439170315765598,0.0936940232367971,0.49302577207680365,0.23373690600905606
256,beta_extreme_edges,30,0.9666666666666667,0.9666666666666667,0.33591494768762675,0.0570983826747814,0.28545470027562014,0.14975912617949233
256,beta_skew_opposed,30,1.0,1.0,0.295076456800521,0.0570983826747814,0.4107946332428762,0.2174441012536354
256,power_anisotropic,30,1.0,1.0,0.31874263384169466,0.0570983826747814,0.4946191082421748,0.23394532203836405
512,beta_extreme_edges,30,1.0,1.0,0.39073948211703824,0.04036153457564223,0.27049392506310127,0.14889212800714002
512,beta_skew_opposed,30,1.0,1.0,0.3263684018561129,0.04036153457564223,0.4062563654123114,0.2145418233883141
512,power_anisotropic,30,1.0,1.0,0.3507157931413275,0.04036153457564223,0.48297648440939306,0.23241758095527343
