family,n,dimension_target,theoretical_ordering_fraction,calibrated_probability
transitive_percolation,64,2,0.5,0.116034772009562
three_layer,64,2,0.5,0.7416213120214245
transitive_percolation,64,3,0.22857142857142856,0.06996497536082462
three_layer,64,3,0.22857142857142856,0.23036358670370666
transitive_percolation,96,2,0.5,0.0916342862973639
three_layer,96,2,0.5,0.7416213120214245
transitive_percolation,96,3,0.22857142857142856,0.05223223301550259
three_layer,96,3,0.22857142857142856,0.22272382028096968
