distribution,rows,dimension,median_maximum_probability,mean_maximum_probability,median_entropy,median_effective_count
gaussian,2500,64,0.0985642280392528,0.10943604894005265,3.691791368420044,27.614910756428237
rademacher,2500,64,0.08854115309026173,0.09337654923824135,3.71425163928639,29.332190969523836
uniform,2500,64,0.09086535449289462,0.09883207494612845,3.708214778141663,28.93156292372282
laplace,2500,64,0.10952526164080642,0.12454853013569397,3.6737641890543555,26.16995928955068
student8,2500,64,0.10374918648318208,0.11821350106288733,3.683532228876044,26.879540264719274
