n,family,sample_index,score_hellinger_squared,p_value,compatible_at_alpha_0_05,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,perturbation_fraction,profile_m0,profile_m1,profile_m2
96,minkowski_holdout,0,0.006478560650694853,0.36212624584717606,True,0.5414473684210527,,0.0,0.0,0.1166464155528554,0.09315512353179425,0.06763872012960713
96,minkowski_holdout,1,0.004184139497703798,0.946843853820598,True,0.5157894736842106,,0.0,0.0,0.12414965986394558,0.0897108843537415,0.07312925170068027
96,minkowski_holdout,2,0.004927574533140855,0.8039867109634552,True,0.46096491228070174,,0.0,0.0,0.1460513796384396,0.09705042816365367,0.08087535680304472
96,minkowski_holdout,3,0.0047374830170432425,0.8438538205980066,True,0.5092105263157894,,0.0,0.0,0.13738156761412576,0.09560723514211886,0.06976744186046512
96,minkowski_holdout,4,0.006726391225661099,0.33222591362126247,True,0.5320175438596492,,0.0,0.0,0.12407254740313273,0.09109645507007419,0.07213520197856554
96,minkowski_holdout,5,0.006370542784954081,0.38870431893687707,True,0.5118421052631579,,0.0,0.0,0.1293916023993145,0.08354755784061697,0.07883461868037704
96,minkowski_holdout,6,0.005790568318361,0.574750830564784,True,0.5173245614035088,,0.0,0.0,0.1407376006782535,0.09114031369224247,0.07206443408223824
96,minkowski_holdout,7,0.004921159580373979,0.8039867109634552,True,0.49912280701754386,,0.0,0.0,0.13005272407732865,0.09622144112478032,0.07864674868189807
96,minkowski_holdout,8,0.003966001068161473,0.9700996677740864,True,0.519298245614035,,0.0,0.0,0.13091216216216217,0.0945945945945946,0.07432432432432433
96,minkowski_holdout,9,0.004707938606852036,0.8471760797342193,True,0.5201754385964912,,0.0,0.0,0.12731871838111297,0.0948566610455312,0.06703204047217538
96,minkowski_holdout,10,0.005069964145108186,0.7807308970099668,True,0.5346491228070176,,0.0,0.0,0.11977030352748154,0.09351927809680066,0.08244462674323216
96,minkowski_holdout,11,0.005373280982501227,0.7009966777408638,True,0.5385964912280702,,0.0,0.0,0.11970684039087948,0.09201954397394137,0.0749185667752443
96,minkowski_holdout,12,0.004294902282748536,0.920265780730897,True,0.5129385964912281,,0.0,0.0,0.12270200940572894,0.0940572894399316,0.07524583155194528
96,minkowski_holdout,13,0.00404124056357924,0.9601328903654485,True,0.5024122807017544,,0.0,0.0,0.13531209079004802,0.09340899170667831,0.0759493670886076
96,minkowski_holdout,14,0.01028669639742763,0.059800664451827246,True,0.4614035087719298,,0.0,0.0,0.14258555133079848,0.1088403041825095,0.08650190114068441
96,minkowski_holdout,15,0.00665794920502627,0.34219269102990035,True,0.47039473684210525,,0.0,0.0,0.15291375291375292,0.09883449883449884,0.075990675990676
96,minkowski_holdout,16,0.0048811367691099505,0.8172757475083057,True,0.5028508771929825,,0.0,0.0,0.12341910161360663,0.09419973833406019,0.07501090274749236
96,minkowski_holdout,17,0.009537312313261381,0.07641196013289037,True,0.43793859649122807,,0.0,0.0,0.15322984476715074,0.11016524787180772,0.085628442663996
96,minkowski_holdout,18,0.005967261173093985,0.521594684385382,True,0.543859649122807,,0.0,0.0,0.12056451612903225,0.08870967741935484,0.0625
96,minkowski_holdout,19,0.0064497334604722845,0.3687707641196013,True,0.5458333333333333,,0.0,0.0,0.13097629570108477,0.08477300120530333,0.071112896745681
96,minkowski_holdout,20,0.005282447152616276,0.7142857142857143,True,0.5015350877192982,,0.0,0.0,0.14429383471797114,0.08832531700918234,0.06908613904678618
96,minkowski_holdout,21,0.0052905544525609915,0.7142857142857143,True,0.5092105263157894,,0.0,0.0,0.13092161929371232,0.09560723514211886,0.07536606373815675
96,minkowski_holdout,22,0.006956483130481139,0.292358803986711,True,0.5337719298245615,,0.0,0.0,0.12119967132292522,0.09038619556285948,0.06696795398520954
96,minkowski_holdout,23,0.007119224236702748,0.2591362126245847,True,0.5649122807017544,,0.0,0.0,0.12228260869565218,0.07880434782608696,0.06677018633540373
96,minkowski_holdout,24,0.00876154509696525,0.11960132890365449,True,0.47346491228070176,,0.0,0.0,0.15423807318202873,0.09634089856415007,0.08522464103751737
96,minkowski_holdout,25,0.00625343972241299,0.4152823920265781,True,0.4682017543859649,,0.0,0.0,0.1414519906323185,0.09601873536299765,0.07681498829039812
96,minkowski_holdout,26,0.004920837850230675,0.8039867109634552,True,0.5342105263157895,,0.0,0.0,0.1330049261083744,0.09400656814449918,0.0665024630541872
96,minkowski_holdout,27,0.005740092482011461,0.5913621262458472,True,0.5445175438596491,,0.0,0.0,0.11316955296012887,0.08819975835682642,0.07289569069673782
96,minkowski_holdout,28,0.008115546866961587,0.16279069767441862,True,0.4675438596491228,,0.0,0.0,0.15806754221388367,0.10834896810506567,0.0825515947467167
96,minkowski_holdout,29,0.005591932874859706,0.6312292358803987,True,0.4708333333333333,,0.0,0.0,0.15090824406148112,0.09222170470423847,0.0759198882161155
96,minkowski_holdout,30,0.004765992805569885,0.8438538205980066,True,0.5225877192982457,,0.0,0.0,0.12379353755770038,0.09064204783885858,0.07133864876206462
96,minkowski_holdout,31,0.005662179514219767,0.6146179401993356,True,0.4774122807017544,,0.0,0.0,0.13045475424896646,0.10610932475884244,0.08176389526871843
96,minkowski_holdout,32,0.006315392026661204,0.3953488372093023,True,0.5506578947368421,,0.0,0.0,0.1135005973715651,0.08602150537634409,0.07447232178414974
96,minkowski_holdout,33,0.004460211556347682,0.8903654485049833,True,0.5089912280701754,,0.0,0.0,0.12623869021973289,0.0995260663507109,0.08013787160706592
