n,m,expected_count,expected_profile
96,0,307.2360253128778,0.13475264268108675
96,1,216.3827884604333,0.09490473178089179
96,2,173.0295516079887,0.07589015421403013
96,3,145.34298142221084,0.06374692167640826
96,4,125.40641123643294,0.05500281194580392
96,5,110.06984105065504,0.048276246074848705
96,6,97.76660419821049,0.04288008956061864
96,7,87.60622448862307,0.038423782670448714
96,8,79.03513049332138,0.03466453091812341
96,9,71.6862587202419,0.031441341543965745
96,10,65.30405361382908,0.028642128777995213
96,11,59.70366668923445,0.026185818723348443
96,12,54.74721915857921,0.024011938227447023
96,13,50.329233166385514,0.022074225072976104
96,14,46.36729113023577,0.02033653119747183
96,15,42.79582528456222,0.018770098809018518
96,16,39.56185943888867,0.01735169273635468
96,17,36.62201124027394,0.0160622856316991
96,18,33.940332976299736,0.014886110954517428
96,19,31.48672488776413,0.013809967056036898
96,20,29.235748378175888,0.012822696657094687
96,21,27.165724249540027,0.011914791337517555
96,22,25.258037783241832,0.01107808674703589
96,23,23.496596376232173,0.01030552472641762
96,24,21.867401346034107,0.009590965502646539
96,25,20.358206315836043,0.008929037857822826
96,26,18.958242054868744,0.00831501844511787
96,27,17.657992893616548,0.007744733725270416
96,28,16.449013573634193,0.007214479637558857
96,29,15.32377809601637,0.006720955305270338
96,30,14.275554112651422,0.00626120794414536
96,31,13.298297871221957,0.005832586785623665
96,32,12.386565823340877,0.005432704308482841
96,33,11.53543983606586,0.005059403436870991
96,34,10.740463581411163,0.004710729640969808
96,35,9.9975881670926,0.004384907090830088
96,36,9.303125451186736,0.0040803181803450595
96,37,8.653707780325917,0.0037954858685639984
96,38,8.046253125112324,0.00352905838820716
96,39,7.477934772192929,0.0032797959527161966
96,40,6.946154880811994,0.0030465591582508745
96,41,6.448521330894474,0.0028282988293396815
96,42,5.982827386087291,0.0026240470991610925
96,43,5.547033773506022,0.002432909549783343
96,44,5.139252845914182,0.0022540582657518344
96,45,4.757734544584968,0.0020867256774495476
96,46,4.400853924415174,0.0019301990896557783
96,47,4.0671000387504685,0.0017838158064695038
96,48,3.7550660112417913,0.0016469587768604347
96,49,3.4634401469984204,0.0015190526960519389
96,50,3.190997956224437,0.0013995605071159811
96,51,2.936594981136728,0.0012879802548845297
96,52,2.6991603318408743,0.001183842250807401
96,53,2.4776908494535834,0.0010867065129182383
96,54,2.271245825486978,0.0009961604497749903
96,55,2.0789422156617863,0.0009118167612551694
96,56,1.899950294148283,0.0008333115325211768
96,57,1.7334897009555816,0.0007603025004191147
96,58,1.5788258409752216,0.0006924674741119393
96,59,1.4352665981777954,0.0006295028939376295
96,60,1.3021593327814993,0.0005711225143778506
96,61,1.1788881329589735,0.0005170561986662165
96,62,1.0648712959074687,0.0004670488139945038
96,63,0.9595590159476174,0.0004208592175208848
96,64,0.86243125979729,0.0003782593244724956
96,65,0.7729958113392703,0.0003390332505873993
96,66,0.6907864701073578,0.00030297652197691134
96,67,0.6153613893910491,0.00026989534622414433
96,68,0.5463015413349688,0.00023960593918200386
96,69,0.4832092977119659,0.00021193390250524822
96,70,0.42570711620076435,0.00018671364745647559
96,71,0.37343632301954266,0.00016378786097348362
96,72,0.3260559836724367,0.00014300701038264768
96,73,0.2832418543709929,0.00012422888349604953
96,74,0.24468540740942327,0.00010731816114448388
