n,family,sample_index,score_hellinger_squared,p_value,compatible_at_alpha_0_05,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,perturbation_fraction,profile_m0,profile_m1,profile_m2
96,cover_deletion,0,0.009763504017394009,0.07308970099667775,True,0.47675438596491226,,0.0,0.0,0.1577736890524379,0.09935602575896964,0.08371665133394664
96,cover_deletion,1,0.003786830309534084,0.9867109634551495,True,0.5133771929824561,,0.0,0.0,0.13498504912430584,0.09440410081161897,0.07347287483981205
96,cover_deletion,2,0.006542144031888575,0.3554817275747508,True,0.48947368421052634,,0.0,0.0,0.14068100358422939,0.09722222222222222,0.0775089605734767
96,cover_deletion,3,0.0049191505299222005,0.8039867109634552,True,0.5201754385964912,,0.0,0.0,0.13069139966273188,0.10413153456998314,0.06618887015177066
96,cover_deletion,4,0.007536144725452609,0.22591362126245848,True,0.47412280701754383,,0.0,0.0,0.14569842738205366,0.10175763182238667,0.08603145235892692
96,cover_deletion,5,0.005380196305820095,0.7009966777408638,True,0.5037280701754386,,0.0,0.0,0.13974749673487158,0.09708315193730953,0.07139747496734872
96,cover_deletion,6,0.008149231833652903,0.16279069767441862,True,0.4425438596491228,,0.0,0.0,0.16253716551040634,0.09563924677898909,0.08275520317145689
96,cover_deletion,7,0.00646147834809041,0.3654485049833887,True,0.5026315789473684,,0.0,0.0,0.1199825479930192,0.0868237347294939,0.06762652705061083
96,cover_deletion,8,0.005093358923429658,0.7641196013289037,True,0.49078947368421055,,0.0,0.0,0.14298480786416443,0.09517426273458444,0.07059874888293119
96,cover_deletion,9,0.004041367436491083,0.9601328903654485,True,0.4905701754385965,,0.0,0.0,0.14036656236030398,0.09745194456861869,0.0813589628967367
96,cover_deletion,10,0.009761623566107769,0.07308970099667775,True,0.4506578947368421,,0.0,0.0,0.15279805352798054,0.10948905109489052,0.08613138686131387
96,cover_deletion,11,0.006493658308077799,0.3588039867109635,True,0.5342105263157895,,0.0,0.0,0.12889983579638753,0.08497536945812807,0.05747126436781609
96,cover_deletion,12,0.004602187562757765,0.8538205980066446,True,0.5298245614035088,,0.0,0.0,0.1390728476821192,0.08733443708609272,0.0691225165562914
96,cover_deletion,13,0.004832949325814795,0.8239202657807309,True,0.4557017543859649,,0.0,0.0,0.14051973051010588,0.10202117420596728,0.08421559191530317
96,cover_deletion,14,0.007902810092016321,0.18272425249169436,True,0.4831140350877193,,0.0,0.0,0.1457103949160236,0.1053109396277803,0.082614616432138
96,cover_deletion,15,0.004843120580017124,0.8172757475083057,True,0.5473684210526316,,0.0,0.0,0.1201923076923077,0.08173076923076923,0.07852564102564102
96,cover_deletion,16,0.005118327922626231,0.760797342192691,True,0.47785087719298247,,0.0,0.0,0.12482790270766407,0.09729233593391463,0.08214777420835245
96,cover_deletion,17,0.007731812450391673,0.2059800664451827,True,0.5464912280701755,,0.0,0.0,0.1404494382022472,0.07865168539325842,0.06019261637239166
96,cover_deletion,18,0.004272214683276543,0.9269102990033222,True,0.49912280701754386,,0.0,0.0,0.13840070298769772,0.09094903339191564,0.07864674868189807
96,cover_deletion,19,0.006232716406653682,0.4186046511627907,True,0.47543859649122805,,0.0,0.0,0.14206642066420663,0.09501845018450185,0.07933579335793357
96,cover_deletion,20,0.005162360397542032,0.7508305647840532,True,0.500438596491228,,0.0,0.0,0.12489044697633654,0.08895705521472393,0.08282208588957055
96,cover_deletion,21,0.008715253601748185,0.12624584717607973,True,0.42719298245614035,,0.0,0.0,0.1555441478439425,0.11550308008213553,0.08162217659137577
96,cover_deletion,22,0.006777385152781146,0.3289036544850498,True,0.49276315789473685,,0.0,0.0,0.1375166889185581,0.08811748998664887,0.0814419225634179
96,cover_deletion,23,0.0038075048030157266,0.9833887043189369,True,0.4956140350877193,,0.0,0.0,0.12699115044247788,0.09380530973451327,0.084070796460177
96,cover_deletion,24,0.004720936353598604,0.8471760797342193,True,0.5320175438596492,,0.0,0.0,0.1314921681780709,0.0807914262159934,0.07295960428689201
96,cover_deletion,25,0.004694954878800228,0.8471760797342193,True,0.5276315789473685,,0.0,0.0,0.12635078969243557,0.09102244389027432,0.0685785536159601
96,cover_deletion,26,0.004924516215002228,0.8039867109634552,True,0.5190789473684211,,0.0,0.0,0.14068441064638784,0.10308407266582172,0.07351077313054499
96,cover_deletion,27,0.010058424827550927,0.06312292358803986,True,0.4473684210526316,,0.0,0.0,0.16225490196078432,0.10735294117647058,0.07352941176470588
96,cover_deletion,28,0.005850581060400928,0.5514950166112956,True,0.4905701754385965,,0.0,0.0,0.15198927134555207,0.0925346446133214,0.07599463567277603
96,cover_deletion,29,0.005745935873157082,0.5913621262458472,True,0.5361842105263158,,0.0,0.0,0.10920245398773006,0.10143149284253579,0.0638036809815951
96,cover_deletion,30,0.006461820364737081,0.3654485049833887,True,0.5219298245614035,,0.0,0.0,0.1180672268907563,0.08823529411764706,0.07394957983193277
96,cover_deletion,31,0.007487965907318039,0.22591362126245848,True,0.4629385964912281,,0.0,0.0,0.14448128848886785,0.09474182851729038,0.08621506395073425
96,cover_deletion,32,0.004871321392763361,0.8172757475083057,True,0.5359649122807018,,0.0,0.0,0.12643207855973815,0.09492635024549918,0.07855973813420622
96,cover_deletion,33,0.007536814484327525,0.22591362126245848,True,0.5598684210526316,,0.0,0.0,0.12690951821386603,0.08382295338817078,0.0681551116333725
96,cover_deletion,34,0.00787538398646137,0.18604651162790697,True,0.46074561403508774,,0.0,0.0,0.1456449309852451,0.09757258448357925,0.07472632079961923
96,cover_deletion,35,0.0072750605405723645,0.24584717607973422,True,0.4524122807017544,,0.0,0.0,0.1478429471643238,0.1071255453223461,0.08095007270964615
96,cover_deletion,36,0.010379327423821305,0.059800664451827246,True,0.4423245614035088,,0.0,0.0,0.14823996033713435,0.10064452156668319,0.09122459097669806
96,cover_deletion,37,0.006859090801023315,0.3122923588039867,True,0.4962719298245614,,0.0,0.0,0.15422006186478127,0.08528501988510827,0.06584180291648255
96,cover_deletion,38,0.009329693673592487,0.07641196013289037,True,0.5664473684210526,,0.0,0.0,0.11072396438250097,0.09601238869531553,0.06078203639179249
96,cover_deletion,39,0.012934361356283675,0.023255813953488372,False,0.45087719298245615,,0.0,0.0,0.14007782101167315,0.10943579766536965,0.07830739299610895
96,cover_deletion,40,0.005572567584081312,0.6345514950166113,True,0.5640350877192982,,0.0,0.0,0.11780715396578538,0.08087091757387248,0.08048211508553654
96,cover_deletion,41,0.003979130613218085,0.9700996677740864,True,0.5160087719298245,,0.0,0.0,0.12664683382915426,0.09137271568210795,0.07522311942201446
96,cover_deletion,42,0.0047783670675114465,0.840531561461794,True,0.49451754385964913,,0.0,0.0,0.12727272727272726,0.09889135254988914,0.07405764966740576
96,cover_deletion,43,0.004688520371274096,0.8471760797342193,True,0.5021929824561403,,0.0,0.0,0.13668122270742358,0.0925764192139738,0.07117903930131005
96,cover_deletion,44,0.005287876785654344,0.7142857142857143,True,0.5201754385964912,,0.0,0.0,0.137858347386172,0.0851602023608769,0.06745362563237774
96,cover_deletion,45,0.01203010003933025,0.036544850498338874,False,0.4274122807017544,,0.0,0.0,0.16572601334017445,0.10928681375064135,0.08004104669061057
