n,formula_normalization_error,formula_normalization_pass,maximum_absolute_monte_carlo_z,monte_carlo_formula_check_pass,reference_score_median,reference_score_95_quantile,minkowski_acceptance_rate,minkowski_acceptance_wilson_95,transitive_percolation_rejection_rate,transitive_percolation_rejection_wilson_95,three_layer_rejection_rate,three_layer_rejection_wilson_95,adversarial_rejection_rate,adversarial_rejection_wilson_95,ordinary_low_m_error_median,adversarial_low_m_error_median,adversarial_low_m_error_reduction,maximum_ordering_fraction_mismatch,perturbation_score_medians,perturbation_rejection_rates,perturbation_monotonic,perturbation_detection_pass
96,0.0,True,1.9610052169215038,True,0.006041330750957863,0.010537875572048556,0.9875,"(0.9325372992233133, 0.9977900244795476)",0.8875,"(0.7998178190762713, 0.9396731305336952)",1.0,"(0.9541818704644728, 0.9999999999999999)",0.8333333333333334,"(0.7196838683638547, 0.9068682302080855)",0.09714062807564888,0.082566167460864,0.15003465494823576,0.004824561403508787,"{'0.0': 0.006185062054461954, '0.1': 0.008185915361715257, '0.2': 0.018710053829937012, '0.3': 0.03798731503054564}","{'0.0': 0.050000000000000044, '0.1': 0.30000000000000004, '0.2': 0.8666666666666667, '0.3': 1.0}",True,True
128,9.094947017729282e-13,True,1.911741868845677,True,0.0045936014622784405,0.008355511110116544,0.9625,"(0.8954527990995489, 0.9871654310800886)",0.9875,"(0.9325372992233133, 0.9977900244795476)",1.0,"(0.9541818704644728, 0.9999999999999999)",1.0,"(0.93982814785791, 0.9999999999999998)",0.0933743424223652,0.07626005614037526,0.18328681989079998,0.004183070866141669,"{'0.0': 0.004582304627453182, '0.1': 0.007019082201326854, '0.2': 0.015495260677125144, '0.3': 0.03100659202280276}","{'0.0': 0.01666666666666672, '0.1': 0.33333333333333337, '0.2': 0.9166666666666666, '0.3': 1.0}",True,True
160,0.0,True,2.36381731734448,True,0.0036547085855433425,0.005873929496319297,0.9625,"(0.8954527990995489, 0.9871654310800886)",1.0,"(0.9541818704644728, 0.9999999999999999)",1.0,"(0.9541818704644728, 0.9999999999999999)",1.0,"(0.93982814785791, 0.9999999999999998)",0.08840622775524863,0.07656566954710184,0.13393353057577806,0.004716981132075415,"{'0.0': 0.0036200707010084487, '0.1': 0.005615327110797097, '0.2': 0.01191141366377535, '0.3': 0.029561027614007696}","{'0.0': 0.08333333333333337, '0.1': 0.44999999999999996, '0.2': 0.95, '0.3': 1.0}",True,True
