background_size,rmse_to_population_limit,mean_error,median_absolute_error
16,0.2906915563043166,0.14069020821824396,0.15897497612946754
64,0.12091456009370508,0.036179028004698355,0.07502317624052646
256,0.05670224879436072,0.009899206125658772,0.0381789689187374
1024,0.028184573802769997,0.002906361343847819,0.01881088694431965
