spread,base_weighted_sd,epsilon,total_variation
0.1,0.14142135623730953,1e-06,6.043523381801064e-06
0.01,0.01414213562373095,1e-06,0.0006058019119657091
0.001,0.001414213562373095,1e-06,0.0484013308757402
0.0001,0.0001414213562373095,1e-06,0.31253653322727226
1e-05,1.4142135623730953e-05,1e-06,0.37288395434858135
1e-06,1.414213562373095e-06,1e-06,0.37893245367294187
1e-07,1.414213562373095e-07,1e-06,0.3795363146407119
1e-08,1.4142135623730952e-08,1e-06,0.37959668972442306
