sample_index,epsilon,base_weighted_sd,total_variation,nonincreasing_from_previous
0,0.1,1.1681628299080953,0.006960172365111499,True
0,0.01,1.1681628299080953,0.000705454510504878,True
0,0.001,1.1681628299080953,7.064047518762173e-05,True
0,0.0001,1.1681628299080953,7.064998390826499e-06,True
0,1e-05,1.1681628299080953,7.065093484381372e-07,True
0,1e-06,1.1681628299080953,7.065102991388843e-08,True
1,0.1,1.1406222884581443,0.00245355778551794,True
1,0.01,1.1406222884581443,0.0002482417125651042,True
1,0.001,1.1406222884581443,2.4853531537353267e-05,True
1,0.0001,1.1406222884581443,2.4856472690387067e-06,True
1,1e-05,1.1406222884581443,2.485676684345658e-07,True
1,1e-06,1.1406222884581443,2.4856796249724113e-08,True
2,0.1,0.8778771328184286,0.003449197885164804,True
2,0.01,0.8778771328184286,0.00034932701096919276,True
2,0.001,0.8778771328184286,3.5048328469449076e-05,True
2,0.0001,0.8778771328184286,3.505995545370075e-06,True
2,1e-05,0.8778771328184286,3.506111879819255e-07,True
2,1e-06,0.8778771328184286,3.50612351016767e-08,True
3,0.1,0.9564085346381798,0.00556523536270614,True
3,0.01,0.9564085346381798,0.000582555763030263,True
3,0.001,0.9564085346381798,5.853148555964402e-05,True
3,0.0001,0.9564085346381798,5.855924232224803e-06,True
3,1e-05,0.9564085346381798,5.856201966691338e-07,True
3,1e-06,0.9564085346381798,5.856229734370307e-08,True
4,0.1,1.0412128767846602,0.03175502192842319,True
4,0.01,1.0412128767846602,0.0032888689953156805,True
4,0.001,1.0412128767846602,0.0003300717033154802,True
4,0.0001,1.0412128767846602,3.301907195875004e-05,True
4,1e-05,1.0412128767846602,3.3020262660506213e-06,True
4,1e-06,1.0412128767846602,3.3020381742555434e-07,True
5,0.1,0.8979317908606715,0.047366934145511574,True
5,0.01,0.8979317908606715,0.005038739058735054,True
5,0.001,0.8979317908606715,0.0005071357811787081,True
5,0.0001,0.8979317908606715,5.074645830067199e-05,True
5,1e-05,0.8979317908606715,5.0749748955472474e-06,True
5,1e-06,0.8979317908606715,5.075007804405269e-07,True
6,0.1,0.9446106972554524,0.004254000393637151,True
6,0.01,0.9446106972554524,0.00042881181187227755,True
6,0.001,0.9446106972554524,4.291557587576364e-05,True
6,0.0001,0.9446106972554524,4.2919018137737935e-06,True
