lambda,mean_error,variance_error,effective_score_a,effective_score_b,effective_score_difference
0.25,0.0,2.220446049250313e-16,-0.1237192144806456,-0.12435433272838292,0.0006351182477373207
0.5,0.0,2.220446049250313e-16,-0.24022901391655516,-0.24495894601612322,0.004729932099568068
1.0,0.0,2.220446049250313e-16,-0.4337808304830273,-0.463162644416692,0.029381813933664735
1.3,0.0,2.220446049250313e-16,-0.5219211626213265,-0.5749237531890073,0.05300259056768086
2.0,0.0,2.220446049250313e-16,-0.6625013736789321,-0.7784912985576699,0.11598992487873772
4.0,0.0,2.220446049250313e-16,-0.8267970564532375,-1.0693836727020767,0.24258661624883915
