sample_index,shift_covariance_error,affine_rescaling_identity_error
54,2.220446049250313e-16,3.0531133177191805e-16
55,0.0,8.881784197001252e-16
56,2.220446049250313e-16,0.0
57,1.1102230246251565e-16,4.440892098500626e-16
58,1.1102230246251565e-16,0.0
59,0.0,2.220446049250313e-16
60,0.0,4.440892098500626e-16
61,0.0,1.1102230246251565e-16
62,0.0,2.220446049250313e-16
63,4.440892098500626e-16,0.0
64,1.1102230246251565e-16,2.220446049250313e-16
65,1.1102230246251565e-16,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,4.440892098500626e-16,2.220446049250313e-16
72,5.551115123125783e-17,2.220446049250313e-16
73,1.1102230246251565e-16,1.1102230246251565e-16
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,2.220446049250313e-16,1.97758476261356e-16
79,2.220446049250313e-16,4.440892098500626e-16
80,4.440892098500626e-16,0.0
81,0.0,0.0
82,4.440892098500626e-16,0.0
83,2.220446049250313e-16,4.440892098500626e-16
84,0.0,4.440892098500626e-16
85,4.440892098500626e-16,0.0
86,0.0,2.220446049250313e-16
87,0.0,4.440892098500626e-16
88,0.0,1.1102230246251565e-16
89,0.0,4.440892098500626e-16
90,0.0,2.220446049250313e-16
91,8.881784197001252e-16,4.440892098500626e-16
92,1.3877787807814457e-16,0.0
93,0.0,4.440892098500626e-16
94,0.0,0.0
95,0.0,0.0
96,0.0,4.440892098500626e-16
97,0.0,2.220446049250313e-16
98,0.0,1.1102230246251565e-16
99,2.220446049250313e-16,0.0
100,1.1102230246251565e-16,4.440892098500626e-16
101,8.881784197001252e-16,0.0
102,0.0,1.1102230246251565e-16
103,0.0,0.0
104,0.0,4.440892098500626e-16
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,2.220446049250313e-16
109,4.440892098500626e-16,0.0
110,4.440892098500626e-16,4.440892098500626e-16
111,4.440892098500626e-16,2.220446049250313e-16
112,1.1102230246251565e-16,4.440892098500626e-16
113,1.1102230246251565e-16,2.220446049250313e-16
114,0.0,4.440892098500626e-16
115,2.220446049250313e-16,0.0
116,0.0,4.440892098500626e-16
117,2.220446049250313e-16,2.220446049250313e-16
118,0.0,2.220446049250313e-16
119,2.220446049250313e-16,0.0
120,0.0,0.0
121,1.1102230246251565e-16,2.220446049250313e-16
122,5.551115123125783e-17,0.0
123,4.440892098500626e-16,0.0
124,1.1102230246251565e-16,6.661338147750939e-16
125,4.440892098500626e-16,4.440892098500626e-16
126,1.1102230246251565e-16,2.220446049250313e-16
127,2.220446049250313e-16,0.0
128,2.7755575615628914e-17,5.551115123125783e-17
