sample_index,lambda,second_order_error,third_order_error,fourth_order_error
71,0.2,0.0010445187044934579,0.00012909697836949174,7.377381349982226e-06
72,0.025,3.025520543820104e-06,1.8649031507944613e-07,1.193006027300214e-09
72,0.05,1.2857392554521674e-05,1.501271639503532e-06,1.8893166947586693e-08
72,0.1,5.757943264067533e-05,1.2154948980658276e-05,2.9592120021071366e-07
72,0.2,0.0002810926969319394,9.939476229184341e-05,4.522540048373935e-06
73,0.025,5.818137551912364e-05,8.006062125406888e-08,3.666529194840118e-09
73,0.05,0.0002330156187158039,6.10359124332549e-07,5.945807926566182e-08
73,0.1,0.0009340026687852526,4.381630419353355e-06,9.769072094392706e-07
73,0.2,0.00374489498868269,2.64108352191067e-05,1.6457465811234306e-05
74,0.025,1.2595055917621889e-05,7.243440945658985e-08,7.823052899924576e-10
74,0.05,5.0084207206202436e-05,5.857541021253576e-07,1.2537268834211801e-08
74,0.1,0.00019789292707369371,4.786918159631337e-06,2.011834932605372e-07
74,0.2,0.0007707997714485743,3.991960948473289e-05,3.2337321537803665e-06
75,0.025,7.518094500447159e-06,3.099251202343112e-07,9.46017209013661e-10
75,0.05,2.8825482544764247e-05,2.4865959379338776e-06,1.4763113842519715e-08
75,0.1,0.00010524953753879296,1.999877639194403e-05,2.2411379912989915e-07
75,0.2,0.0003396055152575794,0.00016138774046536852,3.1904397227444647e-06
76,0.025,9.853634972720876e-06,5.175458707082359e-08,5.745183703775858e-10
76,0.05,3.920292572724693e-05,4.1863251191293083e-07,9.191962302423917e-09
76,0.1,0.0001550636982568833,3.422534699761351e-06,1.470103028720915e-07
76,0.2,0.0006053933971652686,2.8551534661309507e-05,2.347339486198901e-06
77,0.025,4.411556973688696e-06,1.7857002081872464e-08,2.391348057073639e-10
77,0.05,1.7715751427008902e-05,1.4095154058507697e-07,3.817554501683862e-09
77,0.1,7.13965536092518e-05,1.0973540635565021e-06,6.079869714972763e-08
77,0.2,0.000289499040787556,8.302242604774123e-06,9.629794808810278e-07
78,0.025,6.0272590477659926e-05,4.6108598908412013e-07,3.2403370958666855e-10
78,0.05,0.0002429362783298028,3.690260375485699e-06,4.164732461675591e-09
78,0.1,0.0009865053863024886,2.9521314485247974e-05,3.254934106966534e-08
78,0.2,0.004063181621365625,0.00023524533409663428,6.647870567921821e-07
79,0.025,3.2895227125573356e-07,3.502450443559901e-08,6.11018458052115e-11
79,0.05,1.1752263406605845e-06,2.8068076213250137e-07,9.735413863953823e-10
79,0.1,3.5705349337722403e-06,2.2530934774556144e-06,1.5435711570033206e-08
79,0.2,5.15118328925368e-06,1.8143330355629983e-05,2.420682286286002e-07
80,0.025,8.042039248701283e-06,1.793940509337011e-07,1.0140943085268361e-09
80,0.05,3.287749144413599e-05,1.4269106530795383e-06,1.635450888604062e-08
80,0.1,0.0001370827976115846,1.1280474447386557e-05,2.656468483658303e-07
80,0.2,0.0005912107196901564,8.800142703335734e-05,4.367543332654822e-06
81,0.025,4.489301096144427e-08,2.618740585491608e-09,1.45568293530296e-10
81,0.05,1.6793856191799073e-07,2.2108444255874993e-08,2.323065934062285e-09
81,0.1,5.649350719866275e-07,1.9525295269495757e-07,3.69699261343337e-08
81,0.2,1.1897689787543353e-06,1.8509831199581273e-06,5.847189074453807e-07
82,0.025,2.382730507064987e-06,1.0308327634891978e-07,1.325238850949373e-10
82,0.05,9.117588762638795e-06,8.256663710185658e-07,2.0603513062322776e-09
82,0.1,3.315314092463065e-05,6.619879609998797e-06,3.103145230706761e-08
82,0.2,0.00010594723207305035,5.314485006546743e-05,4.3406480391972035e-07
83,0.025,3.569721966516226e-06,6.336443005711123e-08,1.3499069223543714e-10
83,0.05,1.4531247034321737e-05,5.058168884783387e-07,2.1784775164346293e-09
83,0.1,6.013023883489482e-05,4.028518251528168e-06,3.5444676443896483e-08
83,0.2,0.0002563331028812288,3.192622054777605e-05,5.854828760004649e-07
84,0.025,1.4506271868025555e-05,2.6860889831836765e-08,9.708069348413062e-10
84,0.05,5.7909814978038265e-05,2.2271605337742528e-07,1.559539015982825e-08
84,0.1,0.00023062169311800773,1.908431007682787e-06,2.514657019558886e-07
84,0.2,0.0009127836273774698,1.733686912528537e-05,4.08114667942161e-06
85,0.025,7.526105931521254e-07,5.098414954107788e-09,8.846062771183938e-12
85,0.05,2.9899779852016195e-06,4.085804723719111e-08,1.414961620094246e-10
85,0.1,1.179535032230783e-05,3.279938074612909e-07,2.261398804326298e-09
85,0.2,4.585142334671832e-05,2.6419531723304024e-06,3.609390310244098e-08
86,0.025,2.3046524349312758e-05,3.335963738582137e-08,1.3735854675900327e-09
86,0.05,9.204155845310424e-05,2.779774937455848e-07,2.208907823320061e-08
86,0.1,0.00036687411252561697,2.4040312617268356e-06,3.5692393779429565e-07
86,0.2,0.0014549183177354208,2.219425741395442e-05,5.81739882238308e-06
87,0.025,3.345666204912501e-05,3.060623861017575e-07,4.657051910772481e-09
