sample_index,n,group_count,effective_score_error,partition_weight_error
147,9,3,3.3306690738754696e-16,0.0
148,13,6,2.220446049250313e-16,4.440892098500626e-16
149,44,6,0.0,0.0
150,49,4,4.440892098500626e-16,0.0
151,77,2,0.0,8.881784197001252e-16
152,35,3,0.0,0.0
153,59,3,2.220446049250313e-16,8.881784197001252e-16
154,30,9,3.3306690738754696e-16,0.0
155,53,10,0.0,8.881784197001252e-16
156,67,3,3.3306690738754696e-16,0.0
157,66,7,2.220446049250313e-16,0.0
158,59,7,2.220446049250313e-16,4.440892098500626e-16
159,19,9,1.6653345369377348e-16,2.220446049250313e-16
160,12,6,1.6653345369377348e-16,2.220446049250313e-16
161,43,6,1.1102230246251565e-16,4.440892098500626e-16
162,70,5,4.440892098500626e-16,1.3322676295501878e-15
163,24,5,2.220446049250313e-16,0.0
164,11,4,0.0,5.329070518200751e-15
165,80,6,0.0,0.0
166,65,3,0.0,0.0
167,26,4,2.220446049250313e-16,8.881784197001252e-16
168,67,9,0.0,0.0
169,61,7,4.440892098500626e-16,8.881784197001252e-16
170,41,6,1.1102230246251565e-16,4.440892098500626e-16
171,64,2,2.220446049250313e-16,4.440892098500626e-16
172,62,9,1.1102230246251565e-16,1.3322676295501878e-15
173,43,5,0.0,4.440892098500626e-16
174,59,9,2.220446049250313e-16,0.0
175,13,8,1.8041124150158794e-16,0.0
176,15,2,1.1102230246251565e-16,4.440892098500626e-16
177,51,10,1.6653345369377348e-16,2.220446049250313e-16
178,6,4,8.326672684688674e-17,2.220446049250313e-16
179,9,4,0.0,4.440892098500626e-16
180,29,2,2.220446049250313e-16,0.0
181,44,3,0.0,0.0
182,9,4,2.7755575615628914e-16,1.1102230246251565e-16
183,21,6,2.220446049250313e-16,4.440892098500626e-16
184,73,6,1.1102230246251565e-16,0.0
185,31,6,0.0,0.0
186,36,10,0.0,0.0
187,43,6,4.440892098500626e-16,4.440892098500626e-16
188,58,9,0.0,4.440892098500626e-16
189,42,3,0.0,4.440892098500626e-16
190,33,7,9.71445146547012e-17,2.220446049250313e-16
191,55,7,2.220446049250313e-16,8.881784197001252e-16
192,71,2,1.1102230246251565e-16,8.881784197001252e-16
193,22,9,0.0,0.0
194,27,8,0.0,1.3322676295501878e-15
195,75,5,0.0,0.0
196,64,5,2.220446049250313e-16,0.0
