b,outer_mass_each,initial_mean_error,initial_effective_score_error,future_effective_score_a,future_effective_score_b,future_effective_score_difference,curve_closure_error_a,curve_closure_error_b
1.25,0.29643242639759326,0.0,1.1102230246251565e-16,-0.37696942168164455,-0.36991013321083716,0.00705928847080739,5.551115123125783e-17,0.0
1.5,0.18776279841837404,1.3877787807814457e-17,0.0,-0.37696942168164455,-0.36164759060987545,0.015321831071769099,5.551115123125783e-17,5.551115123125783e-17
2.0,0.08414918123453012,0.0,2.220446049250313e-16,-0.37696942168164455,-0.34224281713340765,0.034726604548236895,5.551115123125783e-17,0.0
2.5,0.04074487306714423,3.469446951953614e-18,0.0,-0.37696942168164455,-0.32021592180940606,0.05675349987223849,5.551115123125783e-17,0.0
3.0,0.02047362158294789,3.469446951953614e-18,3.3306690738754696e-16,-0.37696942168164455,-0.29688384752736724,0.0800855741542773,5.551115123125783e-17,0.0
