n,sample_index,transform,relation_identical,relation_hash_identical,u_rank_identical,v_rank_identical,same_cardinality,coordinate_js_divergence_bits,base_max_marginal_ks_from_uniform,transformed_max_marginal_ks_from_uniform,mean_marginal_wasserstein_shift
128,0,power_anisotropic,True,True,True,True,True,0.2490585704398553,0.0816320349694668,0.511348390599849,0.23943400139585774
128,0,beta_skew_opposed,True,True,True,True,True,0.20900557183534718,0.0816320349694668,0.40312818685623253,0.22092862572128685
128,0,power_isotropic_extreme,True,True,True,True,True,0.30581634789082834,0.0816320349694668,0.729396159051146,0.3873737080088962
128,1,power_anisotropic,True,True,True,True,True,0.23158279814919913,0.08183929877314466,0.4917539039185538,0.23147286905729886
128,1,beta_skew_opposed,True,True,True,True,True,0.22384451608993566,0.08183929877314466,0.4538612531801549,0.2093106734857639
128,1,power_isotropic_extreme,True,True,True,True,True,0.2980652552644208,0.08183929877314466,0.6920796339264697,0.40116885760992815
128,2,power_anisotropic,True,True,True,True,True,0.23709549928650678,0.11903955429528323,0.48722438067758345,0.22513586607303993
128,2,beta_skew_opposed,True,True,True,True,True,0.22475189618989386,0.11903955429528323,0.41861582481610826,0.20296784364008824
128,2,power_isotropic_extreme,True,True,True,True,True,0.2842824084292677,0.11903955429528323,0.6647138609222779,0.3997696064828617
128,3,power_anisotropic,True,True,True,True,True,0.23123114596332367,0.10910849644653842,0.496544285207255,0.22805445499112587
128,3,beta_skew_opposed,True,True,True,True,True,0.216828456742945,0.10910849644653842,0.4582889577088899,0.20261120071377756
128,3,power_isotropic_extreme,True,True,True,True,True,0.29634734014347136,0.10910849644653842,0.6990483758414741,0.39550935628103967
128,4,power_anisotropic,True,True,True,True,True,0.23544139474538162,0.07043472522425709,0.46229346656324877,0.23773329631032053
128,4,beta_skew_opposed,True,True,True,True,True,0.22202680008940903,0.07043472522425709,0.44026361813474557,0.2251203467874027
128,4,power_isotropic_extreme,True,True,True,True,True,0.2933826610056225,0.07043472522425709,0.7017143877891363,0.3817999072605818
128,5,power_anisotropic,True,True,True,True,True,0.2402925730831534,0.06819334476667549,0.5096160215497934,0.22945101417927455
128,5,beta_skew_opposed,True,True,True,True,True,0.22910970261586547,0.06819334476667549,0.3949327464403056,0.21753362391202907
128,5,power_isotropic_extreme,True,True,True,True,True,0.29951508093270474,0.06819334476667549,0.7048799152040178,0.3738727995250412
128,6,power_anisotropic,True,True,True,True,True,0.24211839223616452,0.1147807358087527,0.5556231385991572,0.2281116575319928
128,6,beta_skew_opposed,True,True,True,True,True,0.22296683512812307,0.1147807358087527,0.4331778078808004,0.20786850369424836
128,6,power_isotropic_extreme,True,True,True,True,True,0.3047229235357681,0.1147807358087527,0.694285116564698,0.37805761033382146
128,7,power_anisotropic,True,True,True,True,True,0.22696930221982942,0.10758931770755575,0.5704847663301749,0.23332446052042105
128,7,beta_skew_opposed,True,True,True,True,True,0.2091886815906104,0.10758931770755575,0.4826479673135252,0.20324981900185804
128,7,power_isotropic_extreme,True,True,True,True,True,0.2971096600320594,0.10758931770755575,0.7448239942877408,0.38497622931074177
128,8,power_anisotropic,True,True,True,True,True,0.24877506511152897,0.07665881812553854,0.4781721781283736,0.2353920374286568
128,8,beta_skew_opposed,True,True,True,True,True,0.23614965741929095,0.07665881812553854,0.43139841755247454,0.2218045046311672
128,8,power_isotropic_extreme,True,True,True,True,True,0.28919953328185566,0.07665881812553854,0.6801336331033866,0.3966929945761227
128,9,power_anisotropic,True,True,True,True,True,0.2483783883074547,0.08032060232178373,0.5169369072492068,0.24276944958615593
128,9,beta_skew_opposed,True,True,True,True,True,0.23038382231780652,0.08032060232178373,0.41685129685708633,0.22462288529696325
128,9,power_isotropic_extreme,True,True,True,True,True,0.29085182123924175,0.08032060232178373,0.6935264712496146,0.3817419581464888
128,10,power_anisotropic,True,True,True,True,True,0.24825567336134807,0.0767861660505621,0.49463115389914325,0.24195152556002308
128,10,beta_skew_opposed,True,True,True,True,True,0.22988903433187124,0.0767861660505621,0.43211313542542656,0.2165488727910641
128,10,power_isotropic_extreme,True,True,True,True,True,0.313093569074566,0.0767861660505621,0.6681065426473941,0.4032208010273157
128,11,power_anisotropic,True,True,True,True,True,0.23810220920786637,0.06836087922280742,0.507733532846349,0.23370936317995078
128,11,beta_skew_opposed,True,True,True,True,True,0.23184682734312417,0.06836087922280742,0.41705562825932374,0.21686337893700913
128,11,power_isotropic_extreme,True,True,True,True,True,0.2905412009701171,0.06836087922280742,0.6629407607526366,0.37941459870051875
128,12,power_anisotropic,True,True,True,True,True,0.24481984321423478,0.1018087749423705,0.5257495074066663,0.22443844922846112
128,12,beta_skew_opposed,True,True,True,True,True,0.2242934625942231,0.1018087749423705,0.42286847616950973,0.20180493753287687
128,12,power_isotropic_extreme,True,True,True,True,True,0.28640728058373643,0.1018087749423705,0.6646558813524536,0.3945668527763849
128,13,power_anisotropic,True,True,True,True,True,0.26660432882630103,0.07332181584663922,0.4692893909100866,0.23731438403625682
128,13,beta_skew_opposed,True,True,True,True,True,0.2328980936722885,0.07332181584663922,0.40355040899051825,0.22543986057476506
128,13,power_isotropic_extreme,True,True,True,True,True,0.2962742419425885,0.07332181584663922,0.7076428428883145,0.3856908284284025
128,14,power_anisotropic,True,True,True,True,True,0.24222476586045327,0.0739163335551517,0.48451713112169836,0.22723575811892208
128,14,beta_skew_opposed,True,True,True,True,True,0.19812297918707275,0.0739163335551517,0.4079854587349961,0.21366563437698644
128,14,power_isotropic_extreme,True,True,True,True,True,0.2954892847907679,0.0739163335551517,0.651270897025814,0.376936442941787
128,15,power_anisotropic,True,True,True,True,True,0.23681232210446937,0.10801146303489984,0.5513742867367961,0.22785143145464795
128,15,beta_skew_opposed,True,True,True,True,True,0.22093088216077786,0.10801146303489984,0.4294257346077712,0.20703006832534232
128,15,power_isotropic_extreme,True,True,True,True,True,0.29058152363212303,0.10801146303489984,0.7112247347302367,0.3755244137226247
128,16,power_anisotropic,True,True,True,True,True,0.2446684995938271,0.06604279284286318,0.48695642733467637,0.2274319660471129
128,16,beta_skew_opposed,True,True,True,True,True,0.24093133095941047,0.06604279284286318,0.4050865232616432,0.21909072826404552
128,16,power_isotropic_extreme,True,True,True,True,True,0.2802708325416336,0.06604279284286318,0.7033959139575359,0.3720406999767226
128,17,power_anisotropic,True,True,True,True,True,0.24482784816724662,0.09211287220519437,0.518862767906318,0.23405596125790568
128,17,beta_skew_opposed,True,True,True,True,True,0.22952192507006353,0.09211287220519437,0.4428863525257126,0.21052720441815137
128,17,power_isotropic_extreme,True,True,True,True,True,0.3085251013134436,0.09211287220519437,0.6891928008989985,0.39642854743321576
