n,relation_hash_differs,interval_profile_hellinger_squared,uniform_ordering_fraction,control_ordering_fraction
128,True,0.02495847725379774,0.5756643700787402,0.49569389763779526
256,True,0.018172866186498937,0.5324448529411765,0.48042279411764705
512,True,0.02337617288136884,0.4875856164383562,0.4781907411937378
