n,transform,number_pairs,relation_identity_rate,rank_identity_rate,median_coordinate_js_divergence_bits,median_base_max_ks,median_transformed_max_ks,median_wasserstein_shift
128,beta_skew_opposed,30,1.0,1.0,0.2237073645839166,0.07881176170641985,0.4293242143670503,0.21563981917797642
128,power_anisotropic,30,1.0,1.0,0.24347304645622275,0.07881176170641985,0.5036814434128003,0.23270231501983676
128,power_isotropic_extreme,30,1.0,1.0,0.2960565577896867,0.07881176170641985,0.6939057939071563,0.3853335288695722
256,beta_skew_opposed,30,1.0,1.0,0.2906956359340026,0.05857067877160238,0.4213515433057056,0.216610236406361
256,power_anisotropic,30,1.0,1.0,0.3115980539109481,0.05857067877160238,0.4920418762106402,0.2343464751911291
256,power_isotropic_extreme,30,1.0,1.0,0.40287075662079563,0.05857067877160238,0.6787926723191812,0.3887708597406825
512,beta_skew_opposed,30,1.0,1.0,0.3252237804741422,0.04270813206260188,0.4085782633381222,0.21590847038725483
512,power_anisotropic,30,1.0,1.0,0.3514670635686925,0.04270813206260188,0.4770560274078382,0.23420534890558972
512,power_isotropic_extreme,30,1.0,1.0,0.48634944024184357,0.04270813206260188,0.6661755846165699,0.38956359219393055
