n,sample_index,transform,relation_identical,relation_hash_identical,u_rank_identical,v_rank_identical,same_cardinality,coordinate_js_divergence_bits,base_max_marginal_ks_from_uniform,transformed_max_marginal_ks_from_uniform,mean_marginal_wasserstein_shift
128,0,power_anisotropic,True,True,True,True,True,0.22340278435613453,0.06506527655544858,0.4818113550530458,0.23220293531591757
128,0,beta_skew_opposed,True,True,True,True,True,0.22942702468345205,0.06506527655544858,0.3932149060174036,0.21851969234629487
128,0,beta_edge_concentrated,True,True,True,True,True,0.21422858155449714,0.06506527655544858,0.14710653329230533,0.06602212562720366
128,1,power_anisotropic,True,True,True,True,True,0.2372941880488115,0.07292951089051103,0.458199542822696,0.23092755168774126
128,1,beta_skew_opposed,True,True,True,True,True,0.21236020706035133,0.07292951089051103,0.3859504840898157,0.2200250964141805
128,1,beta_edge_concentrated,True,True,True,True,True,0.218663430350014,0.07292951089051103,0.1618802726881132,0.06695168941163573
128,2,power_anisotropic,True,True,True,True,True,0.24881315009622612,0.11024241211486385,0.4157895051747971,0.23051467982041987
128,2,beta_skew_opposed,True,True,True,True,True,0.23780844477459262,0.11024241211486385,0.46273293909546165,0.22177564055089977
128,2,beta_edge_concentrated,True,True,True,True,True,0.21630402794258824,0.11024241211486385,0.20887371124378995,0.07000001857495364
128,3,power_anisotropic,True,True,True,True,True,0.23358917370192656,0.07185866926123885,0.47439072468317567,0.23079866676359195
128,3,beta_skew_opposed,True,True,True,True,True,0.21082380724713493,0.07185866926123885,0.3966732592506418,0.2186009610472923
128,3,beta_edge_concentrated,True,True,True,True,True,0.20927499591606144,0.07185866926123885,0.17363070993268828,0.06543677644241586
128,4,power_anisotropic,True,True,True,True,True,0.2377950648036141,0.09489578678028121,0.5315977902885685,0.2352186364639493
128,4,beta_skew_opposed,True,True,True,True,True,0.2375574160037345,0.09489578678028121,0.4197387665201482,0.2085971723627484
128,4,beta_edge_concentrated,True,True,True,True,True,0.20528465171577528,0.09489578678028121,0.18690607780647306,0.06511205379704438
128,5,power_anisotropic,True,True,True,True,True,0.25362068681756667,0.0645244404218892,0.46702546273311385,0.2365293298194709
128,5,beta_skew_opposed,True,True,True,True,True,0.23431140642187034,0.0645244404218892,0.408779688556695,0.22451769518772763
128,5,beta_edge_concentrated,True,True,True,True,True,0.19531851547662687,0.0645244404218892,0.1445008014118574,0.07128957233331032
128,6,power_anisotropic,True,True,True,True,True,0.2434199843588416,0.07827605900883272,0.5051855727910669,0.22504225176081608
128,6,beta_skew_opposed,True,True,True,True,True,0.22285739025182785,0.07827605900883272,0.4126947043736367,0.2115736827890164
128,6,beta_edge_concentrated,True,True,True,True,True,0.21837518716843485,0.07827605900883272,0.18313487043422574,0.06758372944065422
