sample_index,operator,offset,absolute_gauge_covariance_error
0,weighted_arithmetic,-0.2869632221469356,5.551115123125783e-17
0,exponential_mean,-0.2869632221469356,0.0
0,weighted_median,-0.2869632221469356,0.0
0,minimum,-0.2869632221469356,0.0
0,rms,-0.2869632221469356,0.21429654456804048
1,weighted_arithmetic,1.0897591108992835,0.0
1,exponential_mean,1.0897591108992835,2.220446049250313e-16
1,weighted_median,1.0897591108992835,0.0
1,minimum,1.0897591108992835,0.0
1,rms,1.0897591108992835,0.7000591589732048
2,weighted_arithmetic,0.5160315299044802,1.1102230246251565e-16
2,exponential_mean,0.5160315299044802,2.220446049250313e-16
2,weighted_median,0.5160315299044802,0.0
2,minimum,0.5160315299044802,0.0
2,rms,0.5160315299044802,0.45014027100778886
3,weighted_arithmetic,2.75784361772119,4.440892098500626e-16
3,exponential_mean,2.75784361772119,0.0
3,weighted_median,2.75784361772119,0.0
3,minimum,2.75784361772119,0.0
3,rms,2.75784361772119,1.435584653026731
4,weighted_arithmetic,0.22245290965652575,0.0
4,exponential_mean,0.22245290965652575,0.0
4,weighted_median,0.22245290965652575,0.0
4,minimum,0.22245290965652575,0.0
4,rms,0.22245290965652575,0.13635493560018408
5,weighted_arithmetic,3.0730614916261922,0.0
5,exponential_mean,3.0730614916261922,4.440892098500626e-16
5,weighted_median,3.0730614916261922,0.0
5,minimum,3.0730614916261922,0.0
5,rms,3.0730614916261922,0.6422395838200479
6,weighted_arithmetic,0.7742541471730968,2.220446049250313e-16
6,exponential_mean,0.7742541471730968,2.220446049250313e-16
6,weighted_median,0.7742541471730968,0.0
6,minimum,0.7742541471730968,0.0
6,rms,0.7742541471730968,0.38679027443099856
7,weighted_arithmetic,-0.46952985438796624,0.0
7,exponential_mean,-0.46952985438796624,0.0
7,weighted_median,-0.46952985438796624,0.0
7,minimum,-0.46952985438796624,0.0
7,rms,-0.46952985438796624,0.5151612723686968
8,weighted_arithmetic,3.8703561284487593,4.440892098500626e-16
8,exponential_mean,3.8703561284487593,0.0
8,weighted_median,3.8703561284487593,0.0
8,minimum,3.8703561284487593,0.0
8,rms,3.8703561284487593,0.8940196063699002
9,weighted_arithmetic,-2.3892208584410337,0.0
9,exponential_mean,-2.3892208584410337,0.0
9,weighted_median,-2.3892208584410337,0.0
9,minimum,-2.3892208584410337,0.0
9,rms,-2.3892208584410337,4.1144706873063726
10,weighted_arithmetic,-3.1170689259442996,0.0
10,exponential_mean,-3.1170689259442996,4.440892098500626e-16
10,weighted_median,-3.1170689259442996,0.0
10,minimum,-3.1170689259442996,0.0
10,rms,-3.1170689259442996,5.138603939085028
11,weighted_arithmetic,-3.177053263419096,0.0
11,exponential_mean,-3.177053263419096,0.0
11,weighted_median,-3.177053263419096,0.0
11,minimum,-3.177053263419096,4.440892098500626e-16
11,rms,-3.177053263419096,5.512800944530122
12,weighted_arithmetic,0.8256937380839631,1.1102230246251565e-16
12,exponential_mean,0.8256937380839631,0.0
12,weighted_median,0.8256937380839631,0.0
12,minimum,0.8256937380839631,0.0
12,rms,0.8256937380839631,0.8228700758249219
13,weighted_arithmetic,-0.22849571687896386,0.0
13,exponential_mean,-0.22849571687896386,0.0
13,weighted_median,-0.22849571687896386,0.0
13,minimum,-0.22849571687896386,0.0
13,rms,-0.22849571687896386,0.22992698105587395
14,weighted_arithmetic,-2.1760737148169635,0.0
14,exponential_mean,-2.1760737148169635,0.0
14,weighted_median,-2.1760737148169635,0.0
14,minimum,-2.1760737148169635,0.0
14,rms,-2.1760737148169635,3.967508016718146
15,weighted_arithmetic,-3.4182636326805467,0.0
15,exponential_mean,-3.4182636326805467,4.440892098500626e-16
15,weighted_median,-3.4182636326805467,0.0
15,minimum,-3.4182636326805467,0.0
15,rms,-3.4182636326805467,5.815073521181219
16,weighted_arithmetic,-0.8664505166590422,1.1102230246251565e-16
16,exponential_mean,-0.8664505166590422,1.1102230246251565e-16
16,weighted_median,-0.8664505166590422,0.0
16,minimum,-0.8664505166590422,0.0
16,rms,-0.8664505166590422,1.010743891477223
17,weighted_arithmetic,3.175623133802894,4.440892098500626e-16
17,exponential_mean,3.175623133802894,0.0
17,weighted_median,3.175623133802894,0.0
17,minimum,3.175623133802894,0.0
17,rms,3.175623133802894,1.181877024960923
18,weighted_arithmetic,1.5937966841648512,2.220446049250313e-16
18,exponential_mean,1.5937966841648512,2.220446049250313e-16
18,weighted_median,1.5937966841648512,2.220446049250313e-16
18,minimum,1.5937966841648512,0.0
18,rms,1.5937966841648512,0.43755468614922144
19,weighted_arithmetic,-1.9629558106526757,0.0
19,exponential_mean,-1.9629558106526757,1.3322676295501878e-15
19,weighted_median,-1.9629558106526757,0.0
19,minimum,-1.9629558106526757,4.440892098500626e-16
19,rms,-1.9629558106526757,3.2673811451643826
20,weighted_arithmetic,-0.6922343437782406,0.0
20,exponential_mean,-0.6922343437782406,2.220446049250313e-16
20,weighted_median,-0.6922343437782406,0.0
20,minimum,-0.6922343437782406,1.1102230246251565e-16
20,rms,-0.6922343437782406,1.1338665102525285
21,weighted_arithmetic,1.2036519919725395,0.0
21,exponential_mean,1.2036519919725395,2.220446049250313e-16
21,weighted_median,1.2036519919725395,0.0
21,minimum,1.2036519919725395,0.0
21,rms,1.2036519919725395,1.063763960657761
22,weighted_arithmetic,-2.232823944602086,0.0
22,exponential_mean,-2.232823944602086,0.0
22,weighted_median,-2.232823944602086,0.0
22,minimum,-2.232823944602086,0.0
22,rms,-2.232823944602086,3.316963069835575
23,weighted_arithmetic,2.5071820305404984,0.0
23,exponential_mean,2.5071820305404984,0.0
23,weighted_median,2.5071820305404984,0.0
23,minimum,2.5071820305404984,0.0
23,rms,2.5071820305404984,0.6681533752252033
24,weighted_arithmetic,-1.2648296527298806,0.0
24,exponential_mean,-1.2648296527298806,0.0
24,weighted_median,-1.2648296527298806,0.0
24,minimum,-1.2648296527298806,0.0
24,rms,-1.2648296527298806,1.5577155377136336
25,weighted_arithmetic,-3.153676872463018,0.0
25,exponential_mean,-3.153676872463018,4.440892098500626e-16
25,weighted_median,-3.153676872463018,0.0
25,minimum,-3.153676872463018,0.0
25,rms,-3.153676872463018,5.622522432427099
26,weighted_arithmetic,3.0844426820365625,4.440892098500626e-16
26,exponential_mean,3.0844426820365625,0.0
26,weighted_median,3.0844426820365625,0.0
26,minimum,3.0844426820365625,0.0
26,rms,3.0844426820365625,0.8860634571268515
27,weighted_arithmetic,0.8649573039065812,1.1102230246251565e-16
27,exponential_mean,0.8649573039065812,2.220446049250313e-16
27,weighted_median,0.8649573039065812,0.0
27,minimum,0.8649573039065812,0.0
27,rms,0.8649573039065812,0.9011052607362278
28,weighted_arithmetic,-0.9187787194292927,2.220446049250313e-16
28,exponential_mean,-0.9187787194292927,0.0
28,weighted_median,-0.9187787194292927,0.0
28,minimum,-0.9187787194292927,0.0
28,rms,-0.9187787194292927,0.6979062015491391
29,weighted_arithmetic,3.3635395954445784,0.0
29,exponential_mean,3.3635395954445784,0.0
29,weighted_median,3.3635395954445784,0.0
29,minimum,3.3635395954445784,0.0
29,rms,3.3635395954445784,0.523425528166479
30,weighted_arithmetic,2.435103660557173,8.881784197001252e-16
30,exponential_mean,2.435103660557173,0.0
30,weighted_median,2.435103660557173,0.0
30,minimum,2.435103660557173,0.0
30,rms,2.435103660557173,0.4951522368977921
31,weighted_arithmetic,2.4787300061340947,0.0
31,exponential_mean,2.4787300061340947,4.440892098500626e-16
31,weighted_median,2.4787300061340947,0.0
31,minimum,2.4787300061340947,0.0
31,rms,2.4787300061340947,0.8916681957511521
32,weighted_arithmetic,-3.889795158190015,0.0
32,exponential_mean,-3.889795158190015,4.440892098500626e-16
32,weighted_median,-3.889795158190015,0.0
32,minimum,-3.889795158190015,0.0
32,rms,-3.889795158190015,7.031578965189611
33,weighted_arithmetic,2.5922424624540037,4.440892098500626e-16
33,exponential_mean,2.5922424624540037,0.0
33,weighted_median,2.5922424624540037,0.0
33,minimum,2.5922424624540037,0.0
33,rms,2.5922424624540037,0.43895628510424034
34,weighted_arithmetic,3.318896848458955,8.881784197001252e-16
34,exponential_mean,3.318896848458955,0.0
34,weighted_median,3.318896848458955,0.0
34,minimum,3.318896848458955,0.0
34,rms,3.318896848458955,0.8758929110978149
35,weighted_arithmetic,0.10583601042854784,5.551115123125783e-17
35,exponential_mean,0.10583601042854784,1.1102230246251565e-16
35,weighted_median,0.10583601042854784,0.0
35,minimum,0.10583601042854784,0.0
35,rms,0.10583601042854784,0.13609121623761555
36,weighted_arithmetic,3.9091817182760824,0.0
36,exponential_mean,3.9091817182760824,0.0
36,weighted_median,3.9091817182760824,0.0
36,minimum,3.9091817182760824,0.0
36,rms,3.9091817182760824,0.6509609836660823
37,weighted_arithmetic,-3.620933259004241,0.0
37,exponential_mean,-3.620933259004241,0.0
37,weighted_median,-3.620933259004241,0.0
37,minimum,-3.620933259004241,0.0
37,rms,-3.620933259004241,5.683331936970283
38,weighted_arithmetic,-2.483824871305826,0.0
38,exponential_mean,-2.483824871305826,0.0
38,weighted_median,-2.483824871305826,0.0
38,minimum,-2.483824871305826,0.0
38,rms,-2.483824871305826,3.5637389865110682
39,weighted_arithmetic,-1.7152498217014935,0.0
39,exponential_mean,-1.7152498217014935,0.0
39,weighted_median,-1.7152498217014935,0.0
39,minimum,-1.7152498217014935,2.220446049250313e-16
39,rms,-1.7152498217014935,1.4241810088436668
40,weighted_arithmetic,-1.1971692477950144,0.0
40,exponential_mean,-1.1971692477950144,0.0
40,weighted_median,-1.1971692477950144,0.0
40,minimum,-1.1971692477950144,0.0
40,rms,-1.1971692477950144,1.8597247975225177
41,weighted_arithmetic,2.3237788745554893,4.440892098500626e-16
41,exponential_mean,2.3237788745554893,0.0
41,weighted_median,2.3237788745554893,0.0
41,minimum,2.3237788745554893,0.0
41,rms,2.3237788745554893,0.7468809865296968
42,weighted_arithmetic,-1.2240079141313265,2.220446049250313e-16
42,exponential_mean,-1.2240079141313265,4.440892098500626e-16
42,weighted_median,-1.2240079141313265,0.0
42,minimum,-1.2240079141313265,0.0
42,rms,-1.2240079141313265,1.5153587498800005
43,weighted_arithmetic,-0.4885248681693186,1.1102230246251565e-16
43,exponential_mean,-0.4885248681693186,4.440892098500626e-16
43,weighted_median,-0.4885248681693186,0.0
43,minimum,-0.4885248681693186,0.0
43,rms,-0.4885248681693186,0.7729850239657059
44,weighted_arithmetic,-3.755173824137896,0.0
44,exponential_mean,-3.755173824137896,4.440892098500626e-16
44,weighted_median,-3.755173824137896,0.0
44,minimum,-3.755173824137896,0.0
44,rms,-3.755173824137896,6.6198853799544874
45,weighted_arithmetic,3.9426606981214736,4.440892098500626e-16
45,exponential_mean,3.9426606981214736,4.440892098500626e-16
45,weighted_median,3.9426606981214736,0.0
45,minimum,3.9426606981214736,0.0
45,rms,3.9426606981214736,1.1863226715332211
46,weighted_arithmetic,-1.952571204439633,0.0
46,exponential_mean,-1.952571204439633,2.220446049250313e-16
46,weighted_median,-1.952571204439633,2.220446049250313e-16
46,minimum,-1.952571204439633,4.440892098500626e-16
46,rms,-1.952571204439633,3.426863823363602
47,weighted_arithmetic,2.16526840349284,8.881784197001252e-16
47,exponential_mean,2.16526840349284,0.0
47,weighted_median,2.16526840349284,0.0
47,minimum,2.16526840349284,0.0
47,rms,2.16526840349284,0.2829790392599276
48,weighted_arithmetic,-1.9361015330089897,0.0
48,exponential_mean,-1.9361015330089897,0.0
48,weighted_median,-1.9361015330089897,0.0
48,minimum,-1.9361015330089897,2.220446049250313e-16
48,rms,-1.9361015330089897,2.8453761540626274
49,weighted_arithmetic,-3.882837066402608,8.881784197001252e-16
49,exponential_mean,-3.882837066402608,4.440892098500626e-16
49,weighted_median,-3.882837066402608,4.440892098500626e-16
49,minimum,-3.882837066402608,4.440892098500626e-16
49,rms,-3.882837066402608,7.060629950952732
50,weighted_arithmetic,3.6629973665719797,4.440892098500626e-16
50,exponential_mean,3.6629973665719797,4.440892098500626e-16
50,weighted_median,3.6629973665719797,0.0
50,minimum,3.6629973665719797,0.0
50,rms,3.6629973665719797,1.4305750345407202
51,weighted_arithmetic,-2.8454262363295424,0.0
51,exponential_mean,-2.8454262363295424,4.440892098500626e-16
51,weighted_median,-2.8454262363295424,0.0
51,minimum,-2.8454262363295424,0.0
51,rms,-2.8454262363295424,4.90915915152415
52,weighted_arithmetic,-2.477947948110174,4.440892098500626e-16
52,exponential_mean,-2.477947948110174,4.440892098500626e-16
52,weighted_median,-2.477947948110174,0.0
52,minimum,-2.477947948110174,0.0
52,rms,-2.477947948110174,3.496503053554095
53,weighted_arithmetic,1.9231246497574555,0.0
53,exponential_mean,1.9231246497574555,0.0
53,weighted_median,1.9231246497574555,2.220446049250313e-16
53,minimum,1.9231246497574555,0.0
53,rms,1.9231246497574555,0.47738035834302717
54,weighted_arithmetic,0.13247022314543955,0.0
54,exponential_mean,0.13247022314543955,0.0
54,weighted_median,0.13247022314543955,0.0
54,minimum,0.13247022314543955,0.0
54,rms,0.13247022314543955,0.11225386831582584
55,weighted_arithmetic,1.5526385865229795,0.0
55,exponential_mean,1.5526385865229795,0.0
55,weighted_median,1.5526385865229795,0.0
55,minimum,1.5526385865229795,0.0
55,rms,1.5526385865229795,0.9213542884296431
56,weighted_arithmetic,0.8233375124872246,1.1102230246251565e-16
56,exponential_mean,0.8233375124872246,0.0
56,weighted_median,0.8233375124872246,0.0
56,minimum,0.8233375124872246,0.0
56,rms,0.8233375124872246,0.901081534908848
57,weighted_arithmetic,0.8475489871212458,1.1102230246251565e-16
57,exponential_mean,0.8475489871212458,2.220446049250313e-16
57,weighted_median,0.8475489871212458,0.0
57,minimum,0.8475489871212458,0.0
57,rms,0.8475489871212458,0.5664039216542192
58,weighted_arithmetic,2.56269792190242,4.440892098500626e-16
58,exponential_mean,2.56269792190242,0.0
58,weighted_median,2.56269792190242,0.0
58,minimum,2.56269792190242,0.0
58,rms,2.56269792190242,1.443558060232909
59,weighted_arithmetic,-1.2043986812846557,0.0
59,exponential_mean,-1.2043986812846557,0.0
59,weighted_median,-1.2043986812846557,0.0
59,minimum,-1.2043986812846557,0.0
59,rms,-1.2043986812846557,1.8754570491931335
60,weighted_arithmetic,-2.8986518162959696,4.440892098500626e-16
60,exponential_mean,-2.8986518162959696,0.0
60,weighted_median,-2.8986518162959696,0.0
60,minimum,-2.8986518162959696,0.0
60,rms,-2.8986518162959696,5.1814500508849095
61,weighted_arithmetic,-1.3342162814451193,4.440892098500626e-16
61,exponential_mean,-1.3342162814451193,2.220446049250313e-16
61,weighted_median,-1.3342162814451193,0.0
61,minimum,-1.3342162814451193,0.0
61,rms,-1.3342162814451193,1.816000757758691
62,weighted_arithmetic,1.379331031636399,0.0
62,exponential_mean,1.379331031636399,2.220446049250313e-16
62,weighted_median,1.379331031636399,2.220446049250313e-16
62,minimum,1.379331031636399,0.0
62,rms,1.379331031636399,0.20382180358829594
63,weighted_arithmetic,-3.963751307908459,4.440892098500626e-16
63,exponential_mean,-3.963751307908459,4.440892098500626e-16
63,weighted_median,-3.963751307908459,0.0
63,minimum,-3.963751307908459,4.440892098500626e-16
63,rms,-3.963751307908459,6.237229197329471
64,weighted_arithmetic,3.389873041634888,0.0
64,exponential_mean,3.389873041634888,0.0
64,weighted_median,3.389873041634888,0.0
64,minimum,3.389873041634888,0.0
64,rms,3.389873041634888,1.1474068106409008
65,weighted_arithmetic,-2.198607889103706,4.440892098500626e-16
65,exponential_mean,-2.198607889103706,0.0
65,weighted_median,-2.198607889103706,0.0
65,minimum,-2.198607889103706,0.0
65,rms,-2.198607889103706,3.6902723331668867
66,weighted_arithmetic,-3.9452260630231955,1.3322676295501878e-15
66,exponential_mean,-3.9452260630231955,0.0
66,weighted_median,-3.9452260630231955,4.440892098500626e-16
66,minimum,-3.9452260630231955,4.440892098500626e-16
66,rms,-3.9452260630231955,7.2006758976032925
67,weighted_arithmetic,1.0069641833679928,0.0
67,exponential_mean,1.0069641833679928,2.220446049250313e-16
67,weighted_median,1.0069641833679928,0.0
67,minimum,1.0069641833679928,0.0
