sample_index,operator,group_count,macro_probability_tv,maximum_group_weight_relative_error
0,weighted_arithmetic,4,0.0055255635645971735,0.10572871445598687
0,exponential_mean,4,6.071532165918825e-17,2.557838924848681e-16
0,weighted_median,4,0.03322273487566002,0.3411530278513467
0,minimum,4,0.03322273487566002,0.3411530278513467
1,weighted_arithmetic,3,0.10130520513750887,0.41948934432506074
1,exponential_mean,3,6.938893903907228e-17,1.8852216993830867e-16
1,weighted_median,3,0.29287853308948575,0.7286504529710077
1,minimum,3,0.12367919537744247,1.66534850979852
2,weighted_arithmetic,3,0.13406024281967316,0.6035624007354132
2,exponential_mean,3,2.7755575615628914e-17,2.1651568468966003e-16
2,weighted_median,3,0.2259032424909746,0.7323200629360332
2,minimum,3,0.06490200418522485,2.5469674497670063
3,weighted_arithmetic,3,0.21315883750175527,0.7466995875582663
3,exponential_mean,3,1.8041124150158794e-16,4.830597836984663e-16
3,weighted_median,3,0.32013357348061916,0.8620600050225142
3,minimum,3,0.10290295030133347,4.784616413818309
4,weighted_arithmetic,4,0.0398249586006498,0.2941602886258726
4,exponential_mean,4,5.551115123125783e-17,2.504866684663063e-16
4,weighted_median,4,0.07296389344600833,0.38259455751682014
4,minimum,4,0.19679208890085062,3.6481325172339707
5,weighted_arithmetic,2,0.08399552843409061,0.6691161473333742
5,exponential_mean,2,6.938893903907228e-18,1.4237413470921128e-16
5,weighted_median,2,0.23669064710024837,0.8605525793109035
5,minimum,2,0.05060607404265774,5.944880709596993
6,weighted_arithmetic,8,0.0634676780736369,0.5908818654214211
6,exponential_mean,8,1.0755285551056204e-16,3.1767911595762293e-16
6,weighted_median,8,0.05331721504769917,0.819833672005441
6,minimum,8,0.21710923447430486,3.2458883210058223
7,weighted_arithmetic,3,0.11779634440295927,0.6410696311272807
7,exponential_mean,3,9.020562075079397e-17,1.9361740861578513e-16
7,weighted_median,3,0.19047998005877492,0.8449420552421472
7,minimum,3,0.15429597113247,3.900502901627017
8,weighted_arithmetic,6,0.04167232343059627,0.34711992072573533
8,exponential_mean,6,1.4116312285761268e-16,4.548546788194728e-16
8,weighted_median,6,0.13858405920452205,0.5640184026122969
8,minimum,6,0.1775762173119655,2.0803639860346497
9,weighted_arithmetic,6,0.0013445961788391757,0.00542864951336968
9,exponential_mean,6,0.0,0.0
9,weighted_median,6,0.02663955173308387,0.10286847589061388
9,minimum,6,0.02488246979729318,0.10543974675689748
10,weighted_arithmetic,6,0.09553126488040956,0.5869534456305479
10,exponential_mean,6,5.551115123125783e-17,1.7810480311375957e-16
10,weighted_median,6,0.210248281361192,0.8446737938391381
10,minimum,6,0.15722352386534108,2.773363268628048
11,weighted_arithmetic,2,0.015313717883051609,0.3306480598095801
11,exponential_mean,2,2.7755575615628914e-17,1.2498616373854896e-16
11,weighted_median,2,0.05274407479395893,0.29373570441209673
11,minimum,2,0.19412549442522015,6.399952056329639
12,weighted_arithmetic,5,0.038972083397677756,0.3358863116113919
12,exponential_mean,5,2.7755575615628914e-17,1.8574730564269472e-16
12,weighted_median,5,0.18288054733648174,0.6209110659465107
12,minimum,5,0.17220544335670246,3.457220159713929
13,weighted_arithmetic,6,0.053493021589001,0.41899712954645907
13,exponential_mean,6,3.469446951953614e-18,1.2590520314830133e-16
13,weighted_median,6,0.12998348617609085,0.3511123632276573
13,minimum,6,0.14550121505914262,1.2145384536570072
14,weighted_arithmetic,2,0.08352779003107003,0.38093513894119296
14,exponential_mean,2,1.1102230246251565e-16,1.6253686905597207e-16
14,weighted_median,2,0.25298513688886165,0.6035360778491752
14,minimum,2,0.2912938130948616,3.5667698857794723
15,weighted_arithmetic,4,0.06263703293231873,0.6093291114307736
15,exponential_mean,4,0.0,0.0
15,weighted_median,4,0.15530041056111243,0.7619721834623719
15,minimum,4,0.17409633222640095,6.724846295364267
16,weighted_arithmetic,3,0.0717421097429109,0.545925615767299
16,exponential_mean,3,3.469446951953614e-17,1.7286431225007637e-16
16,weighted_median,3,0.0805912306975198,0.7762405659822723
16,minimum,3,0.02140421753107173,3.2286188665684676
17,weighted_arithmetic,6,0.22603726785614994,0.739552210189109
17,exponential_mean,6,4.336808689942018e-17,1.9620968352534592e-16
17,weighted_median,6,0.231770415559874,0.8579432277960969
17,minimum,6,0.14666195151869235,2.4087196691133776
18,weighted_arithmetic,3,0.25880513313218345,0.6774971067703118
18,exponential_mean,3,6.591949208711867e-17,1.3769863249505894e-16
18,weighted_median,3,0.26056557191718865,0.6986163899400554
18,minimum,3,0.21718366101115133,3.540005881349535
19,weighted_arithmetic,6,0.0656003019717715,0.4879133092262358
19,exponential_mean,6,1.3877787807814457e-17,1.5070837096814043e-16
19,weighted_median,6,0.11545013136111361,0.7769305013441908
19,minimum,6,0.13547125441558194,1.4717397399360226
20,weighted_arithmetic,3,0.13998015477210185,0.6744305417269131
20,exponential_mean,3,4.163336342344337e-17,1.9412414299097875e-16
