sample_index,coarse_count,mean_macro_row_tv,maximum_macro_row_tv
0,2,0.08733465769002062,0.09210995876818337
1,2,0.08774149846739336,0.10050321101000675
2,3,0.06734000994739499,0.08788514551493773
3,3,0.0828818456392184,0.1005523532979456
4,2,0.032822892848347496,0.05279483169262855
5,5,0.20430080610488882,0.2606124761525753
6,4,0.1799552635005962,0.31269924868454035
7,8,0.10007273630279068,0.26422482489345045
8,7,0.17851856734308386,0.3833228621889819
9,2,0.08628809302651438,0.09663851643196494
10,4,0.15963261679722912,0.21599283222045118
11,3,0.07589507930158872,0.16480885428287678
12,2,0.07517477362945914,0.09722209070269477
13,2,0.03640086703261336,0.053319845463811355
14,7,0.15536273233001188,0.28829664773513874
15,2,0.02955190094484607,0.04722701898630466
16,5,0.09552930769573025,0.1723659005327414
17,3,0.08403391449443937,0.13830771553868068
18,3,0.17844171337234802,0.19809043255173414
19,3,0.04776780403489639,0.07555771634326186
20,2,0.03276122873251755,0.06500404171262819
21,2,0.07593466442495608,0.09704038271406554
22,2,0.02125580592233625,0.03631391637687814
23,4,0.15699950862900952,0.17801111255813895
24,2,0.08589304725859004,0.10034940055508756
25,7,0.04366415102028849,0.20286054344550022
26,6,0.15637465295694256,0.28180890986465246
27,4,0.1184393614438396,0.16573640160137595
28,3,0.03305893526133092,0.04513050594072633
29,4,0.15956209798203755,0.21284409979253663
30,2,0.054057715564879094,0.09654047746501396
31,2,0.057220699340790326,0.06680979716028934
32,4,0.08376436928936609,0.1428364193887916
33,2,0.05452370883610315,0.0979035753114991
34,2,0.14761046572621528,0.2539732606200556
35,2,0.03961672531762504,0.05823456356479026
36,3,0.17575899965937034,0.30076316879014137
37,4,0.0996683350305316,0.16121250789447217
38,3,0.07106997518675742,0.09927825463723358
39,6,0.09375962176671028,0.23029175610994332
40,4,0.07807641968353765,0.09732006999920884
41,3,0.14470056140597315,0.19921211007309653
42,3,0.10058988291300121,0.12609143790342475
43,2,0.05455695696195617,0.05739811721580096
44,2,0.05844493523828316,0.0774030210102276
45,5,0.05196240985213163,0.07512776182849282
46,5,0.10099898733971431,0.15019158801052857
47,3,0.08447141558812958,0.13960403898079857
48,4,0.07161840575659373,0.09046900334802027
49,2,0.017896885715380076,0.022050038945295697
50,2,0.04355364039600905,0.04589803500635575
51,5,0.12256972534077068,0.2772015650340029
52,8,0.16475660056867425,0.28132543607181526
53,3,0.12248672325217978,0.17169845874287007
54,2,0.07481354401829039,0.10308947166341698
55,3,0.05983968874869946,0.13368324570190065
56,3,0.10142598879336924,0.16864092760080882
57,4,0.07347831192225317,0.11811706299763816
58,3,0.13662121944890604,0.385174728829616
59,4,0.15877020738641148,0.20431975680514528
60,2,0.047014760508363174,0.05208356277405776
61,5,0.16415488747035661,0.3191476198803483
62,3,0.11181787846801312,0.16853568982001024
63,3,0.07426330541606076,0.10105519748915864
64,4,0.08375442105572889,0.19766078556236227
65,6,0.12384547906475231,0.17100011058553988
66,6,0.1002753697968653,0.2636617511859734
67,2,0.11922746800968725,0.15376759157035447
68,3,0.07308391226784482,0.11857121742653343
69,3,0.06951409651365646,0.14775859834013
70,6,0.11720144067593591,0.19468291653160608
71,3,0.05131998200117727,0.06767743934512843
72,4,0.2100744410871589,0.3251578090392248
73,4,0.12998385144558908,0.17877970590273204
74,4,0.17335847177045383,0.18802113117016778
75,6,0.18240534019055468,0.39553185608885094
76,7,0.16007219642537596,0.2873626496322061
77,2,0.05838290923399417,0.0844292286349414
78,6,0.14633451896975463,0.2673233285591574
79,3,0.09709297490150393,0.10096870871126365
80,6,0.1763260856678109,0.291373431923978
81,8,0.07227687286303298,0.17633941186675572
82,6,0.1564911720624572,0.19072857000455257
83,3,0.061979753726834175,0.13128324590892865
84,2,0.0652489908066507,0.09810555858943265
85,4,0.13652196451781023,0.1622649804503124
86,4,0.11499668100840932,0.19223132341288435
87,5,0.1202571933505033,0.2144391713951616
88,6,0.08599898107436386,0.1626496952469318
89,8,0.08228297239461732,0.16324046133020592
90,5,0.21469668848492848,0.37559282625936474
91,2,0.054457016509377607,0.08047865236337298
92,7,0.1997573308804704,0.27127616581953595
93,2,0.04971286852155936,0.08057111849016224
94,6,0.14586123207800059,0.3487610965955053
95,5,0.09510460433404275,0.1643975877525543
96,4,0.035615550392257965,0.0825355398845446
97,3,0.10890626142571347,0.15693720722139287
98,5,0.16955930178982676,0.1984942479870329
99,4,0.1036338302188014,0.16437297042776441
100,4,0.057624374678920565,0.1137086213359526
101,7,0.06324570945170548,0.22182815060549246
102,3,0.03648094721127141,0.05044470898712051
103,5,0.12505203732841003,0.1938582215431356
104,6,0.10933057352258752,0.21845040848723427
105,2,0.005911703472141996,0.011591532628493634
106,2,0.014477171986604892,0.026255292506167316
107,6,0.17950842614269,0.3320532098922652
108,3,0.0839528774199015,0.18538112593882033
109,4,0.15391163972831715,0.4003422938835699
110,2,0.1086899253211443,0.15005199822241547
111,4,0.12272540121798252,0.22805771932504967
112,2,0.030857123623148325,0.04932969255956424
113,3,0.05493710691870379,0.09822252893201798
114,4,0.11784167624637641,0.1731181074564157
115,7,0.20428036769797434,0.25608811077763977
116,2,0.1448997778482326,0.26817912581736586
117,3,0.04005615300909806,0.047496106851644654
118,2,0.02598097087515471,0.039147437498685836
119,2,0.052598194470694346,0.07974557963325585
120,6,0.10901485311699373,0.20241492212569137
121,5,0.1401215873376011,0.36136235356484664
122,3,0.1028152046062359,0.16489453352924316
123,5,0.17914868114572208,0.27845291786493587
124,6,0.144817145200787,0.24987386301702272
125,4,0.14815444030133848,0.29144811468589626
126,5,0.12500455257855986,0.16880408219696352
127,3,0.14870798740815677,0.296463997104084
128,6,0.11821985152663483,0.18070626886592078
129,5,0.09755400245322449,0.16260074135277297
130,3,0.07948818992383584,0.12443016238510328
131,4,0.063589098272669,0.08250108858231996
132,4,0.08847926357531101,0.12462256683133675
133,2,0.09456394349637758,0.13887674704320058
134,4,0.09443556576383175,0.16230180678644712
135,7,0.14305861529626232,0.27559992077367057
136,4,0.10401877008997713,0.16522277175930816
137,3,0.16536480852079863,0.2246470130926727
138,4,0.09697658944787763,0.12382556956946747
139,5,0.11153602544447883,0.2286364128121001
140,3,0.108118272480372,0.1434026130066453
141,4,0.1400942068807368,0.275497391712362
142,2,0.06129867255176957,0.10373528572918639
143,5,0.11069079322638498,0.18864675688634003
144,2,0.11776038711154524,0.12955223767831986
145,2,0.16937253544263392,0.2659824024668985
146,6,0.22803778898742866,0.3048387966188737
147,3,0.11239532810041153,0.14586030056425098
148,5,0.230658501835239,0.3182180545036623
149,2,0.06422084977687577,0.07593668046930227
150,2,0.0059428420389944225,0.007097948254146058
151,3,0.15689264444135007,0.28368909768122713
152,4,0.11440645217572815,0.19627992741082162
153,4,0.1220503552043577,0.19731048582143637
154,2,0.017636658859649323,0.023435212795461596
155,2,0.0335382141092225,0.0622515684209381
156,2,0.07576878195742093,0.09701934060492093
157,2,0.03282929973010121,0.04097116545487667
158,2,0.0414544777418996,0.053697208826999854
159,3,0.08320762700504329,0.11916770363494757
160,3,0.16483467481681405,0.2339457425169098
161,8,0.07898963425211322,0.3285696994886817
162,3,0.08574120537332319,0.10045802046024305
163,2,0.03746158551566195,0.05063116730421932
164,3,0.16022905718950778,0.19078582130085425
165,2,0.07734226180564374,0.08546092199764077
166,4,0.13232811558939347,0.25127499535696984
167,4,0.17595937626326708,0.2826551858899335
168,3,0.09027239029519189,0.14941533635020537
169,2,0.049562970786766594,0.09297085902118901
170,2,0.08078652198582692,0.12562797248219035
171,4,0.17666085168302695,0.2540345985450828
172,6,0.13318444668044305,0.27812544354796215
173,7,0.173334555164217,0.2747231522376945
174,4,0.14028679731039806,0.21384446305202465
175,3,0.07171596190835856,0.08739822141347788
176,4,0.11776295209376654,0.2783516864428472
177,2,0.00597378025864552,0.011646449188119468
178,3,0.10563388544968837,0.13971143189148008
179,3,0.03259399189727705,0.04341221240766162
180,5,0.11420014216218473,0.18586199707135584
181,4,0.11463365132421165,0.2818207474261112
182,3,0.13770528912141777,0.28513166955996927
183,7,0.1374254181319329,0.19591671816409087
184,3,0.07823205744734411,0.19095671341587198
185,3,0.176648369097268,0.2680493143713508
186,2,0.04749757640084025,0.06312455434816217
187,2,0.07572732410568817,0.08953164546700357
188,3,0.07189600524676516,0.09858158215883539
189,5,0.10511769004840874,0.1950056322341777
190,2,0.0695076987328191,0.10111365340339151
191,2,0.035638401257873945,0.04666700882461003
192,6,0.14983359145166564,0.3365348006298459
193,5,0.08898637289216058,0.12478997131317446
194,2,0.024373892986126147,0.028348478091216434
195,4,0.07890009970882111,0.11418143949093404
196,2,0.03052291064089291,0.037980638885799084
197,7,0.13390906917426784,0.40741412501490637
198,5,0.059291638152815254,0.1092192541575943
199,2,0.035172569231138845,0.03669637219666247
200,3,0.09212941446761423,0.17061065991616925
201,3,0.09974743337565918,0.1528359877354153
202,4,0.1181050339344864,0.34249342506826763
203,2,0.06909537948643803,0.07592348274238411
204,5,0.1484489500552521,0.2147108268910322
205,2,0.054901809013592304,0.09731817545603455
206,3,0.05041443093421875,0.06795389503461666
207,3,0.08615246493648272,0.11560697700770799
208,2,0.09699024078359539,0.14536970063029683
209,4,0.09822768499614774,0.1915562961879692
210,7,0.1909693152677187,0.2534858699103611
211,2,0.1070193506966421,0.15855294627686256
212,5,0.11319274213488939,0.18881050054380763
213,2,0.0790667705010237,0.10809523192750589
214,2,0.08333470494347017,0.12660165115000177
215,3,0.08597503544337981,0.1442857702725362
216,4,0.11954575594765127,0.13928744609105098
217,6,0.13917986672225507,0.2277825881543172
218,2,0.049105305148981815,0.05694079734811966
219,3,0.03298818187668377,0.0511443404900918
220,3,0.17339127833727083,0.30195513222421577
221,3,0.08180651085917964,0.11664641297297527
222,7,0.2534054367064259,0.3993487245811297
223,3,0.09933835056325675,0.1380655236103509
224,6,0.15557805506228412,0.33846220120173914
225,3,0.05809333549831149,0.07384031117786645
226,4,0.08363073967598346,0.10807561785112706
227,3,0.0472038024616071,0.07581342674185933
228,3,0.15063127742992835,0.25320284982071206
229,2,0.02969984453891439,0.051357737339250975
230,6,0.14632550597879843,0.229880380114442
231,2,0.06660135867153116,0.08498099898995429
232,2,0.05197921464978787,0.06976239296144066
233,7,0.16693015683812248,0.32608297730659047
234,3,0.1176466342454869,0.3024299235273291
235,2,0.11095228992106416,0.16245406028600348
236,2,0.08218045878358379,0.08562962795165965
237,3,0.06252833250932475,0.07797246101839665
238,3,0.12525546845492627,0.2418013449406154
239,3,0.052835826262723595,0.1200147366420604
240,3,0.07700342262957717,0.1144423725691257
241,5,0.09470384168573336,0.13494098077913835
242,3,0.16057892310766297,0.23410272792668305
243,5,0.19177600593805416,0.2596640758564931
244,2,0.03980826498176762,0.057598909566965395
245,2,0.061356604610539864,0.10125635072253264
246,6,0.14114582033877462,0.3171082716688062
247,8,0.11784124536737978,0.26573732100318237
