sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
142,28,6,2,2.8421709430404007e-13
143,27,8,5,4.263256414560601e-14
144,24,4,2,2.2737367544323206e-13
145,13,5,2,5.684341886080802e-14
146,20,7,6,2.842170943040401e-14
147,16,9,3,2.842170943040401e-14
148,25,6,5,5.684341886080802e-14
149,17,7,2,5.684341886080802e-14
150,22,6,2,2.2737367544323206e-13
151,12,5,3,2.842170943040401e-14
152,17,8,4,1.4210854715202004e-14
153,20,9,4,2.842170943040401e-14
154,22,5,2,2.2737367544323206e-13
155,18,4,2,8.526512829121202e-14
156,19,4,2,5.684341886080802e-14
157,26,4,2,1.7053025658242404e-13
158,31,4,2,5.684341886080801e-13
159,26,4,3,8.526512829121202e-14
160,17,5,3,8.526512829121202e-14
161,13,9,8,8.881784197001252e-16
162,15,4,3,5.684341886080802e-14
163,18,9,2,5.684341886080802e-14
164,18,4,3,5.684341886080802e-14
165,16,4,2,5.684341886080802e-14
166,16,8,4,2.842170943040401e-14
167,22,8,4,4.263256414560601e-14
168,32,7,3,1.4210854715202004e-13
169,24,8,2,2.8421709430404007e-13
170,31,4,2,2.2737367544323206e-13
171,18,7,4,2.842170943040401e-14
172,18,9,6,2.842170943040401e-14
173,28,8,7,2.842170943040401e-14
174,17,9,4,1.4210854715202004e-14
175,31,4,3,1.7053025658242404e-13
176,31,5,4,1.1368683772161603e-13
177,27,6,2,5.684341886080802e-14
178,29,8,3,2.2737367544323206e-13
179,31,4,3,3.410605131648481e-13
180,23,9,5,4.263256414560601e-14
181,26,7,4,5.684341886080802e-14
182,15,8,3,1.4210854715202004e-14
183,29,8,7,5.684341886080802e-14
184,17,7,3,5.684341886080802e-14
185,15,8,3,5.684341886080802e-14
186,27,6,2,3.410605131648481e-13
187,21,5,2,1.1368683772161603e-13
188,29,7,3,8.526512829121202e-14
189,16,8,5,1.4210854715202004e-14
190,20,6,2,1.1368683772161603e-13
191,28,4,2,2.2737367544323206e-13
192,20,8,6,1.4210854715202004e-14
193,29,6,5,4.263256414560601e-14
194,28,5,2,4.547473508864641e-13
