n,sample_index,kernel,row_affine_invariance_error,global_scale_total_variation,relabel_equivariance_error,outside_locality_error,shape_perturbation_mean_tv,shape_perturbation_max_tv
16,0,raw_softmax,0.16439787022252209,0.21547103668431083,1.1102230246251565e-16,0.0,0.1572954507113335,0.2874564841740779
16,0,standardized_exponential,2.220446049250313e-16,3.393552799879629e-17,1.1102230246251565e-16,0.0,0.2556908014475884,0.5624855206134849
16,0,standardized_asinh,1.6653345369377348e-16,1.5178830414797062e-17,1.1102230246251565e-16,0.0,0.2243337854340341,0.5032468263426126
16,0,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.11061346890270231,0.32015666782980645
16,1,raw_softmax,0.2893976635162656,0.2084655511117749,5.551115123125783e-17,0.0,0.16787137425723447,0.33163693921750065
16,1,standardized_exponential,1.1102230246251565e-16,3.3393426912553537e-17,5.551115123125783e-17,0.0,0.29644380993916003,0.7201212418276294
16,1,standardized_asinh,2.220446049250313e-16,2.7755575615628914e-17,1.1102230246251565e-16,0.0,0.2564876318350396,0.6455217064771243
16,1,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.110865469513025,0.32015666782980645
16,2,raw_softmax,0.36515954319726746,0.2500620874448306,1.1102230246251565e-16,0.0,0.1855355301921037,0.32251263489317705
16,2,standardized_exponential,2.220446049250313e-16,3.0682921481339775e-17,2.220446049250313e-16,0.0,0.2897435428177323,0.7428191967027803
16,2,standardized_asinh,2.220446049250313e-16,2.7430314963883262e-17,1.1102230246251565e-16,0.0,0.25016626106132545,0.6673637986991008
16,2,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.12090722491345353,0.32015666782980645
16,3,raw_softmax,0.367998201100734,0.23537079222752122,1.1102230246251565e-16,0.0,0.16581236771676203,0.2646767142289783
16,3,standardized_exponential,2.220446049250313e-16,3.5670251474773096e-17,1.1102230246251565e-16,0.0,0.20055543432922673,0.4053037621486586
16,3,standardized_asinh,2.220446049250313e-16,3.621235256101585e-17,1.1102230246251565e-16,0.0,0.18153677967513226,0.34089643853005835
16,3,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.10064931230907109,0.24332657522813184
16,4,raw_softmax,0.24774903001647752,0.2376106587406474,1.1102230246251565e-16,0.0,0.12543379334460014,0.31970946162161284
16,4,standardized_exponential,2.220446049250313e-16,1.702197410802242e-17,1.1102230246251565e-16,0.0,0.17515751637609528,0.7364230481891872
16,4,standardized_asinh,1.1102230246251565e-16,2.8406096919120216e-17,1.1102230246251565e-16,0.0,0.15680390893401314,0.6573867585857784
16,4,standardized_rank,0.0,0.0,0.0,0.0,0.05716967878711725,0.32015666782980645
16,5,raw_softmax,0.290934078515365,0.1783867721723031,1.1102230246251565e-16,0.0,0.1910720819898734,0.32849033883381207
16,5,standardized_exponential,2.220446049250313e-16,3.9898639947466563e-17,1.1102230246251565e-16,0.0,0.3662363523340876,0.6664485702458158
16,5,standardized_asinh,2.220446049250313e-16,2.42861286636753e-17,1.1102230246251565e-16,0.0,0.313489735189023,0.594573232272243
16,5,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.1664689204004126,0.32015666782980645
16,6,raw_softmax,0.2584103604346679,0.12093333072722175,1.1102230246251565e-16,0.0,0.13776443312787265,0.27710675673208063
16,6,standardized_exponential,1.1102230246251565e-16,4.0766001685454967e-17,1.1102230246251565e-16,0.0,0.18701169702110096,0.6357653472662457
16,6,standardized_asinh,1.6653345369377348e-16,1.929879867024198e-17,1.1102230246251565e-16,0.0,0.1680151178616804,0.5639643217798747
16,6,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.07791360681303104,0.32015666782980645
16,7,raw_softmax,0.2688168111839165,0.17385141589260697,1.6653345369377348e-16,0.0,0.16175714371831915,0.3215962308772489
16,7,standardized_exponential,1.1102230246251565e-16,2.688821387764051e-17,2.220446049250313e-16,0.0,0.23456007001299803,0.6637677823248294
16,7,standardized_asinh,1.1102230246251565e-16,2.1250362580715887e-17,5.551115123125783e-17,0.0,0.20683657459855687,0.5818680463367258
16,7,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.11662474197888392,0.24332657522813186
16,8,raw_softmax,0.272950651571229,0.1608913455064793,1.1102230246251565e-16,0.0,0.17876443676696976,0.3178842812911521
16,8,standardized_exponential,3.3306690738754696e-16,4.0766001685454967e-17,1.1102230246251565e-16,0.0,0.2642753004775491,0.7047636780327802
16,8,standardized_asinh,1.6653345369377348e-16,4.0332320816460765e-17,1.1102230246251565e-16,0.0,0.2344524507118449,0.6260364117872501
16,8,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.1208504690062446,0.32015666782980645
16,9,raw_softmax,0.28111058206743295,0.22552277247612046,1.1102230246251565e-16,0.0,0.15000003435402592,0.300448640338989
16,9,standardized_exponential,2.220446049250313e-16,1.3010426069826053e-17,1.1102230246251565e-16,0.0,0.19361897286742458,0.6985807167963818
16,9,standardized_asinh,2.220446049250313e-16,1.8214596497756474e-17,1.1102230246251565e-16,0.0,0.16853619586201024,0.6209864527368196
16,9,standardized_rank,0.0,0.0,0.0,0.0,0.07494661671207382,0.32015666782980645
16,10,raw_softmax,0.3437552652253173,0.15060352628625273,1.1102230246251565e-16,0.0,0.18905695064776382,0.32358373862545164
16,10,standardized_exponential,1.6653345369377348e-16,4.607859233063394e-17,1.6653345369377348e-16,0.0,0.3320620774604883,0.7429000039324685
16,10,standardized_asinh,2.220446049250313e-16,4.217546450968612e-17,1.1102230246251565e-16,0.0,0.2928779223941749,0.6687780692867015
16,10,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.1461098812491295,0.32015666782980645
16,11,raw_softmax,0.29064499125239845,0.14244623532327552,1.1102230246251565e-16,0.0,0.15595622814425025,0.25190975044967445
16,11,standardized_exponential,2.220446049250313e-16,3.220080452281948e-17,2.220446049250313e-16,0.0,0.19293335645527993,0.502716996683402
16,11,standardized_asinh,1.3877787807814457e-16,3.361026734705064e-17,1.1102230246251565e-16,0.0,0.17294569421152992,0.45561085905065035
16,11,standardized_rank,0.0,0.0,0.0,0.0,0.09183313654172715,0.32015666782980645
16,12,raw_softmax,0.3576924832736232,0.29184244045306384,1.1102230246251565e-16,0.0,0.12176609069421024,0.19933865684992916
16,12,standardized_exponential,1.1102230246251565e-16,3.447762908503904e-17,1.1102230246251565e-16,0.0,0.18210032537975634,0.6362392058135724
16,12,standardized_asinh,2.220446049250313e-16,2.6237692574149207e-17,1.1102230246251565e-16,0.0,0.1557250386692174,0.5148333294849851
16,12,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.06522612136722901,0.2212959699171556
16,13,raw_softmax,0.35248033853288585,0.19091610604874132,1.1102230246251565e-16,0.0,0.15534176345528783,0.3149700159288317
16,13,standardized_exponential,1.1102230246251565e-16,3.63207727782644e-17,1.1102230246251565e-16,0.0,0.2193700739580137,0.744120689303347
16,13,standardized_asinh,2.220446049250313e-16,4.380176776841438e-17,1.1102230246251565e-16,0.0,0.19879025242681872,0.6668866490931764
