sample_index,transformed_model,initial_relation_identical,mark_vector_identical,trajectory_diverged,first_divergence_step,final_relation_identical,path_hash_identical,anchor_hash_identical,base_transitive_every_step,transformed_transitive_every_step
57,beta_skew,True,False,True,7,False,False,False,True,True
58,power_anisotropic,True,False,True,3,False,False,False,True,True
58,beta_skew,True,False,True,1,False,False,False,True,True
59,power_anisotropic,True,False,True,3,False,False,False,True,True
59,beta_skew,True,False,True,1,False,False,False,True,True
60,power_anisotropic,True,False,True,1,False,False,False,True,True
60,beta_skew,True,False,True,2,False,False,False,True,True
61,power_anisotropic,True,False,True,1,False,False,False,True,True
61,beta_skew,True,False,True,6,False,False,False,True,True
62,power_anisotropic,True,False,True,2,False,False,False,True,True
62,beta_skew,True,False,True,6,False,False,False,True,True
63,power_anisotropic,True,False,True,1,False,False,False,True,True
63,beta_skew,True,False,True,1,False,False,False,True,True
64,power_anisotropic,True,False,True,2,False,False,False,True,True
64,beta_skew,True,False,True,3,False,False,False,True,True
65,power_anisotropic,True,False,True,2,False,False,False,True,True
65,beta_skew,True,False,True,2,False,False,False,True,True
66,power_anisotropic,True,False,True,2,False,False,False,True,True
66,beta_skew,True,False,True,2,False,False,False,True,True
67,power_anisotropic,True,False,True,2,False,False,False,True,True
67,beta_skew,True,False,True,6,False,False,False,True,True
68,power_anisotropic,True,False,True,1,False,False,False,True,True
68,beta_skew,True,False,True,1,False,False,False,True,True
69,power_anisotropic,True,False,True,6,False,False,False,True,True
69,beta_skew,True,False,True,6,False,False,False,True,True
70,power_anisotropic,True,False,True,1,False,False,False,True,True
70,beta_skew,True,False,True,1,False,False,False,True,True
71,power_anisotropic,True,False,True,1,False,False,False,True,True
71,beta_skew,True,False,True,1,False,False,False,True,True
72,power_anisotropic,True,False,True,2,False,False,False,True,True
72,beta_skew,True,False,True,2,False,False,False,True,True
73,power_anisotropic,True,False,True,6,False,False,False,True,True
73,beta_skew,True,False,True,6,False,False,False,True,True
74,power_anisotropic,True,False,True,1,False,False,False,True,True
74,beta_skew,True,False,True,2,False,False,False,True,True
75,power_anisotropic,True,False,True,3,False,False,False,True,True
75,beta_skew,True,False,True,5,False,False,False,True,True
76,power_anisotropic,True,False,True,2,False,False,False,True,True
76,beta_skew,True,False,True,2,False,False,False,True,True
77,power_anisotropic,True,False,True,1,False,False,False,True,True
77,beta_skew,True,False,True,1,False,False,False,True,True
78,power_anisotropic,True,False,True,1,False,False,False,True,True
78,beta_skew,True,False,True,3,False,False,False,True,True
79,power_anisotropic,True,False,True,2,False,False,False,True,True
79,beta_skew,True,False,True,2,False,False,False,True,True
80,power_anisotropic,True,False,True,4,False,False,False,True,True
80,beta_skew,True,False,True,5,False,False,False,True,True
81,power_anisotropic,True,False,True,1,False,False,False,True,True
81,beta_skew,True,False,True,2,False,False,False,True,True
82,power_anisotropic,True,False,True,1,False,False,False,True,True
82,beta_skew,True,False,True,8,False,False,False,True,True
83,power_anisotropic,True,False,True,5,False,False,False,True,True
83,beta_skew,True,False,True,3,False,False,False,True,True
84,power_anisotropic,True,False,True,1,False,False,False,True,True
84,beta_skew,True,False,True,1,False,False,False,True,True
85,power_anisotropic,True,False,True,1,False,False,False,True,True
85,beta_skew,True,False,True,6,False,False,False,True,True
86,power_anisotropic,True,False,True,1,False,False,False,True,True
86,beta_skew,True,False,True,1,False,False,False,True,True
87,power_anisotropic,True,False,True,4,False,False,False,True,True
87,beta_skew,True,False,True,4,False,False,False,True,True
88,power_anisotropic,True,False,True,1,False,False,False,True,True
88,beta_skew,True,False,True,1,False,False,False,True,True
89,power_anisotropic,True,False,True,1,False,False,False,True,True
89,beta_skew,True,False,True,1,False,False,False,True,True
90,power_anisotropic,True,False,True,2,False,False,False,True,True
