transformed_model,number_runs,mark_difference_rate,trajectory_divergence_rate,final_relation_difference_rate,anchor_sequence_difference_rate,median_first_divergence_step,maximum_first_divergence_step,transitivity_rate
beta_skew,250,1.0,1.0,1.0,1.0,2.0,16,1.0
power_anisotropic,250,1.0,1.0,1.0,1.0,1.0,15,1.0
