n,sample_index,clone_count,maximum_macro_error,maximum_conservation_error
40,35,4,2.0816681711721685e-17,2.1094237467877974e-15
40,36,5,1.3877787807814457e-17,2.220446049250313e-15
40,37,5,1.3877787807814457e-17,1.5543122344752192e-15
40,38,5,2.0816681711721685e-17,1.9984014443252818e-15
40,39,5,1.734723475976807e-17,1.9984014443252818e-15
40,40,6,1.3877787807814457e-17,1.9984014443252818e-15
40,41,4,2.0816681711721685e-17,2.220446049250313e-15
40,42,5,4.163336342344337e-17,1.6653345369377348e-15
40,43,6,2.0816681711721685e-17,1.5543122344752192e-15
40,44,3,2.0816681711721685e-17,2.6645352591003757e-15
40,45,3,1.3877787807814457e-17,2.1094237467877974e-15
40,46,5,1.3877787807814457e-17,1.887379141862766e-15
40,47,2,2.0816681711721685e-17,1.5543122344752192e-15
40,48,4,2.0816681711721685e-17,1.7763568394002505e-15
40,49,5,1.3877787807814457e-17,1.887379141862766e-15
40,50,5,1.3877787807814457e-17,1.3322676295501878e-15
40,51,4,2.0816681711721685e-17,2.220446049250313e-15
40,52,5,1.3877787807814457e-17,2.220446049250313e-15
40,53,2,1.3877787807814457e-17,1.9984014443252818e-15
40,54,3,2.0816681711721685e-17,2.4424906541753444e-15
40,55,4,1.3877787807814457e-17,1.887379141862766e-15
40,56,4,1.3877787807814457e-17,1.9984014443252818e-15
40,57,6,1.3877787807814457e-17,1.6653345369377348e-15
40,58,4,1.3877787807814457e-17,1.5543122344752192e-15
40,59,4,1.3877787807814457e-17,1.9984014443252818e-15
40,60,5,2.7755575615628914e-17,1.5543122344752192e-15
40,61,6,1.3877787807814457e-17,2.1094237467877974e-15
40,62,5,1.3877787807814457e-17,1.887379141862766e-15
40,63,2,2.0816681711721685e-17,1.6653345369377348e-15
40,64,5,2.0816681711721685e-17,1.7763568394002505e-15
40,65,2,1.3877787807814457e-17,1.7763568394002505e-15
40,66,3,1.3877787807814457e-17,1.6653345369377348e-15
40,67,3,2.0816681711721685e-17,1.9984014443252818e-15
40,68,6,2.0816681711721685e-17,1.887379141862766e-15
40,69,3,2.0816681711721685e-17,1.7763568394002505e-15
40,70,3,2.0816681711721685e-17,2.1094237467877974e-15
40,71,2,1.3877787807814457e-17,1.9984014443252818e-15
40,72,5,2.0816681711721685e-17,1.6653345369377348e-15
40,73,3,2.0816681711721685e-17,1.7763568394002505e-15
40,74,3,2.0816681711721685e-17,1.7763568394002505e-15
40,75,6,2.0816681711721685e-17,1.6653345369377348e-15
40,76,4,2.0816681711721685e-17,2.220446049250313e-15
40,77,6,1.3877787807814457e-17,1.7763568394002505e-15
40,78,4,2.0816681711721685e-17,2.1094237467877974e-15
40,79,3,2.0816681711721685e-17,1.9984014443252818e-15
40,80,4,1.3877787807814457e-17,1.5543122344752192e-15
40,81,3,2.0816681711721685e-17,1.6653345369377348e-15
40,82,5,1.3877787807814457e-17,1.3322676295501878e-15
40,83,4,2.0816681711721685e-17,1.3322676295501878e-15
40,84,6,1.3877787807814457e-17,1.887379141862766e-15
40,85,4,1.3877787807814457e-17,1.4432899320127035e-15
40,86,2,2.0816681711721685e-17,1.4432899320127035e-15
40,87,4,1.3877787807814457e-17,1.3322676295501878e-15
40,88,3,2.0816681711721685e-17,1.7763568394002505e-15
40,89,6,2.42861286636753e-17,2.220446049250313e-15
40,90,2,2.0816681711721685e-17,1.9984014443252818e-15
40,91,2,2.7755575615628914e-17,2.4424906541753444e-15
40,92,5,2.0816681711721685e-17,1.7763568394002505e-15
40,93,4,1.3877787807814457e-17,2.1094237467877974e-15
40,94,6,1.3877787807814457e-17,1.7763568394002505e-15
40,95,4,1.3877787807814457e-17,1.7763568394002505e-15
40,96,3,2.0816681711721685e-17,1.5543122344752192e-15
40,97,4,2.0816681711721685e-17,1.7763568394002505e-15
40,98,2,1.3877787807814457e-17,1.887379141862766e-15
40,99,3,1.734723475976807e-17,1.7763568394002505e-15
40,100,5,1.3877787807814457e-17,2.220446049250313e-15
40,101,6,1.3877787807814457e-17,1.9984014443252818e-15
40,102,6,2.0816681711721685e-17,1.5543122344752192e-15
40,103,2,1.3877787807814457e-17,1.7763568394002505e-15
40,104,4,1.3877787807814457e-17,2.1094237467877974e-15
40,105,5,1.3877787807814457e-17,2.4424906541753444e-15
40,106,4,2.0816681711721685e-17,1.9984014443252818e-15
40,107,2,1.3877787807814457e-17,2.220446049250313e-15
40,108,5,1.3877787807814457e-17,2.220446049250313e-15
40,109,2,1.3877787807814457e-17,1.6653345369377348e-15
