n,sample_index,measure,clone_count,macro_total_variation,refinement_consistent
10,24,uniform_count,3,0.15000000000000002,False
10,24,degree,3,0.14999999999999997,False
10,24,relation_stationary,3,0.07779443761353906,False
10,24,q_stationary,3,0.006866701845972112,False
10,24,q_node_softmax,3,0.1634922805670044,False
10,25,uniform_count,4,0.20769230769230773,False
10,25,degree,4,0.184472049689441,False
10,25,relation_stationary,4,0.1405153164391899,False
10,25,q_stationary,4,0.05358122448840368,False
10,25,q_node_softmax,4,0.21127369062041687,False
10,26,uniform_count,6,0.29999999999999993,False
10,26,degree,6,0.2825552825552825,False
10,26,relation_stationary,6,0.2611908054522067,False
10,26,q_stationary,6,0.07798527537947073,False
10,26,q_node_softmax,6,0.28371678771603115,False
10,27,uniform_count,4,0.2076923076923077,False
10,27,degree,4,0.20217183008623443,False
10,27,relation_stationary,4,0.1652375900763162,False
10,27,q_stationary,4,0.06257330757505056,False
10,27,q_node_softmax,4,0.22252606389591845,False
10,28,uniform_count,6,0.29999999999999993,False
10,28,degree,6,0.2476118652589241,False
10,28,relation_stationary,6,0.08014796760676109,False
10,28,q_stationary,6,0.040743752326171556,False
10,28,q_node_softmax,6,0.23502912069902165,False
10,29,uniform_count,5,0.2571428571428572,False
10,29,degree,5,0.22080592105263158,False
10,29,relation_stationary,5,0.32634719328771955,False
10,29,q_stationary,5,0.2787945826889593,False
10,29,q_node_softmax,5,0.18270152025238592,False
10,30,uniform_count,2,0.08181818181818183,False
10,30,degree,2,0.07998661311914324,False
10,30,relation_stationary,2,0.0678651895051891,False
10,30,q_stationary,2,0.12020222361072813,False
10,30,q_node_softmax,2,0.08748072614713502,False
10,31,uniform_count,4,0.20769230769230773,False
10,31,degree,4,0.20707070707070707,False
10,31,relation_stationary,4,0.18761000028385225,False
10,31,q_stationary,4,0.050824026802736164,False
10,31,q_node_softmax,4,0.19514564528079956,False
10,32,uniform_count,5,0.2571428571428572,False
10,32,degree,5,0.25357142857142856,False
10,32,relation_stationary,5,0.16367191374684859,False
10,32,q_stationary,5,0.12854088491220897,False
10,32,q_node_softmax,5,0.2491653957529787,False
10,33,uniform_count,4,0.20769230769230773,False
10,33,degree,4,0.2132554945054945,False
10,33,relation_stationary,4,0.13335427776769512,False
10,33,q_stationary,4,0.11019180764915579,False
10,33,q_node_softmax,4,0.27868952906011285,False
10,34,uniform_count,4,0.20769230769230773,False
10,34,degree,4,0.1815718157181572,False
10,34,relation_stationary,4,0.21394693032994594,False
10,34,q_stationary,4,0.11945788722827651,False
10,34,q_node_softmax,4,0.28449681883472805,False
10,35,uniform_count,4,0.20769230769230773,False
10,35,degree,4,0.2198118932038835,False
10,35,relation_stationary,4,0.10041852456516322,False
10,35,q_stationary,4,0.043910783541249644,False
10,35,q_node_softmax,4,0.11722289304396802,False
10,36,uniform_count,4,0.20769230769230773,False
10,36,degree,4,0.23275862068965522,False
10,36,relation_stationary,4,0.2562830908235713,False
10,36,q_stationary,4,0.24038576550848792,False
10,36,q_node_softmax,4,0.19470373974982375,False
10,37,uniform_count,4,0.20769230769230773,False
10,37,degree,4,0.2161290322580645,False
10,37,relation_stationary,4,0.2684898894420109,False
10,37,q_stationary,4,0.312695788898683,False
10,37,q_node_softmax,4,0.30147588346697063,False
10,38,uniform_count,5,0.2571428571428572,False
10,38,degree,5,0.2425876010781671,False
10,38,relation_stationary,5,0.2396642741762478,False
10,38,q_stationary,5,0.059321586661633424,False
10,38,q_node_softmax,5,0.16223677468128694,False
10,39,uniform_count,5,0.2571428571428572,False
10,39,degree,5,0.20588235294117643,False
10,39,relation_stationary,5,0.06459007304609196,False
10,39,q_stationary,5,0.08451410743527224,False
10,39,q_node_softmax,5,0.24966180522449427,False
10,40,uniform_count,5,0.2571428571428572,False
10,40,degree,5,0.23076923076923078,False
10,40,relation_stationary,5,0.10698164717962722,False
10,40,q_stationary,5,0.037302737051310944,False
10,40,q_node_softmax,5,0.2964881662542549,False
10,41,uniform_count,2,0.08181818181818183,False
10,41,degree,2,0.08823529411764705,False
10,41,relation_stationary,2,0.08377498745294987,False
10,41,q_stationary,2,0.09795422083480677,False
10,41,q_node_softmax,2,0.08727941700712416,False
10,42,uniform_count,4,0.20769230769230773,False
10,42,degree,4,0.20173160173160176,False
10,42,relation_stationary,4,0.11753252582450043,False
10,42,q_stationary,4,0.02744662364387305,False
10,42,q_node_softmax,4,0.211555370780273,False
10,43,uniform_count,2,0.08181818181818183,False
10,43,degree,2,0.08861301369863014,False
10,43,relation_stationary,2,0.05421094467018542,False
10,43,q_stationary,2,0.08806395147901508,False
10,43,q_node_softmax,2,0.0702428336474479,False
10,44,uniform_count,3,0.15000000000000002,False
10,44,degree,3,0.15571428571428575,False
10,44,relation_stationary,3,0.08662104164715936,False
10,44,q_stationary,3,0.11054175578201261,False
10,44,q_node_softmax,3,0.1542848754317214,False
10,45,uniform_count,4,0.2076923076923077,False
10,45,degree,4,0.21789148351648352,False
10,45,relation_stationary,4,0.14762116892385063,False
10,45,q_stationary,4,0.043845689669976595,False
10,45,q_node_softmax,4,0.14884954702910208,False
10,46,uniform_count,6,0.3,False
10,46,degree,6,0.30963302752293576,False
10,46,relation_stationary,6,0.3420440193551113,False
10,46,q_stationary,6,0.0435404215997672,False
10,46,q_node_softmax,6,0.18550712194258206,False
10,47,uniform_count,2,0.08181818181818183,False
10,47,degree,2,0.08777969018932875,False
10,47,relation_stationary,2,0.08274856829673624,False
10,47,q_stationary,2,0.037654192248528735,False
10,47,q_node_softmax,2,0.056802968166009306,False
10,48,uniform_count,5,0.2571428571428572,False
10,48,degree,5,0.2084726867335563,False
10,48,relation_stationary,5,0.19060342265116123,False
10,48,q_stationary,5,0.17077026849076576,False
10,48,q_node_softmax,5,0.19679447248965312,False
10,49,uniform_count,5,0.2571428571428572,False
10,49,degree,5,0.2576923076923077,False
10,49,relation_stationary,5,0.15106357007328206,False
10,49,q_stationary,5,0.14174192719293283,False
10,49,q_node_softmax,5,0.3097264035455841,False
10,50,uniform_count,4,0.2076923076923077,False
10,50,degree,4,0.20714285714285718,False
10,50,relation_stationary,4,0.14750089229471933,False
10,50,q_stationary,4,0.10020334378603298,False
10,50,q_node_softmax,4,0.21055197326485448,False
10,51,uniform_count,3,0.15000000000000002,False
10,51,degree,3,0.1286486486486487,False
10,51,relation_stationary,3,0.06840726306207784,False
10,51,q_stationary,3,0.1024702714239121,False
10,51,q_node_softmax,3,0.19734700202140468,False
10,52,uniform_count,6,0.29999999999999993,False
10,52,degree,6,0.2451814058956916,False
10,52,relation_stationary,6,0.07560833579587738,False
10,52,q_stationary,6,0.03206132936369961,False
10,52,q_node_softmax,6,0.3244126760783789,False
10,53,uniform_count,6,0.29999999999999993,False
10,53,degree,6,0.2626728110599078,False
10,53,relation_stationary,6,0.14683659921469824,False
10,53,q_stationary,6,0.13533470786367527,False
10,53,q_node_softmax,6,0.3025152699344003,False
10,54,uniform_count,2,0.08181818181818183,False
10,54,degree,2,0.09172771672771671,False
10,54,relation_stationary,2,0.11076879117516503,False
10,54,q_stationary,2,0.048477971635112034,False
10,54,q_node_softmax,2,0.07576560983700703,False
10,55,uniform_count,2,0.08181818181818183,False
10,55,degree,2,0.08201304753028893,False
10,55,relation_stationary,2,0.08949556300800274,False
10,55,q_stationary,2,0.06928105634466797,False
10,55,q_node_softmax,2,0.08535277523628806,False
10,56,uniform_count,6,0.29999999999999993,False
10,56,degree,6,0.2601446364001607,False
10,56,relation_stationary,6,0.1589154697622886,False
10,56,q_stationary,6,0.06712486098529977,False
10,56,q_node_softmax,6,0.299352972587522,False
10,57,uniform_count,4,0.20769230769230773,False
10,57,degree,4,0.1886840111139177,False
10,57,relation_stationary,4,0.1223646492054578,False
10,57,q_stationary,4,0.022591459925074678,False
10,57,q_node_softmax,4,0.21168550982234172,False
10,58,uniform_count,3,0.15000000000000002,False
10,58,degree,3,0.1415151515151515,False
10,58,relation_stationary,3,0.05244839081949908,False
10,58,q_stationary,3,0.13336174019379232,False
10,58,q_node_softmax,3,0.12011271488732961,False
10,59,uniform_count,5,0.2571428571428572,False
10,59,degree,5,0.219311761684643,False
10,59,relation_stationary,5,0.13881266122289498,False
10,59,q_stationary,5,0.06975256094769461,False
10,59,q_node_softmax,5,0.22942593123427918,False
10,60,uniform_count,6,0.29999999999999993,False
10,60,degree,6,0.2908740005514199,False
10,60,relation_stationary,6,0.15553652215893188,False
10,60,q_stationary,6,0.10487792836180387,False
10,60,q_node_softmax,6,0.2765214677740795,False
10,61,uniform_count,5,0.2571428571428572,False
10,61,degree,5,0.24622844827586207,False
10,61,relation_stationary,5,0.1484963138569022,False
10,61,q_stationary,5,0.08913981017528105,False
10,61,q_node_softmax,5,0.25190221710986854,False
10,62,uniform_count,6,0.3,False
10,62,degree,6,0.30071709461022433,False
10,62,relation_stationary,6,0.3220963770335881,False
10,62,q_stationary,6,0.46820333826727306,False
10,62,q_node_softmax,6,0.28146981874927235,False
10,63,uniform_count,4,0.20769230769230773,False
10,63,degree,4,0.2037351443123939,False
10,63,relation_stationary,4,0.26385955426161983,False
10,63,q_stationary,4,0.11824203157869492,False
10,63,q_node_softmax,4,0.11864104364306811,False
10,64,uniform_count,6,0.29999999999999993,False
10,64,degree,6,0.23842851810377005,False
10,64,relation_stationary,6,0.14800217883519368,False
10,64,q_stationary,6,0.031529998680099744,False
10,64,q_node_softmax,6,0.3959475164026313,False
10,65,uniform_count,3,0.15000000000000002,False
10,65,degree,3,0.1253607503607504,False
10,65,relation_stationary,3,0.0928596204183498,False
10,65,q_stationary,3,0.05937384958440168,False
10,65,q_node_softmax,3,0.1637006718650926,False
10,66,uniform_count,2,0.08181818181818183,False
10,66,degree,2,0.08623819898329703,False
10,66,relation_stationary,2,0.029997226828950185,False
10,66,q_stationary,2,0.017833242002847603,False
10,66,q_node_softmax,2,0.06587786618192132,False
10,67,uniform_count,2,0.08181818181818183,False
10,67,degree,2,0.07746895328208162,False
10,67,relation_stationary,2,0.1025023909802796,False
10,67,q_stationary,2,0.13152701624794455,False
10,67,q_node_softmax,2,0.07847014355879547,False
10,68,uniform_count,4,0.20769230769230773,False
10,68,degree,4,0.20735930735930735,False
10,68,relation_stationary,4,0.14281197107582566,False
10,68,q_stationary,4,0.07828783240077086,False
10,68,q_node_softmax,4,0.3055456644634848,False
10,69,uniform_count,4,0.20769230769230773,False
10,69,degree,4,0.20202020202020207,False
10,69,relation_stationary,4,0.22533488658727766,False
10,69,q_stationary,4,0.12959644407447352,False
10,69,q_node_softmax,4,0.2111297173821593,False
10,70,uniform_count,5,0.2571428571428572,False
10,70,degree,5,0.21505376344086016,False
10,70,relation_stationary,5,0.17791957958355356,False
10,70,q_stationary,5,0.06852663127631049,False
