n,phase,holdout_minkowski_acceptance_rate,gadget_count,gadget_vertex_fraction,number_candidates,accepted_count,acceptance_rate,acceptance_wilson_95,median_p_value,maximum_p_value,median_q_score,maximum_ordering_fraction_mismatch,all_transitive,all_induced_s3_certified
96,discovery,0.95,1,0.0625,60,42,0.7,"(0.5749129205308552, 0.8010183386123089)",0.1425339366515837,0.8235294117647058,50.0340760406433,0.06666666666666665,True,True
96,discovery,0.95,2,0.125,60,4,0.06666666666666667,"(0.026228698724506214, 0.1592535731319717)",0.004524886877828055,0.5384615384615384,125.62676895820606,0.023684210526315808,True,True
96,discovery,0.95,3,0.1875,60,0,0.0,"(0.0, 0.06017185214208986)",0.004524886877828055,0.004524886877828055,260.5152145157427,0.0017543859649122862,True,True
128,discovery,0.9333333333333333,1,0.046875,60,35,0.5833333333333334,"(0.45728081022640116, 0.6993572144165838)",0.08144796380090498,0.9864253393665159,84.0621486591178,0.07763287401574803,True,True
128,discovery,0.9333333333333333,2,0.09375,60,5,0.08333333333333333,"(0.03612045660173077, 0.1806894201833441)",0.004524886877828055,0.7058823529411765,161.69896618928047,0.0007381889763779514,True,True
128,discovery,0.9333333333333333,3,0.140625,60,0,0.0,"(0.0, 0.06017185214208986)",0.004524886877828055,0.004524886877828055,287.1870797665075,0.001107283464566955,True,True
192,prospective_confirmation,0.9666666666666667,1,0.03125,60,41,0.6833333333333333,"(0.5576623297382323, 0.7869413244763347)",0.1990950226244344,0.9502262443438914,134.65596049631597,0.05279232111692844,True,True
192,prospective_confirmation,0.9666666666666667,2,0.0625,60,17,0.2833333333333333,"(0.18506828428432714, 0.4076728516439118)",0.004524886877828055,0.7963800904977375,196.75337542943458,0.00027268760907506184,True,True
192,prospective_confirmation,0.9666666666666667,3,0.09375,60,2,0.03333333333333333,"(0.009189319256197877, 0.113637742743086)",0.004524886877828055,0.37104072398190047,337.238974662181,0.0003817626527050644,True,True
