split,family,global_dim2_obstruction_fraction,interval_dim2_obstruction_fraction,local_dim_abs_median,local_dim_abs_q90,local_dim_mad,local_dim_fraction_within_0_5,local_dim_scale_drift,local_dim_valid_fraction
test_128,minkowski_2d,0.0,0.0,0.2473477375085784,0.5482247867695906,0.13780536574326652,0.8565848214285714,0.22146421342290198,1.0
test_128,transitive_percolation,0.002232142857142857,0.0,0.2786592399622338,0.7019603168968269,0.247128875815203,0.7583705357142857,0.48226175173701147,1.0
test_96,minkowski_2d,0.0,0.0,0.27255964818705386,0.5491053681761134,0.13740452483319918,0.841703869047619,0.2097556424943341,1.0
test_96,transitive_percolation,0.0005580357142857143,0.0011160714285714285,0.31357835851196686,0.6887410209598841,0.21339229915097685,0.7330729166666667,0.4048547372844165,1.0
train,minkowski_2d,0.0,0.0,0.348153702703443,0.6188496821252777,0.14364940721520325,0.7230282738095238,0.21482875870770518,1.0
train,transitive_percolation,0.002232142857142857,0.0,0.4007792834573302,0.7326239257569346,0.18160943854286687,0.6322544642857143,0.33738606326432835,1.0
