background_size,rmse_to_population_limit,mean_error,median_absolute_error
16,0.28249512269359056,0.13757591395057286,0.1560955295335773
64,0.12005852069715878,0.036426615392764525,0.07856021519932332
256,0.05514490704127668,0.008573950084651642,0.03618303110748422
1024,0.027692439375869498,0.0025594870670984943,0.018443456547944104
