sample_index,operator,offset,absolute_gauge_covariance_error
0,weighted_arithmetic,-3.430652215372792,0.0
0,exponential_mean,-3.430652215372792,0.0
0,weighted_median,-3.430652215372792,0.0
0,minimum,-3.430652215372792,0.0
0,rms,-3.430652215372792,6.351834043607351
1,weighted_arithmetic,1.471576409609293,2.220446049250313e-16
1,exponential_mean,1.471576409609293,2.220446049250313e-16
1,weighted_median,1.471576409609293,0.0
1,minimum,1.471576409609293,0.0
1,rms,1.471576409609293,0.4142222513670921
2,weighted_arithmetic,3.206573075245765,4.440892098500626e-16
2,exponential_mean,3.206573075245765,0.0
2,weighted_median,3.206573075245765,0.0
2,minimum,3.206573075245765,0.0
2,rms,3.206573075245765,1.3185225136785834
3,weighted_arithmetic,-1.4380089999200916,2.220446049250313e-16
3,exponential_mean,-1.4380089999200916,0.0
3,weighted_median,-1.4380089999200916,0.0
3,minimum,-1.4380089999200916,2.220446049250313e-16
3,rms,-1.4380089999200916,2.358784753049437
4,weighted_arithmetic,-0.3064953879990959,0.0
4,exponential_mean,-0.3064953879990959,0.0
4,weighted_median,-0.3064953879990959,0.0
4,minimum,-0.3064953879990959,0.0
4,rms,-0.3064953879990959,0.4865821726176205
5,weighted_arithmetic,3.3918493467404636,0.0
5,exponential_mean,3.3918493467404636,0.0
5,weighted_median,3.3918493467404636,0.0
5,minimum,3.3918493467404636,0.0
5,rms,3.3918493467404636,0.761436179160202
6,weighted_arithmetic,-1.1050735974412067,0.0
6,exponential_mean,-1.1050735974412067,4.440892098500626e-16
6,weighted_median,-1.1050735974412067,0.0
6,minimum,-1.1050735974412067,0.0
6,rms,-1.1050735974412067,1.7778896498381562
7,weighted_arithmetic,-2.332109937199964,0.0
7,exponential_mean,-2.332109937199964,0.0
7,weighted_median,-2.332109937199964,0.0
7,minimum,-2.332109937199964,0.0
7,rms,-2.332109937199964,3.5392214951578644
8,weighted_arithmetic,-2.0308617014168195,0.0
8,exponential_mean,-2.0308617014168195,0.0
8,weighted_median,-2.0308617014168195,0.0
8,minimum,-2.0308617014168195,4.440892098500626e-16
8,rms,-2.0308617014168195,3.0608677832900404
9,weighted_arithmetic,2.7893204859634686,4.440892098500626e-16
9,exponential_mean,2.7893204859634686,0.0
9,weighted_median,2.7893204859634686,0.0
9,minimum,2.7893204859634686,0.0
9,rms,2.7893204859634686,0.4066497367872248
10,weighted_arithmetic,1.6317243130818948,0.0
10,exponential_mean,1.6317243130818948,0.0
10,weighted_median,1.6317243130818948,0.0
10,minimum,1.6317243130818948,0.0
10,rms,1.6317243130818948,0.6124783415112067
11,weighted_arithmetic,-2.6900166234711023,0.0
11,exponential_mean,-2.6900166234711023,0.0
11,weighted_median,-2.6900166234711023,0.0
11,minimum,-2.6900166234711023,0.0
11,rms,-2.6900166234711023,4.158820297694498
12,weighted_arithmetic,0.28952733205660497,1.6653345369377348e-16
12,exponential_mean,0.28952733205660497,0.0
12,weighted_median,0.28952733205660497,0.0
