sample_index,coarse_count,mean_macro_row_tv,maximum_macro_row_tv
0,3,0.10554229986288162,0.18404716918865624
1,7,0.10821228142848552,0.21003005672448036
2,3,0.04843514082826703,0.10817636060765504
3,6,0.1493695171387366,0.2964646284691394
4,4,0.1151814366918447,0.17849395062350204
5,5,0.04744604097390994,0.09184770099816553
6,5,0.10856793448186108,0.20631901402096212
7,3,0.089587812474824,0.1425317391463403
8,2,0.15347393477753463,0.24186170733332046
9,4,0.17823859048382612,0.22606865955916328
10,3,0.09874966295392507,0.15853726402559865
11,2,0.041547108951354,0.04903235234198593
12,3,0.13285882490306686,0.20639602005388644
13,6,0.11273879375212388,0.1530702704128271
14,8,0.1414856952131967,0.2855294136807458
15,4,0.10339271556830336,0.13905952650626763
16,2,0.0639709271910838,0.07977557148205278
17,3,0.12563962651035973,0.2068084049723376
18,7,0.1375932892850837,0.2521089502438163
19,2,0.09112950409412982,0.15217485275722242
20,4,0.08338087710898265,0.129107150609326
21,3,0.25290923123728376,0.5403801727177784
22,5,0.15219100047596462,0.20226884878374102
23,5,0.14434796169180691,0.25717762707958175
24,2,0.017449462547170655,0.027378164442271646
25,4,0.1726084660266603,0.29302889637495083
26,3,0.12803630965712617,0.28405870478417367
27,2,0.016804234552194153,0.027641605439862493
28,2,0.14171855647302628,0.15822322500215918
29,4,0.1338694002972584,0.17205975856849617
30,2,0.018426076555245634,0.02896762498495581
31,6,0.09537578707392191,0.17779214984069625
32,6,0.1232557211298682,0.2580728544193506
33,4,0.12950447955954122,0.1573040430380358
34,3,0.04505123248594816,0.06687658378770361
35,2,0.0881024784097455,0.09649959818089476
36,4,0.0990383934792009,0.159123750788633
37,5,0.09474391232778555,0.13232894048549584
38,6,0.09609968182817126,0.2485475548924324
39,4,0.11729527628277617,0.18816190434331784
40,5,0.1225547864450143,0.23662860500117863
41,4,0.12060039342854673,0.20122034369986402
42,2,0.019008890310537832,0.022434831260530086
43,3,0.1732434911002705,0.21274731484112142
44,2,0.07111784558206309,0.10739423652188226
45,2,0.1638748479434005,0.2650000920122765
46,2,0.04689050865643833,0.05421925771179184
47,2,0.05289583181041234,0.09652243192063067
48,3,0.12700829535206742,0.17292594856161062
49,2,0.055328212445547455,0.06415220106055326
50,4,0.0856460089468293,0.1202002821637598
51,3,0.15454822915153835,0.2158963047024673
52,3,0.07961021568795258,0.11922479365749353
53,5,0.07532031643961148,0.17771881701221331
54,2,0.08939753250327469,0.11568150624071111
55,3,0.1137610478536446,0.19901975364001523
56,3,0.04295200099246188,0.07568058040638373
57,3,0.08747125051905184,0.12237879082579446
58,4,0.10495413906029666,0.12474869697090835
59,5,0.10035192064467864,0.27075045720372126
60,3,0.15103675008413087,0.21949339522194483
61,7,0.0712617737582418,0.23309813905920276
62,4,0.1137969995160468,0.15948702650699345
63,3,0.09028412680421673,0.11703938815563453
64,2,0.04749702148123065,0.06951868553260351
65,2,0.04058128881116141,0.06720851864209809
66,2,0.0579886257403595,0.11544891875755442
67,4,0.097602062925557,0.1677654903835219
68,2,0.1636420573693615,0.1941756635653085
69,5,0.16970562213703178,0.32989078855462944
70,6,0.11710977790353916,0.17518064481596168
