sample_index,operator,group_count,macro_probability_tv,maximum_group_weight_relative_error
0,weighted_arithmetic,3,0.11407589349466335,0.5292514487722987
0,exponential_mean,3,5.551115123125783e-17,1.3241000065129803e-16
0,weighted_median,3,0.25645211294295867,0.5437860036660337
0,minimum,3,0.2063571061310719,4.203583187788443
1,weighted_arithmetic,4,0.1901337585369255,0.7227173193770642
1,exponential_mean,4,6.938893903907228e-18,1.7381567398888374e-16
1,weighted_median,4,0.31165833093023354,0.8652888949325037
1,minimum,4,0.18974940991629127,4.99306881096886
2,weighted_arithmetic,4,0.04747892499804549,0.40457361513150664
2,exponential_mean,4,6.938893903907228e-17,1.9316668731765075e-16
2,weighted_median,4,0.14783735540769516,0.6283143048095937
2,minimum,4,0.08564827987709055,3.3089357455629314
3,weighted_arithmetic,4,0.08652989673553348,0.43122715994255667
3,exponential_mean,4,4.163336342344337e-17,2.55681457517871e-16
3,weighted_median,4,0.23630977682953336,0.722574391965717
3,minimum,4,0.16934582084733862,2.7850061593767705
4,weighted_arithmetic,3,0.05120911528451494,0.41820692163836787
4,exponential_mean,3,5.551115123125783e-17,2.214265349242209e-16
4,weighted_median,3,0.20322177382830053,0.6552991564012179
4,minimum,3,0.08916839406581364,2.726796335675389
5,weighted_arithmetic,8,0.2026464139540734,0.7366155988174088
5,exponential_mean,8,1.2836953722228372e-16,2.626900748036252e-16
5,weighted_median,8,0.34255851378077223,0.9288962698482655
5,minimum,8,0.19306150600038197,2.594702465330291
6,weighted_arithmetic,7,0.049994697649346005,0.2429457808720849
6,exponential_mean,7,5.421010862427522e-17,2.0759086245147401e-16
6,weighted_median,7,0.0920920122571586,0.3411580006919082
6,minimum,7,0.2165345048920039,1.8160641328341172
7,weighted_arithmetic,7,0.12471303984078737,0.6865259093422686
7,exponential_mean,7,7.632783294297951e-17,5.164783193132179e-16
7,weighted_median,7,0.18953800685169173,0.9375958017196206
7,minimum,7,0.21529208447358125,2.9351518402734884
8,weighted_arithmetic,8,0.10558754610720018,0.5995528176830635
8,exponential_mean,8,6.938893903907228e-17,1.7210967976698746e-16
8,weighted_median,8,0.18622242750173804,0.646926406349942
8,minimum,8,0.1587176628384781,3.8102736294770856
9,weighted_arithmetic,2,0.010551925112250393,0.5404295945126684
9,exponential_mean,2,2.7755575615628914e-17,2.359405480184564e-16
9,weighted_median,2,0.14100895347782236,0.6066119952730123
9,minimum,2,0.2614805098381967,14.236364053824799
10,weighted_arithmetic,3,0.023022282178288722,0.10005516267025164
10,exponential_mean,3,0.0,0.0
10,weighted_median,3,0.013383394604039173,0.09185111598546455
10,minimum,3,0.09145496356761751,0.48988099320114353
11,weighted_arithmetic,6,0.23994318716380675,0.689211358031899
11,exponential_mean,6,1.249000902703301e-16,1.8980608658106745e-16
11,weighted_median,6,0.20051095025047072,0.9459759309679118
11,minimum,6,0.11986068400119268,1.8749658819928487
12,weighted_arithmetic,2,0.05872688286897704,0.4140276489600185
12,exponential_mean,2,5.551115123125783e-17,2.280941757641605e-16
12,weighted_median,2,0.1092804705970874,0.6554697261350926
12,minimum,2,0.09771745382589847,2.5065302275193413
13,weighted_arithmetic,3,0.03984446869236623,0.5126281376900941
13,exponential_mean,3,1.3877787807814457e-16,3.1609222817964565e-16
13,weighted_median,3,0.10812802505757843,0.6562747900719892
13,minimum,3,0.10289693175127027,4.365821402290597
14,weighted_arithmetic,5,0.267130189195575,0.7848962747650187
14,exponential_mean,5,1.0061396160665481e-16,3.6270791344280407e-16
