sample_index,final_microstate_count,maximum_macro_mass_error,maximum_macro_q_error,maximum_macro_probability_tv,maximum_total_mass_error
204,260,5.551115123125783e-17,6.661338147750939e-16,4.163336342344337e-17,2.220446049250313e-16
205,264,4.163336342344337e-17,8.881784197001252e-16,1.9949319973733282e-16,2.220446049250313e-16
206,263,8.326672684688674e-17,4.440892098500626e-16,1.214306433183765e-16,2.220446049250313e-16
207,266,5.551115123125783e-17,2.220446049250313e-15,2.3527187142935446e-17,2.220446049250313e-16
208,254,2.220446049250313e-16,3.885780586188048e-16,1.3877787807814457e-16,2.220446049250313e-16
209,273,8.326672684688674e-17,1.5543122344752192e-15,1.3183898417423734e-16,2.220446049250313e-16
210,266,5.551115123125783e-17,4.440892098500626e-16,6.331740687315346e-17,2.220446049250313e-16
211,259,5.551115123125783e-17,3.885780586188048e-16,8.413408858487514e-17,3.3306690738754696e-16
212,250,5.551115123125783e-17,2.498001805406602e-16,1.5439038936193583e-16,1.1102230246251565e-16
213,271,2.220446049250313e-16,1.1102230246251565e-15,8.326672684688674e-17,2.220446049250313e-16
214,256,1.1102230246251565e-16,6.661338147750939e-16,1.457167719820518e-16,2.220446049250313e-16
215,257,5.551115123125783e-17,8.881784197001252e-16,4.5536491244391186e-17,4.440892098500626e-16
216,245,1.1102230246251565e-16,6.661338147750939e-16,1.3530843112619095e-16,5.551115123125783e-16
217,249,1.1102230246251565e-16,6.661338147750939e-16,1.3530843112619095e-16,2.220446049250313e-16
218,257,1.1102230246251565e-16,6.661338147750939e-16,1.1102230246251565e-16,2.220446049250313e-16
219,266,1.1102230246251565e-16,4.440892098500626e-16,4.90059381963448e-17,2.220446049250313e-16
220,267,5.551115123125783e-17,2.220446049250313e-16,2.42861286636753e-17,2.220446049250313e-16
221,245,1.1102230246251565e-16,4.440892098500626e-16,1.249000902703301e-16,3.3306690738754696e-16
222,280,1.6653345369377348e-16,3.885780586188048e-16,7.632783294297951e-17,2.220446049250313e-16
223,270,5.551115123125783e-17,3.3306690738754696e-16,7.892991815694472e-17,2.220446049250313e-16
224,246,2.220446049250313e-16,2.220446049250313e-16,8.673617379884035e-17,4.440892098500626e-16
225,244,5.551115123125783e-17,1.3322676295501878e-15,1.0408340855860843e-16,3.3306690738754696e-16
