depth,total_variation,uniform_max_leaf_mass,biased_max_leaf_mass
2,0.23999999999999994,0.25,0.48999999999999994
4,0.3391999999999999,0.0625,0.24009999999999992
6,0.40055999999999986,0.015625,0.11764899999999995
8,0.4426143999999999,0.00390625,0.05764800999999997
10,0.47773571839999984,0.0009765625,0.028247524899999984
12,0.5298078132799998,0.000244140625,0.01384128720099999
14,0.5685407371131199,6.103515625e-05,0.006782230728489994
16,0.5974374851853119,1.52587890625e-05,0.003323293056960097
