depth,non_atomic_max_leaf_bound,atomic_path_mass,atomic_path_exact,atomic_formula_error,distance_from_half
2,0.6400000000000001,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666663
4,0.4096000000000001,0.6,0.6,0.0,0.09999999999999998
8,0.1677721600000001,0.5555555555555556,0.5555555555555556,0.0,0.05555555555555558
12,0.06871947673600004,0.5384615384615385,0.5384615384615384,1.1102230246251565e-16,0.03846153846153855
16,0.028147497671065624,0.5294117647058825,0.5294117647058824,1.1102230246251565e-16,0.02941176470588247
20,0.011529215046068483,0.523809523809524,0.5238095238095238,1.1102230246251565e-16,0.023809523809523947
40,0.00013292279957849188,0.5121951219512196,0.5121951219512195,1.1102230246251565e-16,0.012195121951219634
80,1.7668470647783922e-08,0.5061728395061729,0.5061728395061729,0.0,0.006172839506172867
160,3.12174855031602e-16,0.5031055900621119,0.5031055900621118,1.1102230246251565e-16,0.0031055900621118626
