sample_index,maximum_level_total_error,maximum_parent_child_error,final_leaf_count
181,1.1102230246251565e-16,5.551115123125783e-17,1858
182,0.0,5.551115123125783e-17,881
183,0.0,5.551115123125783e-17,1609
184,1.1102230246251565e-16,5.551115123125783e-17,1258
185,2.220446049250313e-16,2.220446049250313e-16,1987
186,1.1102230246251565e-16,5.551115123125783e-17,2231
187,2.220446049250313e-16,1.1102230246251565e-16,1532
188,2.220446049250313e-16,1.1102230246251565e-16,1847
189,1.1102230246251565e-16,5.551115123125783e-17,1705
190,2.220446049250313e-16,2.220446049250313e-16,1969
191,1.1102230246251565e-16,5.551115123125783e-17,1581
192,1.1102230246251565e-16,1.1102230246251565e-16,1997
193,3.3306690738754696e-16,1.1102230246251565e-16,1496
194,1.1102230246251565e-16,5.551115123125783e-17,1719
195,1.1102230246251565e-16,1.1102230246251565e-16,1312
196,0.0,1.1102230246251565e-16,1098
197,0.0,5.551115123125783e-17,1690
198,2.220446049250313e-16,1.1102230246251565e-16,1287
199,1.1102230246251565e-16,1.1102230246251565e-16,1181
200,0.0,5.551115123125783e-17,1435
201,1.1102230246251565e-16,2.7755575615628914e-17,1517
202,2.220446049250313e-16,2.220446049250313e-16,1978
203,1.1102230246251565e-16,1.1102230246251565e-16,1080
204,2.220446049250313e-16,2.220446049250313e-16,1175
205,1.1102230246251565e-16,1.1102230246251565e-16,1230
206,1.1102230246251565e-16,1.1102230246251565e-16,851
207,0.0,5.551115123125783e-17,2318
208,0.0,5.551115123125783e-17,1092
209,0.0,1.1102230246251565e-16,1042
210,1.1102230246251565e-16,1.1102230246251565e-16,1267
211,2.220446049250313e-16,1.1102230246251565e-16,1294
212,1.1102230246251565e-16,5.551115123125783e-17,1173
213,2.220446049250313e-16,5.551115123125783e-17,2081
214,0.0,5.551115123125783e-17,1278
215,2.220446049250313e-16,2.220446049250313e-16,1730
216,2.220446049250313e-16,1.1102230246251565e-16,1059
217,1.1102230246251565e-16,1.1102230246251565e-16,1429
218,1.1102230246251565e-16,1.1102230246251565e-16,1471
219,0.0,1.1102230246251565e-16,1365
220,0.0,5.551115123125783e-17,2048
