depth,empirical_variance,theoretical_variance,relative_variance_error
4,4.0105530304000006,4.0,0.002638257600000138
8,8.014005189999999,8.0,0.0017506487499998613
16,16.065504742399998,16.0,0.004094046399999884
32,32.10038384,32.0,0.0031369949999999758
64,64.43582268760001,64.0,0.0068097294937501385
128,128.1022413056,128.0,0.000798760199999915
